time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,60
7,60
8,522
10,522
11,522
12,522
13,522
14,582
15,582
16,582
17,582
18,582
19,582
20,582
21,582
22,582
23,582
24,582
25,1024
26,1084
27,1144
28,1204
29,1204
30,1204
31,1586
32,1586
33,1586
34,1586
36,1586
37,1586
38,1586
39,1586
40,1586
41,1586
42,1586
43,1586
44,1586
45,1586
46,1586
47,1586
48,1586
49,1586
50,1586
51,1586
52,1586
53,1586
54,1586
55,1586
56,1586
57,1586
58,1586
59,1586
60,1586
61,1586
63,1586
64,1586
65,1586
66,1586
67,1646
68,1646
69,2168
70,2168
71,2168
72,2168
73,2168
74,2228
75,2228
76,2228
77,2228
78,2228
79,2228
80,2228
81,2228
82,2228
83,2228
84,2228
85,2670
86,2790
87,2790
88,2850
90,2850
91,2850
92,3232
93,3232
94,3232
95,3232
96,3232
97,3232
98,3232
99,3232
100,3232
101,3232
102,3232
103,3232
104,3232
105,3232
106,3232
107,3232
108,3232
109,3232
110,3232
111,3232
112,3232
113,3232
114,3232
116,3232
117,3232
118,3232
119,3232
120,3232
121,3232
122,3232
123,3232
124,3232
125,3232
126,3232
127,3292
128,3292
129,3814
130,3814
131,3814
132,3814
133,3874
134,3874
135,3874
136,3874
137,3874
138,3874
139,3874
140,3874
141,3874
143,3874
144,3874
145,3874
146,4376
147,4436
148,4436
149,4496
150,4496
151,4496
152,4878
153,4878
154,4878
155,4878
156,4878
157,4878
158,4878
159,4878
160,4878
161,4878
162,4878
163,4878
164,4878
165,4878
166,4878
167,4878
168,4878
170,4878
171,4878
172,4878
173,4878
174,4878
175,4878
176,4878
177,4878
178,4878
275,-991254
276,-990834
277,-990834
278,-990834
279,-990834
280,-990834
281,-990834
283,-990834
284,-990834
285,-990834
286,-990834
287,-990834
288,-990834
289,-990834
290,-990834
291,-990834
292,-990834
293,-990834
294,-990834
295,-990834
296,-990834
297,-990834
298,-990834
299,-990834
300,-990834
301,-990834
302,-990834
303,-990834
304,-990834
305,-990834
306,-990834
307,-990834
308,-990834
310,-990834
311,-990834
312,-990788
313,-990788
314,-990322
315,-990322
316,-990322
317,-990322
318,-990322
319,-990276
320,-990276
321,-990276
322,-990276
323,-990276
324,-990276
325,-989876
326,-989830
327,-989784
328,-989738
329,-989738
330,-989738
331,-989738
332,-989738
333,-989738
334,-989738
336,-989738
337,-989738
338,-989738
339,-989738
340,-989738
341,-989738
342,-989692
343,-989692
344,-989226
345,-989226
346,-989226
347,-989226
348,-989226
349,-989180
350,-989180
351,-989180
352,-989180
353,-989180
354,-989180
355,-988780
356,-988734
357,-988688
358,-988642
359,-988642
360,-988642
361,-988642
363,-988596
364,-988596
365,-988596
366,-988596
367,-988288
368,-988288
369,-988242
370,-988242
371,-988242
372,-988196
373,-988196
374,-988196
375,-988196
376,-988196
377,-988196
378,-988196
379,-988196
380,-988196
381,-988196
382,-988196
383,-988196
384,-988196
385,-988196
386,-988196
387,-988196
388,-988196
390,-988196
391,-988196
392,-988196
393,-988196
394,-988196
395,-988196
396,-988196
397,-988196
398,-988196
399,-988196
400,-988196
401,-988196
402,-988150
403,-987684
404,-987684
405,-987684
406,-987684
407,-987684
408,-987638
409,-987638
410,-987638
411,-987638
412,-987638
413,-987638
414,-987638
416,-987192
417,-987146
418,-987146
419,-987100
420,-987100
421,-987100
422,-987100
423,-987100
424,-987100
425,-987100
426,-987100
427,-987100
428,-987100
429,-987100
430,-987100
431,-987100
432,-987054
433,-986588
434,-986588
435,-986588
436,-986588
437,-986588
438,-986542
439,-986542
440,-986542
441,-986542
443,-986542
444,-986542
445,-986542
446,-986096
447,-986050
448,-986050
449,-986004
450,-986004
451,-986004
452,-985958
453,-985958
454,-985958
455,-985958
456,-985958
457,-985650
458,-985604
459,-985604
460,-985604
461,-985604
462,-985604
463,-985604
464,-985604
465,-985604
466,-985604
467,-985604
469,-985604
470,-985604
471,-985604
472,-985604
473,-985604
474,-985604
475,-985604
476,-985604
477,-985604
478,-985604
479,-985604
480,-985604
481,-985604
482,-985604
483,-985604
484,-985604
485,-985604
486,-985604
487,-985604
488,-985604
489,-985604
490,-985604
491,-985604
492,-985558
493,-985092
494,-985092
496,-985092
497,-985092
