time(s),total_rx(bytes)
0,0
1,74
2,148
3,148
4,222
5,222
6,264
7,264
8,817
9,817
11,817
12,817
13,817
14,859
15,859
16,859
17,859
18,859
19,859
20,859
21,859
22,859
23,859
24,859
25,859
26,859
27,859
28,859
29,859
30,859
31,1272
32,1272
33,1272
34,1272
35,1272
37,1272
38,1272
39,1272
40,1272
41,1272
42,1272
43,1272
44,1272
45,1272
46,1272
47,1272
48,1272
49,1272
50,1272
51,1272
52,1272
53,1272
54,1272
55,1272
56,1272
57,1272
58,1272
59,1272
60,1272
61,1685
62,1685
64,1685
65,1685
66,1685
67,1769
68,1769
69,1769
70,1769
71,1769
72,1769
73,1769
74,1769
75,1769
76,1769
77,1769
78,1769
79,1769
80,1769
81,1769
82,1769
83,1769
84,1769
85,1769
86,1769
87,1769
88,1769
90,1769
91,1769
92,2182
93,2182
94,2182
95,2182
96,2182
97,2224
98,2278
99,2332
100,2332
101,2386
102,2386
103,2386
104,2386
105,2386
106,2386
107,2386
108,2386
109,2386
110,2386
111,2386
112,2386
113,2386
114,2386
115,2386
117,2386
118,2386
119,2386
120,2386
121,2733
122,3774
123,4121
124,4121
125,4468
126,4468
127,4468
128,4815
129,4815
130,4815
131,4815
132,4815
133,4857
134,5757
135,5757
136,5757
137,5757
138,5757
139,5799
140,5799
141,5799
142,5799
144,5799
145,5799
146,5799
147,5799
148,5799
149,5799
150,5799
151,6212
152,6212
153,6212
154,6212
155,6212
156,6212
157,6212
158,6266
159,6266
160,6266
161,6266
162,6266
163,6266
164,6266
165,6266
166,6266
167,6266
168,6266
170,6266
171,6266
172,6266
173,6266
174,6266
175,6266
176,6266
177,6266
178,6266
179,6266
180,6266
181,6960
182,7654
183,8001
184,8348
185,8348
186,8348
187,8348
188,8695
189,8695
190,8695
191,8695
192,8695
193,8737
194,9637
195,9637
197,9637
198,9637
199,9637
200,9679
201,9679
202,9679
203,9679
204,9679
205,9679
206,9679
207,9679
208,9679
209,9679
210,9679
211,10092
212,10092
213,10092
214,10092
215,10092
216,10092
217,10146
218,10146
219,10146
220,10146
221,10146
222,10146
224,10146
225,10146
226,10146
227,10146
228,10146
229,10146
230,10146
231,10146
232,10146
233,10146
234,10146
235,10146
236,10146
237,10146
238,10146
239,10146
240,10146
241,11187
242,11534
243,11881
244,12228
245,12228
246,12228
247,12575
248,12575
250,12575
251,12575
252,12575
253,12617
254,12617
255,13517
256,13517
257,13517
258,13517
259,13517
260,13559
261,13559
262,13559
263,13559
264,13559
265,13559
266,13559
267,13559
268,13559
269,13559
270,13559
271,13972
272,13972
273,13972
274,13972
275,13972
277,13972
278,14026
279,14026
280,14026
281,14026
282,14026
283,14026
284,14026
285,14026
286,14026
287,14026
288,14026
289,14026
