time(s),total_rx(bytes)
0,0
1,74
2,148
3,148
4,222
5,222
6,264
7,264
8,817
9,817
10,817
11,817
12,817
13,859
14,859
15,859
16,859
17,859
18,859
19,859
20,859
21,859
22,859
23,859
24,859
26,859
27,859
28,859
29,859
30,859
31,1272
32,1272
33,1272
34,1272
35,1272
36,1272
37,1272
38,1272
39,1272
40,1272
41,1272
42,1272
43,1272
44,1272
45,1272
46,1272
47,1272
48,1272
49,1272
50,1272
51,1272
53,1272
54,1272
55,1272
56,1272
57,1272
58,1272
59,1272
60,1272
61,1685
62,1685
63,1685
64,1685
65,1685
66,1727
67,1727
68,1727
69,1727
70,1727
71,1727
72,1727
73,1727
74,1727
75,1727
76,1727
77,1727
79,1727
80,1727
81,1727
82,1727
83,1727
84,1727
85,1727
86,1727
87,1727
88,1727
89,1727
90,1727
91,2140
92,2140
93,2140
94,2140
95,2140
96,2140
97,2140
98,2140
99,2140
100,2140
101,2140
102,2140
103,2140
104,2140
106,2140
107,2140
108,2140
109,2140
110,2140
111,2140
112,2140
113,2140
114,2140
115,2140
116,2140
117,2140
118,2140
119,2140
120,2140
121,3181
122,3528
123,3875
124,4222
125,4222
126,4264
127,5164
128,5164
129,5164
130,5164
132,5164
133,5260
134,5314
135,5314
136,5368
137,5368
138,5368
139,5368
140,5368
141,5368
142,5368
143,5368
144,5368
145,5368
146,5368
147,5368
148,5368
149,5368
150,5368
151,6409
152,7103
153,7103
154,7450
155,7450
156,7450
157,7839
159,7839
160,7839
161,7839
162,7839
163,7893
164,7893
165,8793
166,8793
167,8793
168,8793
169,8793
170,8793
171,8793
172,8793
173,8793
174,8793
175,8793
176,8793
177,8793
178,8793
179,8793
180,8793
181,9834
182,10528
183,10528
185,10875
186,10875
187,10875
188,11222
189,11222
190,11222
191,11222
192,11222
193,11222
194,11222
195,11569
196,11569
197,11569
198,11569
199,11569
200,11569
201,11569
202,11569
203,11569
204,11569
205,11569
206,11569
207,11916
208,11916
209,11916
210,11916
212,11916
213,11958
214,11958
215,11958
216,11958
217,11958
218,11958
219,11958
220,11958
221,11958
222,11958
223,12012
224,12012
225,12012
226,12012
227,12012
228,12012
229,12012
230,12012
231,12012
232,12012
233,12012
234,12012
235,12359
236,12359
238,12359
239,12359
240,12359
241,12359
242,12359
243,12359
244,12359
245,12359
246,12359
247,12359
248,12359
249,12359
250,12359
251,12359
252,12359
253,12359
254,12359
255,12359
256,12359
257,12359
258,12359
259,12359
260,12359
261,12359
262,12359
263,12359
265,12359
266,12359
267,12359
268,12359
269,12359
270,12359
271,12359
272,12359
273,12359
274,12359
275,12359
276,12359
277,12359
278,12359
279,12359
280,12359
281,12359
282,12359
283,12359
284,12359
285,12359
286,12359
287,12359
288,12706
