time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,60
7,60
8,522
9,522
11,522
12,522
13,522
14,582
15,582
16,582
17,582
18,582
19,582
20,582
21,582
22,582
23,582
24,582
25,582
26,582
27,582
28,582
29,582
30,582
31,904
32,904
33,904
34,904
35,904
37,904
38,904
39,904
40,904
41,904
42,904
43,904
44,904
45,904
46,904
47,904
48,904
49,904
50,904
51,904
52,904
53,904
54,904
55,904
56,904
57,904
58,904
59,904
60,904
61,1226
62,1226
64,1226
65,1226
66,1226
67,1346
68,1346
69,1346
70,1346
71,1346
72,1346
73,1346
74,1346
75,1346
76,1346
77,1346
78,1346
79,1346
80,1346
81,1346
82,1346
83,1346
84,1346
85,1346
86,1346
87,1346
88,1346
90,1346
91,1346
92,1668
93,1668
94,1668
95,1668
96,1668
97,1728
98,1802
99,1876
100,1876
101,1950
102,1950
103,1950
104,1950
105,1950
106,1950
107,1950
108,1950
109,1950
110,1950
111,1950
112,1950
113,1950
114,1950
115,1950
117,1950
118,1950
119,1950
120,1950
121,1950
122,1950
123,1950
124,1950
125,1950
126,1950
127,1950
128,1950
129,1950
130,1950
131,1950
132,1950
133,2010
134,2532
135,2532
136,2532
137,2532
138,2532
139,2592
140,2592
141,2592
142,2592
144,2592
145,2592
146,2592
147,2592
148,2592
149,2592
150,2592
151,2914
152,2914
153,2914
154,2914
155,2914
156,2914
157,2914
158,3356
159,3476
160,3476
161,3536
162,3536
163,3536
164,3536
165,3536
166,3536
167,3536
168,3536
170,3536
171,3536
172,3536
173,3536
174,3536
175,3536
176,3536
177,3536
178,3536
179,3536
180,3536
181,3536
182,3536
183,3536
184,3536
185,3536
186,3536
187,3536
188,3536
189,3536
190,3536
191,3536
192,3536
193,3596
194,4118
195,4118
197,4118
198,4118
199,4118
200,4178
201,4178
202,4178
203,4178
204,4178
205,4178
206,4178
207,4178
208,4178
209,4178
210,4178
211,4500
212,4500
213,4500
214,4500
215,4500
216,4500
217,4822
218,5002
219,5062
220,5062
221,5122
222,5122
224,5122
225,5122
226,5122
227,5122
228,5122
229,5122
230,5122
231,5122
232,5122
233,5122
234,5122
235,5122
236,5122
237,5122
238,5122
239,5122
240,5122
241,5122
242,5122
243,5122
244,5122
245,5122
246,5122
247,5122
248,5122
250,5122
251,5122
252,5122
253,5182
254,5182
255,5704
256,5704
257,5704
258,5704
259,5704
260,5764
261,5764
262,5764
263,5764
264,5764
265,5764
266,5764
267,5764
268,5764
269,5764
270,5764
271,6086
272,6086
273,6086
274,6086
275,6086
277,6086
278,6468
279,6588
280,6708
281,6768
282,6768
283,6768
284,6768
285,6768
286,6768
287,6768
288,6768
289,6768
290,6768
291,6768
292,6768
293,6768
294,6768
295,6768
296,6768
297,6768
298,6768
299,6768
300,6768
301,6768
303,6768
304,6768
305,6768
306,6768
307,6768
308,6768
309,6768
310,6768
311,6768
312,6768
313,6828
314,6828
315,7350
316,7350
317,7350
318,7350
319,7350
320,7410
321,7410
322,7410
323,7410
324,7410
325,7410
326,7410
327,7410
328,7410
330,7410
331,7410
332,7732
333,7732
334,7732
335,7732
336,7830
337,7928
338,8026
339,8124
340,8222
341,8320
342,8320
343,8320
344,8320
345,8320
346,8320
347,8320
348,8320
349,8320
350,8320
351,8320
352,8320
353,8320
354,8320
356,8320
357,8320
358,8320
359,8320
360,8320
361,8320
362,8320
363,8320
364,8320
365,8320
366,8320
367,8320
368,8320
369,8320
370,8320
371,8320
372,8320
373,8380
374,8902
375,8902
376,8902
377,8902
378,8902
379,8962
380,8962
381,8962
383,8962
384,8962
385,8962
386,8962
387,8962
388,8962
389,8962
390,8962
391,9284
392,9284
393,9284
394,9284
395,9284
396,9284
397,9284
398,9284
399,9284
400,9284
401,9284
402,9284
403,9786
404,9846
405,9846
406,9906
407,9906
408,9906
410,9906
411,9906
412,9906
413,9906
414,9906
415,9906
416,9906
417,9906
418,9906
419,9906
420,9906
421,9906
422,9906
423,9906
424,9906
425,9906
426,9906
427,9966
428,10488
429,10488
430,10488
431,10488
432,10810
433,10990
434,11050
436,11050
437,11110
438,11110
439,11110
440,11110
441,11110
442,11110
443,11110
444,11110
445,11110
446,11110
447,11110
448,11110
449,11110
450,11110
451,11110
452,11110
