time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,60
7,60
8,522
9,522
10,522
11,522
12,522
13,582
14,582
15,582
16,582
17,582
18,582
19,582
20,582
21,582
22,582
23,582
24,582
26,582
27,582
28,582
29,582
30,582
31,904
32,904
33,904
34,904
35,904
36,904
37,904
38,904
39,904
40,904
41,904
42,904
43,904
44,904
45,904
46,904
47,904
48,904
49,904
50,904
51,904
53,904
54,904
55,904
56,904
57,904
58,904
59,904
60,904
61,1226
62,1226
63,1226
64,1226
65,1226
66,1286
67,1286
68,1286
69,1286
70,1286
71,1286
72,1286
73,1286
74,1286
75,1286
76,1286
77,1286
79,1286
80,1286
81,1286
82,1286
83,1286
84,1286
85,1286
86,1286
87,1286
88,1286
89,1286
90,1286
91,1608
92,1608
93,1608
94,1608
95,1608
96,1608
97,1608
98,1608
99,1608
100,1608
101,1608
102,1608
103,1608
104,1608
106,1706
107,1804
108,1902
109,2000
110,2098
111,2098
112,2098
113,2098
114,2098
115,2098
116,2098
117,2098
118,2098
119,2098
120,2098
121,2098
122,2098
123,2098
124,2098
125,2098
126,2158
127,2680
128,2680
129,2680
130,2680
132,2680
133,2814
134,2888
135,2888
136,2962
137,2962
138,2962
139,2962
140,2962
141,2962
142,2962
143,2962
144,2962
145,2962
146,2962
147,2962
148,2962
149,2962
150,2962
151,2962
152,2962
153,2962
154,2962
155,2962
156,2962
157,3022
159,3022
160,3022
161,3022
162,3022
163,3404
164,3524
165,4106
166,4166
167,4166
168,4166
169,4166
170,4166
171,4166
172,4166
173,4166
174,4166
175,4166
176,4166
177,4166
178,4166
179,4166
180,4166
181,4166
182,4166
183,4166
185,4166
186,4166
187,4166
188,4166
189,4166
190,4166
191,4166
192,4166
193,4166
194,4166
195,4166
196,4166
197,4166
198,4166
199,4166
200,4166
201,4166
202,4166
203,4166
204,4166
205,4166
206,4166
207,4166
208,4166
209,4166
210,4166
212,4166
213,4226
214,4226
215,4226
216,4226
217,4226
218,4226
219,4226
220,4226
221,4226
222,4226
223,4668
224,4788
225,4788
226,4848
227,4848
228,4848
229,4848
230,4848
231,4848
232,4848
233,4848
234,4848
235,4848
236,4848
238,4848
239,4848
240,4848
241,4848
242,4848
243,4848
244,4848
245,4848
246,4848
247,4848
248,4848
249,4848
250,4848
251,4848
252,4848
253,4848
254,4848
255,4848
256,4848
257,4848
258,4848
259,4848
260,4848
261,4848
262,4848
263,4848
265,4848
266,4848
267,4848
268,4848
269,4848
270,4848
271,4848
272,4848
273,4848
274,4848
275,4848
276,4848
277,4848
278,4848
279,4848
280,4848
281,4848
282,4848
283,4848
284,4848
285,4848
286,4848
287,4848
288,4848
289,4848
291,4848
292,4848
293,4848
294,4908
295,4908
296,4908
297,4908
298,4908
299,4908
300,4908
301,4908
302,4908
303,4908
304,4908
305,4908
306,4908
307,4908
308,4908
309,4908
310,4908
311,4908
312,5230
313,5410
314,5470
315,5470
316,5530
318,5590
319,5590
320,5650
321,5650
322,5650
323,5650
324,5650
325,5650
326,5650
327,5650
328,5650
329,5650
330,5650
331,5650
332,5650
333,5650
334,5650
335,5650
336,5650
337,5650
338,5650
339,5650
340,5650
341,5650
342,5650
343,5650
345,5650
346,5650
347,5650
348,5650
349,5650
350,5650
351,5650
352,5650
353,5650
354,5650
355,5650
356,5650
357,5650
358,5650
359,5650
360,5650
361,5650
362,5650
363,5650
364,5650
365,5650
366,5710
367,5710
368,6246
369,6246
371,6246
372,6246
373,6628
374,6748
375,6808
376,6868
377,6868
378,6868
379,6868
380,6868
381,6868
382,6868
383,6868
384,6868
385,6868
386,6868
387,6868
388,6868
389,6868
390,6868
391,6868
392,6868
393,6868
394,6868
395,6868
396,6868
398,6868
399,6868
400,6868
401,6868
402,6868
403,6868
404,6868
405,6868
406,6868
407,6868
408,6868
409,6868
410,6868
411,6868
412,6868
413,6868
414,6868
415,6868
416,6868
417,6868
418,6868
419,6868
420,6868
421,6868
422,6928
424,6928
425,6928
426,6928
427,6928
428,6928
429,6928
430,6928
431,6928
432,6928
433,7370
434,7562
435,7622
436,7682
437,7682
438,7682
439,7682
440,7682
441,7682
442,7682
443,7682
444,7682
445,7682
446,7682
447,7682
448,7682
449,7682
451,7682
452,7682
