[2019-11-28 12:47:18] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 12:47:19] 
[2019-11-28 12:47:19] 12:47:18      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-28 12:47:19] 12:47:19    20001     28961   28.00    0.00    0.00    0.00   28.00    12  qrail-cli
[2019-11-28 12:47:20] 12:47:20    20001     28961   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:47:21] 12:47:21    20001     28961   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:47:22] 12:47:22    20001     28961  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:47:23] 12:47:23    20001     28961   50.00    1.00    0.00    0.00   51.00    12  qrail-cli
[2019-11-28 12:47:24] 12:47:24    20001     28961    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:47:25] 12:47:25    20001     28961    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:47:26] 12:47:26    20001     28961    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:47:27] 12:47:27    20001     28961    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:47:28] 12:47:28    20001     28961    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:47:29] 12:47:29    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:30] 12:47:30    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:31] 12:47:31    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:32] 12:47:32    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:33] 12:47:33    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:34] 12:47:34    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:35] 12:47:35    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:36] 12:47:36    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:37] 12:47:37    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:38] 12:47:38    20001     28961    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2019-11-28 12:47:39] 12:47:39    20001     28961    1.00    0.00    0.00    0.00    1.00    11  qrail-cli
[2019-11-28 12:47:40] 12:47:40    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:41] 12:47:41    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:42] 12:47:42    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:43] 12:47:43    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:44] 12:47:44    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:45] 12:47:45    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:46] 12:47:46    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:47] 12:47:47    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:48] 12:47:48    20001     28961    0.00    0.00    0.00    0.00    0.00    11  qrail-cli
[2019-11-28 12:47:49] 12:47:49    20001     28961   54.00    4.00    0.00    0.00   58.00     4  qrail-cli
[2019-11-28 12:47:50] 12:47:50    20001     28961   95.00    4.00    0.00    0.00   99.00     4  qrail-cli
[2019-11-28 12:47:51] 12:47:51    20001     28961   94.00    6.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-28 12:47:52] 12:47:52    20001     28961   95.00    5.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-28 12:47:53] 12:47:53    20001     28961   95.00    5.00    0.00    0.00  100.00     4  qrail-cli
