[2019-11-29 02:14:42] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/29/19 	_x86_64_	(16 CPU)
[2019-11-29 02:14:43] 
[2019-11-29 02:14:43] 02:14:42      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-29 02:14:43] 02:14:43    20001      7453   30.00    1.00    0.00    0.00   31.00    12  qrail-cli
[2019-11-29 02:14:44] 02:14:44    20001      7453   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 02:14:45] 02:14:45    20001      7453   80.00    1.00    0.00    0.00   81.00    12  qrail-cli
[2019-11-29 02:14:46] 02:14:46    20001      7453   83.00    0.00    0.00    0.00   83.00    12  qrail-cli
[2019-11-29 02:14:47] 02:14:47    20001      7453   88.00    3.00    0.00    0.00   91.00    12  qrail-cli
[2019-11-29 02:14:48] 02:14:48    20001      7453   66.00    1.00    0.00    0.00   67.00    12  qrail-cli
[2019-11-29 02:14:49] 02:14:49    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:50] 02:14:50    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:51] 02:14:51    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:52] 02:14:52    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:53] 02:14:53    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:54] 02:14:54    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:55] 02:14:55    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:56] 02:14:56    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:57] 02:14:57    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:58] 02:14:58    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:14:59] 02:14:59    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:15:00] 02:15:00    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:15:01] 02:15:01    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:15:02] 02:15:02    20001      7453    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 02:15:03] 02:15:03    20001      7453    0.00    1.00    0.00    0.00    1.00     1  qrail-cli
[2019-11-29 02:15:04] 02:15:04    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:05] 02:15:05    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:06] 02:15:06    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:07] 02:15:07    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:08] 02:15:08    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:09] 02:15:09    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:10] 02:15:10    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:11] 02:15:11    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:12] 02:15:12    20001      7453    0.00    0.00    0.00    0.00    0.00     1  qrail-cli
[2019-11-29 02:15:13] 02:15:13    20001      7453   63.00    2.00    0.00    0.00   65.00     4  qrail-cli
[2019-11-29 02:15:14] 02:15:14    20001      7453   98.00    2.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-29 02:15:15] 02:15:15    20001      7453   96.00    4.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-29 02:15:16] 02:15:16    20001      7453   98.00    2.00    0.00    0.00  100.00     4  qrail-cli
[2019-11-29 02:15:17] 02:15:17    20001      7453   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2019-11-29 02:15:18] 02:15:18    20001      7453  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 02:15:19] 02:15:19    20001      7453  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 02:15:20] 02:15:20    20001      7453   96.00    4.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 02:15:21] 02:15:21    20001      7453   99.00    1.00    0.00    1.00  100.00    12  qrail-cli
