time(s),cpu(%)
0,31.00
1,100.00
2,99.00
3,100.00
4,53.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,38.00
19,100.00
20,100.00
21,100.00
22,100.00
23,100.00
24,99.00
25,100.00
26,100.00
27,100.00
28,100.00
29,100.00
30,100.00
31,100.00
32,100.00
33,100.00
34,100.00
35,100.00
36,99.00
37,100.00
38,100.00
39,41.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,38.00
49,100.00
50,99.00
51,100.00
52,99.00
53,100.00
54,100.00
55,100.00
56,100.00
57,56.00
58,0.00
59,0.00
60,0.00
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,39.00
79,100.00
80,100.00
81,100.00
82,100.00
83,100.00
84,100.00
85,100.00
86,99.00
87,96.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,0.00
102,0.00
103,0.00
104,0.00
105,0.00
106,0.00
107,0.00
108,40.00
109,100.00
110,100.00
111,100.00
112,99.00
113,84.00
114,0.00
115,0.00
116,0.00
117,0.00
118,0.00
119,0.00
120,0.00
121,0.00
122,0.00
123,0.00
124,0.00
125,0.00
126,0.00
127,0.00
128,0.00
129,0.00
130,0.00
131,0.00
132,0.00
133,0.00
134,0.00
135,0.00
136,0.00
137,0.00
138,41.00
139,100.00
140,100.00
141,99.00
142,100.00
143,99.00
144,100.00
145,100.00
146,41.00
147,0.00
148,0.00
149,0.00
150,0.00
151,0.00
152,0.00
153,0.00
154,0.00
155,0.00
156,0.00
157,0.00
158,0.00
159,0.00
160,0.00
161,0.00
162,0.00
163,0.00
164,0.00
165,0.00
166,0.00
167,0.00
168,41.00
169,100.00
170,100.00
171,100.00
172,100.00
173,100.00
174,65.00
175,0.00
176,0.00
177,0.00
178,0.00
179,0.00
180,0.00
181,0.00
182,0.00
183,0.00
184,0.00
185,0.00
186,0.00
187,0.00
188,0.00
189,0.00
190,0.00
191,0.00
192,0.00
193,0.00
194,0.00
195,0.00
196,0.00
197,0.00
198,41.00
199,100.00
200,100.00
201,100.00
202,99.00
203,99.00
204,100.00
205,99.00
206,100.00
207,99.01
208,100.00
209,73.00
210,0.00
211,0.00
212,0.00
213,0.00
214,0.00
215,0.00
216,0.00
217,0.00
218,0.00
219,0.00
220,0.00
221,0.00
222,0.00
223,0.00
224,0.00
225,0.00
226,0.00
227,0.00
228,42.00
229,100.00
230,99.00
231,13.00
232,0.00
233,0.00
234,0.00
235,0.00
236,0.00
237,0.00
238,0.00
239,0.00
240,0.00
241,0.00
242,0.00
243,0.00
244,0.00
245,0.00
246,0.00
247,0.00
248,0.00
249,0.00
250,0.00
251,0.00
252,0.00
253,0.00
254,0.00
255,0.00
256,0.00
257,0.00
258,44.00
259,99.00
260,100.00
261,100.00
262,100.00
263,100.00
264,75.00
265,0.00
266,0.00
267,0.00
268,0.00
269,0.00
270,0.00
271,0.00
272,0.00
273,0.00
274,0.00
275,0.00
276,0.00
277,0.00
278,0.00
279,1.00
280,0.00
281,0.00
282,0.00
283,0.00
284,0.00
285,0.00
286,0.00
287,0.00
288,43.00
289,100.00
290,99.00
291,100.00
292,100.00
293,100.00
294,100.00
295,99.00
296,100.00
297,100.00
298,99.00
299,100.00
300,67.00
301,0.00
302,0.00
303,0.00
304,0.00
305,0.00
306,0.00
307,0.00
308,0.00
309,0.00
310,0.00
311,0.00
312,0.00
313,0.00
314,0.00
315,0.00
316,0.00
317,0.00
318,42.00
319,100.00
320,99.00
321,100.00
322,99.00
323,100.00
324,100.00
325,99.00
326,99.01
327,100.00
328,100.00
329,100.00
330,19.00
331,0.00
332,0.00
333,0.00
334,0.00
335,0.00
336,0.00
337,0.00
338,0.00
339,0.00
340,0.00
341,0.00
342,0.00
343,0.00
344,0.00
345,0.00
346,0.00
347,0.00
348,44.00
349,100.00
350,100.00
351,99.00
352,100.00
353,99.00
354,63.00
355,0.00
356,0.00
357,0.00
358,0.00
359,0.00
360,0.00
361,0.00
362,0.00
363,0.00
364,0.00
365,0.00
366,0.00
367,0.00
368,0.00
369,0.00
370,0.00
371,0.00
372,0.00
373,0.00
374,0.00
375,0.00
376,0.00
377,0.00
378,44.00
379,100.00
380,99.00
381,100.00
382,100.00
383,100.00
384,99.00
385,100.00
386,100.00
387,99.00
388,100.00
389,99.00
390,71.00
391,0.00
392,0.00
393,0.00
394,0.00
395,0.00
396,0.00
397,0.00
398,0.00
399,0.00
400,0.00
401,0.00
402,0.00
403,0.00
404,0.00
405,0.00
406,0.00
407,0.00
408,45.00
409,100.00
410,100.00
411,100.00
412,100.00
413,100.00
414,99.00
415,100.00
416,100.00
417,100.00
418,100.00
419,100.00
420,100.00
421,21.00
422,0.00
423,0.00
424,0.00
425,0.00
426,0.00
427,0.00
428,0.00
429,0.00
430,0.00
431,0.00
432,0.00
433,0.00
434,0.00
435,0.00
436,0.00
437,0.00
438,46.00
439,100.00
440,99.00
441,100.00
442,100.00
443,100.00
444,99.00
445,100.00
446,99.00
447,0.00
448,0.00
449,0.00
450,0.00
451,0.00
452,0.00
453,0.00
454,0.00
455,0.00
456,0.00
457,0.00
458,0.00
459,0.00
460,0.00
461,0.00
462,0.00
463,0.00
464,0.00
465,0.00
466,0.00
467,0.00
468,46.00
469,99.00
470,100.00
471,100.00
472,99.00
473,100.00
474,100.00
475,67.00
476,0.00
477,0.00
478,0.00
479,0.00
480,0.00
481,0.00
482,0.00
483,0.00
484,0.00
485,0.00
486,0.00
487,0.00
488,0.00
489,0.00
490,0.00
491,0.00
492,0.00
493,0.00
494,0.00
495,0.00
496,0.00
497,0.00
498,46.00
499,100.00
500,100.00
501,99.00
502,100.00
503,100.00
504,99.00
505,100.00
506,67.00
507,0.00
508,0.00
509,0.00
510,0.00
511,0.00
512,0.00
513,0.00
514,0.00
515,0.00
516,0.00
517,0.00
518,0.00
519,0.00
520,0.00
521,0.00
522,0.00
523,0.00
524,0.00
525,0.00
526,0.00
527,0.00
528,48.00
529,100.00
530,99.00
531,100.00
532,100.00
533,100.00
534,100.00
535,99.00
536,100.00
537,4.00
538,0.00
539,0.00
540,0.00
541,0.00
542,0.00
543,0.00
544,0.00
545,0.00
546,0.00
547,0.00
548,0.00
549,0.00
550,0.00
551,0.00
552,0.00
553,0.00
554,0.00
555,0.00
556,0.00
557,0.00
558,48.00
559,100.00
560,100.00
561,100.00
562,100.00
563,99.00
564,100.00
565,100.00
566,100.00
567,100.00
568,92.00
569,0.00
570,0.00
571,0.00
572,0.00
573,0.00
574,0.00
575,0.00
576,0.00
577,0.00
578,0.00
579,0.00
580,0.00
581,0.00
582,0.00
583,0.00
584,0.00
585,0.00
586,0.00
587,0.00
588,49.00
589,100.00
590,100.00
591,99.00
592,100.00
593,99.00
594,100.00
595,100.00
596,15.00
597,0.00
598,0.00
599,0.00
600,0.00
601,0.00
602,0.00
603,0.00
604,0.00
605,0.00
606,0.00
607,0.00
608,0.00
609,0.00
610,0.00
611,0.00
612,0.00
613,0.00
614,0.00
615,0.00
