[2020-02-01 09:28:30] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 09:28:31] 
[2020-02-01 09:28:31] 09:28:30      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-02-01 09:28:31] 09:28:31    20001     11384   28.00    3.00    0.00    0.00   31.00    13  qrail-cli
[2020-02-01 09:28:32] 09:28:32    20001     11384   98.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:33] 09:28:33    20001     11384   99.00    0.00    0.00    0.00   99.00    13  qrail-cli
[2020-02-01 09:28:34] 09:28:34    20001     11384   99.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:35] 09:28:35    20001     11384   53.00    0.00    0.00    0.00   53.00    13  qrail-cli
[2020-02-01 09:28:36] 09:28:36    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:37] 09:28:37    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:38] 09:28:38    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:39] 09:28:39    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:40] 09:28:40    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:41] 09:28:41    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:42] 09:28:42    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:43] 09:28:43    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:44] 09:28:44    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:45] 09:28:45    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:46] 09:28:46    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:47] 09:28:47    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:48] 09:28:48    20001     11384    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2020-02-01 09:28:49] 09:28:49    20001     11384   35.00    3.00    0.00    0.00   38.00    13  qrail-cli
[2020-02-01 09:28:50] 09:28:50    20001     11384   95.00    5.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:51] 09:28:51    20001     11384   95.00    5.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:52] 09:28:52    20001     11384   95.00    5.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:53] 09:28:53    20001     11384   94.00    6.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:54] 09:28:54    20001     11384   92.00    8.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:55] 09:28:55    20001     11384   95.00    4.00    0.00    0.00   99.00    13  qrail-cli
[2020-02-01 09:28:56] 09:28:56    20001     11384   94.00    6.00    0.00    0.00  100.00    13  qrail-cli
[2020-02-01 09:28:57] 09:28:57    20001     11384   94.00    6.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 09:28:58] 09:28:58    20001     11384   89.00   11.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 09:28:59] 09:28:59    20001     11384   92.00    8.00    0.00    0.00  100.00     4  qrail-cli
