[2020-02-01 01:31:58] Linux 4.15.0-72-generic (lc-client.benchlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 01:31:59] 
[2020-02-01 01:31:59] 01:31:58      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-02-01 01:31:59] 01:31:59    20001     22690   38.00    3.00    0.00    0.00   41.00    12  qrail-cli
[2020-02-01 01:32:00] 01:32:00    20001     22690   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 01:32:01] 01:32:01    20001     22690   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2020-02-01 01:32:02] 01:32:02    20001     22690  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 01:32:03] 01:32:03    20001     22690   60.00    2.00    0.00    0.00   62.00    12  qrail-cli
[2020-02-01 01:32:04] 01:32:04    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:05] 01:32:05    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:06] 01:32:06    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:07] 01:32:07    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:08] 01:32:08    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:09] 01:32:09    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:10] 01:32:10    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:11] 01:32:11    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:12] 01:32:12    20001     22690    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 01:32:13] 01:32:13    20001     22690   22.00    1.00    0.00    0.00   23.00     0  qrail-cli
[2020-02-01 01:32:14] 01:32:14    20001     22690   95.00    6.00    0.00    0.00  100.00     0  qrail-cli
[2020-02-01 01:32:15] 01:32:15    20001     22690   94.00    5.00    0.00    0.00   99.00     0  qrail-cli
[2020-02-01 01:32:16] 01:32:16    20001     22690   97.00    3.00    0.00    0.00  100.00     0  qrail-cli
[2020-02-01 01:32:17] 01:32:17    20001     22690   93.00    7.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:32:18] 01:32:18    20001     22690   24.00    2.00    0.00    0.00   26.00     4  qrail-cli
[2020-02-01 01:32:19] 01:32:19    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:20] 01:32:20    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:21] 01:32:21    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:22] 01:32:22    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:23] 01:32:23    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:24] 01:32:24    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:25] 01:32:25    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:26] 01:32:26    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:27] 01:32:27    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:28] 01:32:28    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:29] 01:32:29    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:30] 01:32:30    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:31] 01:32:31    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:32] 01:32:32    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:33] 01:32:33    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:34] 01:32:34    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:35] 01:32:35    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:36] 01:32:36    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:37] 01:32:37    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:38] 01:32:38    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:39] 01:32:39    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:40] 01:32:40    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:41] 01:32:41    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:42] 01:32:42    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:43] 01:32:43    20001     22690   22.00    2.00    0.00    0.00   24.00     4  qrail-cli
[2020-02-01 01:32:44] 01:32:44    20001     22690   96.00    4.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:32:45] 01:32:45    20001     22690   93.00    6.00    0.00    0.00   99.00     4  qrail-cli
[2020-02-01 01:32:46] 01:32:46    20001     22690   96.00    4.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:32:47] 01:32:47    20001     22690   93.00    7.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:32:48] 01:32:48    20001     22690   47.00    5.00    0.00    0.00   52.00     4  qrail-cli
[2020-02-01 01:32:49] 01:32:49    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:50] 01:32:50    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:51] 01:32:51    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:52] 01:32:52    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:53] 01:32:53    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:54] 01:32:54    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:55] 01:32:55    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:56] 01:32:56    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:57] 01:32:57    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:32:58] 01:32:58    20001     22690    1.00    0.00    0.00    0.00    1.00     4  qrail-cli
[2020-02-01 01:32:59] 01:32:59    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:00] 01:33:00    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:01] 01:33:01    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:02] 01:33:02    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:03] 01:33:03    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:04] 01:33:04    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:05] 01:33:05    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:06] 01:33:06    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:07] 01:33:07    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:08] 01:33:08    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:09] 01:33:09    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:10] 01:33:10    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:11] 01:33:11    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:12] 01:33:12    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:13] 01:33:13    20001     22690   21.00    2.00    0.00    0.00   23.00     4  qrail-cli
[2020-02-01 01:33:14] 01:33:14    20001     22690   94.00    6.00    0.00    1.00  100.00     4  qrail-cli
[2020-02-01 01:33:15] 01:33:15    20001     22690   95.00    5.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:33:16] 01:33:16    20001     22690   95.00    5.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:33:17] 01:33:17    20001     22690   94.00    6.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:33:18] 01:33:18    20001     22690   37.00    1.00    0.00    0.00   38.00     4  qrail-cli
[2020-02-01 01:33:19] 01:33:19    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:20] 01:33:20    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:21] 01:33:21    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:22] 01:33:22    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:23] 01:33:23    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:24] 01:33:24    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:25] 01:33:25    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:26] 01:33:26    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:27] 01:33:27    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:28] 01:33:28    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:29] 01:33:29    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:30] 01:33:30    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:31] 01:33:31    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:32] 01:33:32    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:33] 01:33:33    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:34] 01:33:34    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:35] 01:33:35    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:36] 01:33:36    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:37] 01:33:37    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:38] 01:33:38    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:39] 01:33:39    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:40] 01:33:40    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:41] 01:33:41    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:42] 01:33:42    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:43] 01:33:43    20001     22690   24.00    1.00    0.00    0.00   25.00     0  qrail-cli
[2020-02-01 01:33:44] 01:33:44    20001     22690   94.00    5.00    0.00    0.00   99.00     4  qrail-cli
[2020-02-01 01:33:45] 01:33:45    20001     22690   95.00    5.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:33:46] 01:33:46    20001     22690   93.00    8.00    0.00    0.00  100.00     4  qrail-cli
[2020-02-01 01:33:47] 01:33:47    20001     22690   85.00    2.00    0.00    0.00   87.00     4  qrail-cli
[2020-02-01 01:33:48] 01:33:48    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:49] 01:33:49    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:50] 01:33:50    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:51] 01:33:51    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:52] 01:33:52    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:53] 01:33:53    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:54] 01:33:54    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:55] 01:33:55    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:56] 01:33:56    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:57] 01:33:57    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:58] 01:33:58    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:33:59] 01:33:59    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:00] 01:34:00    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:01] 01:34:01    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:02] 01:34:02    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:03] 01:34:03    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:04] 01:34:04    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:05] 01:34:05    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:06] 01:34:06    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:07] 01:34:07    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:08] 01:34:08    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:09] 01:34:09    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:10] 01:34:10    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-02-01 01:34:11] 01:34:11    20001     22690    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
