[2020-01-30 06:09:57] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 06:09:58] 
[2020-01-30 06:09:58] 06:09:57      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 06:09:58] 06:09:58    20001      8889   27.00    1.00    0.00    0.00   28.00    12  qrail-cli
[2020-01-30 06:09:59] 06:09:59    20001      8889   94.00    3.00    0.00    0.00   97.00    12  qrail-cli
[2020-01-30 06:10:00] 06:10:00    20001      8889   94.00    5.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 06:10:01] 06:10:01    20001      8889   96.00    3.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 06:10:02] 06:10:02    20001      8889   62.00    1.00    0.00    0.00   63.00     2  qrail-cli
[2020-01-30 06:10:03] 06:10:03    20001      8889   99.00    2.00    0.00    0.00  100.00     2  qrail-cli
[2020-01-30 06:10:04] 06:10:04    20001      8889   86.00    1.00    0.00    0.00   87.00     4  qrail-cli
[2020-01-30 06:10:05] 06:10:05    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:06] 06:10:06    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:07] 06:10:07    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:08] 06:10:08    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:09] 06:10:09    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:10] 06:10:10    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:11] 06:10:11    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:12] 06:10:12    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:13] 06:10:13    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:14] 06:10:14    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:15] 06:10:15    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:16] 06:10:16    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:17] 06:10:17    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 06:10:18] 06:10:18    20001      8889    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
