[2019-11-29 09:57:15] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/29/19 	_x86_64_	(16 CPU)
[2019-11-29 09:57:16] 
[2019-11-29 09:57:16] 09:57:15      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-29 09:57:16] 09:57:16    20001      4555   32.00    1.00    0.00    0.00   33.00    12  qrail-cli
[2019-11-29 09:57:17] 09:57:17    20001      4555   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:18] 09:57:18    20001      4555   99.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:19] 09:57:19    20001      4555   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:20] 09:57:20    20001      4555   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:21] 09:57:21    20001      4555   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:22] 09:57:22    20001      4555   67.00    0.00    0.00    0.00   67.00    12  qrail-cli
[2019-11-29 09:57:23] 09:57:23    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:24] 09:57:24    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:25] 09:57:25    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:26] 09:57:26    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:27] 09:57:27    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:28] 09:57:28    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:29] 09:57:29    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:30] 09:57:30    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:31] 09:57:31    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:32] 09:57:32    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:33] 09:57:33    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:34] 09:57:34    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:35] 09:57:35    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:36] 09:57:36    20001      4555    0.00    1.00    0.00    0.00    1.00    12  qrail-cli
[2019-11-29 09:57:37] 09:57:37    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:38] 09:57:38    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:39] 09:57:39    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:40] 09:57:40    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:41] 09:57:41    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:42] 09:57:42    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:43] 09:57:43    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:44] 09:57:44    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:45] 09:57:45    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:46] 09:57:46    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:47] 09:57:47    20001      4555   63.00    2.00    0.00    0.00   65.00    12  qrail-cli
[2019-11-29 09:57:48] 09:57:48    20001      4555   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:49] 09:57:49    20001      4555   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:50] 09:57:50    20001      4555  100.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:51] 09:57:51    20001      4555   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-29 09:57:52] 09:57:52    20001      4555   64.00    0.00    0.00    0.00   64.00    12  qrail-cli
[2019-11-29 09:57:53] 09:57:53    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:54] 09:57:54    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:55] 09:57:55    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:56] 09:57:56    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:57] 09:57:57    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:58] 09:57:58    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:57:59] 09:57:59    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:58:00] 09:58:00    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:58:01] 09:58:01    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:58:02] 09:58:02    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-29 09:58:03] 09:58:03    20001      4555    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
