[2020-01-31 02:25:04] Linux 4.15.0-72-generic (lc-client.benchlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 02:25:05] 
[2020-01-31 02:25:05] 02:25:04      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-31 02:25:05] 02:25:05    20001     14088   25.00    2.00    0.00    0.00   27.00    12  qrail-cli
[2020-01-31 02:25:06] 02:25:06    20001     14088    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:25:07] 02:25:07    20001     14088    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:25:08] 02:25:08    20001     14088    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:25:09] 02:25:09    20001     14088    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:25:10] 02:25:10    20001     14088    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:25:11] 02:25:11    20001     14088    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 02:25:12] 02:25:12    20001     14088    8.00    1.00    0.00    0.00    9.00     3  qrail-cli
[2020-01-31 02:25:13] 02:25:13    20001     14088   97.00    3.00    0.00    0.00  100.00     3  qrail-cli
[2020-01-31 02:25:14] 02:25:14    20001     14088   98.00    1.00    0.00    0.00   99.00     3  qrail-cli
[2020-01-31 02:25:15] 02:25:15    20001     14088   99.00    1.00    0.00    0.00  100.00     3  qrail-cli
[2020-01-31 02:25:16] 02:25:16    20001     14088  100.00    1.00    0.00    0.00  100.00     3  qrail-cli
[2020-01-31 02:25:17] 02:25:17    20001     14088   98.00    1.00    0.00    0.00   99.00     3  qrail-cli
[2020-01-31 02:25:18] 02:25:18    20001     14088    6.00    0.00    0.00    0.00    6.00     3  qrail-cli
[2020-01-31 02:25:19] 02:25:19    20001     14088    0.00    0.00    0.00    0.00    0.00     3  qrail-cli
