[2020-02-01 15:25:29] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 15:25:30] 
[2020-02-01 15:25:30] 15:25:29      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-02-01 15:25:30] 15:25:30    20001     21416   2120.00      0.00  429920   23676   0.19  qrail-cli
[2020-02-01 15:25:31] 15:25:31    20001     21416  12110.00      0.00  450960   44864   0.37  qrail-cli
[2020-02-01 15:25:32] 15:25:32    20001     21416   3889.00      0.00  462892   56776   0.46  qrail-cli
[2020-02-01 15:25:33] 15:25:33    20001     21416   7604.00      0.00  470424   64436   0.52  qrail-cli
[2020-02-01 15:25:34] 15:25:34    20001     21416   3157.00      0.00  480220   73912   0.60  qrail-cli
[2020-02-01 15:25:35] 15:25:35    20001     21416    347.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:36] 15:25:36    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:37] 15:25:37    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:38] 15:25:38    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:39] 15:25:39    20001     21416     22.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:40] 15:25:40    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:41] 15:25:41    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:42] 15:25:42    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:43] 15:25:43    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:44] 15:25:44    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:45] 15:25:45    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:46] 15:25:46    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:47] 15:25:47    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:48] 15:25:48    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:49] 15:25:49    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:50] 15:25:50    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:51] 15:25:51    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:52] 15:25:52    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:53] 15:25:53    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:54] 15:25:54    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:55] 15:25:55    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:56] 15:25:56    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:57] 15:25:57    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:58] 15:25:58    20001     21416      0.00      0.00  480380   74404   0.61  qrail-cli
[2020-02-01 15:25:59] 15:25:59    20001     21416    532.00      0.00  481520   75108   0.61  qrail-cli
[2020-02-01 15:26:00] 15:26:00    20001     21416    357.00      0.00  482612   75676   0.62  qrail-cli
[2020-02-01 15:26:01] 15:26:01    20001     21416      1.00      0.00  482612   75676   0.62  qrail-cli
[2020-02-01 15:26:02] 15:26:02    20001     21416      2.00      0.00  482612   75676   0.62  qrail-cli
[2020-02-01 15:26:03] 15:26:03    20001     21416   3530.00      0.00  482612   76012   0.62  qrail-cli
[2020-02-01 15:26:04] 15:26:04    20001     21416      9.00      0.00  482612   76012   0.62  qrail-cli
[2020-02-01 15:26:05] 15:26:05    20001     21416   3557.00      0.00  482612   76020   0.62  qrail-cli
[2020-02-01 15:26:06] 15:26:06    20001     21416      5.00      0.00  482612   76020   0.62  qrail-cli
[2020-02-01 15:26:07] 15:26:07    20001     21416      5.00      0.00  482612   76020   0.62  qrail-cli
[2020-02-01 15:26:08] 15:26:08    20001     21416    528.71      0.00  482612   76044   0.62  qrail-cli
[2020-02-01 15:26:09] 15:26:09    20001     21416   4616.00      0.00  482612   76132   0.62  qrail-cli
[2020-02-01 15:26:10] 15:26:10    20001     21416   3127.00      0.00  482612   76220   0.62  qrail-cli
[2020-02-01 15:26:11] 15:26:11    20001     21416   4267.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:12] 15:26:12    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:13] 15:26:13    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:14] 15:26:14    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:15] 15:26:15    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:16] 15:26:16    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:17] 15:26:17    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:18] 15:26:18    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:19] 15:26:19    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:20] 15:26:20    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:21] 15:26:21    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:22] 15:26:22    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:23] 15:26:23    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:24] 15:26:24    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:25] 15:26:25    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:26] 15:26:26    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:27] 15:26:27    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:28] 15:26:28    20001     21416      0.00      0.00  482612   76224   0.62  qrail-cli
[2020-02-01 15:26:29] 15:26:29    20001     21416   2149.00      0.00  482756   75768   0.62  qrail-cli
[2020-02-01 15:26:30] 15:26:30    20001     21416   8760.00      0.00  480404   74716   0.61  qrail-cli
[2020-02-01 15:26:31] 15:26:31    20001     21416   9750.00      0.00  482760   75768   0.62  qrail-cli
[2020-02-01 15:26:32] 15:26:32    20001     21416   9943.00      0.00  482756   76032   0.62  qrail-cli
[2020-02-01 15:26:33] 15:26:33    20001     21416  13041.00      0.00  482872   75768   0.62  qrail-cli
[2020-02-01 15:26:34] 15:26:34    20001     21416  14902.00      0.00  482244   75616   0.62  qrail-cli
[2020-02-01 15:26:35] 15:26:35    20001     21416  14508.00      0.00  481020   74976   0.61  qrail-cli
[2020-02-01 15:26:36] 15:26:36    20001     21416  12901.00      0.00  480404   74716   0.61  qrail-cli
[2020-02-01 15:26:37] 15:26:37    20001     21416  13227.00      0.00  480980   74716   0.61  qrail-cli
[2020-02-01 15:26:38] 15:26:38    20001     21416  12870.00      0.00  480404   74716   0.61  qrail-cli
[2020-02-01 15:26:39] 15:26:39    20001     21416    720.00      0.00  480404   74720   0.61  qrail-cli
[2020-02-01 15:26:40] 15:26:40    20001     21416    515.00      0.00  480800   75092   0.61  qrail-cli
