time(s),mem(%)
0,0.20
1,0.37
2,0.46
3,0.53
4,0.56
5,0.56
6,0.56
7,0.56
8,0.56
9,0.56
10,0.56
11,0.56
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.57
30,0.58
31,0.58
32,0.58
33,0.58
34,0.58
35,0.58
36,0.58
37,0.58
38,0.58
39,0.58
40,0.58
41,0.58
42,0.58
43,0.58
44,0.58
45,0.58
46,0.58
47,0.58
48,0.58
49,0.58
50,0.58
51,0.58
52,0.58
53,0.58
54,0.58
55,0.58
56,0.58
57,0.58
58,0.58
59,0.58
60,0.58
61,0.58
62,0.58
63,0.58
64,0.58
65,0.58
66,0.58
67,0.58
68,0.58
69,0.58
70,0.58
71,0.58
72,0.58
73,0.58
74,0.58
75,0.58
76,0.58
77,0.58
78,0.58
79,0.58
80,0.58
81,0.58
82,0.58
83,0.58
84,0.58
85,0.58
86,0.58
87,0.58
88,0.58
89,0.58
90,0.58
91,0.58
92,0.58
93,0.58
94,0.58
95,0.58
96,0.58
97,0.58
98,0.58
99,0.58
100,0.58
101,0.58
102,0.58
103,0.58
104,0.58
105,0.58
106,0.58
107,0.58
108,0.58
109,0.58
110,0.58
111,0.58
112,0.58
113,0.58
114,0.58
115,0.58
116,0.58
117,0.58
118,0.58
119,0.58
120,0.58
121,0.58
122,0.58
123,0.58
124,0.58
125,0.58
126,0.58
127,0.58
128,0.58
129,0.58
130,0.58
131,0.58
132,0.58
133,0.58
134,0.58
135,0.58
136,0.58
137,0.58
138,0.58
139,0.58
140,0.58
141,0.58
142,0.58
143,0.58
144,0.58
145,0.58
146,0.58
147,0.58
148,0.58
149,0.58
150,0.58
151,0.58
152,0.58
153,0.58
154,0.58
155,0.58
156,0.58
157,0.58
158,0.58
159,0.58
160,0.58
161,0.58
162,0.58
163,0.58
164,0.58
165,0.58
166,0.58
167,0.58
168,0.58
169,0.58
170,0.58
171,0.58
172,0.58
173,0.58
174,0.58
175,0.58
176,0.58
177,0.58
178,0.58
179,0.58
180,0.58
181,0.59
182,0.59
183,0.59
184,0.59
185,0.59
186,0.59
187,0.59
188,0.59
189,0.59
190,0.59
191,0.59
192,0.59
193,0.59
194,0.59
195,0.59
196,0.59
197,0.59
198,0.59
199,0.59
200,0.59
201,0.59
202,0.59
203,0.59
204,0.59
205,0.59
206,0.59
207,0.59
208,0.59
209,0.59
210,0.59
211,0.59
212,0.59
213,0.59
214,0.59
215,0.59
216,0.59
217,0.59
218,0.59
219,0.59
220,0.59
221,0.59
222,0.59
223,0.59
224,0.59
225,0.59
226,0.59
227,0.59
228,0.59
229,0.59
230,0.59
231,0.59
232,0.59
233,0.59
234,0.59
235,0.59
236,0.59
237,0.59
238,0.59
239,0.59
240,0.59
241,0.59
242,0.59
243,0.59
244,0.59
245,0.59
246,0.59
247,0.59
248,0.59
249,0.59
250,0.59
251,0.59
252,0.59
253,0.59
254,0.59
255,0.59
256,0.59
257,0.59
258,0.59
259,0.59
260,0.59
261,0.59
262,0.59
263,0.59
264,0.59
265,0.59
266,0.59
267,0.59
268,0.59
269,0.59
270,0.57
271,0.57
272,0.57
273,0.57
274,0.57
275,0.57
276,0.57
277,0.57
278,0.57
279,0.57
280,0.57
281,0.57
282,0.57
283,0.57
284,0.57
285,0.57
286,0.57
287,0.57
288,0.57
289,0.57
290,0.57
291,0.57
292,0.57
293,0.57
294,0.57
295,0.57
296,0.57
297,0.57
298,0.57
299,0.58
300,0.58
301,0.58
302,0.58
