[2020-01-30 03:15:30] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 03:15:31] 
[2020-01-30 03:15:31] 03:15:30      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 03:15:31] 03:15:31    20001     18165   2685.00      0.00  433628   24920   0.20  qrail-cli
[2020-01-30 03:15:32] 03:15:32    20001     18165   9919.00      0.00  452144   45308   0.37  qrail-cli
[2020-01-30 03:15:33] 03:15:33    20001     18165   3599.00      0.00  462944   56088   0.46  qrail-cli
[2020-01-30 03:15:34] 03:15:34    20001     18165   7274.00      0.00  472028   65336   0.53  qrail-cli
[2020-01-30 03:15:35] 03:15:35    20001     18165   1731.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:36] 03:15:36    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:37] 03:15:37    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:38] 03:15:38    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:39] 03:15:39    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:40] 03:15:40    20001     18165     27.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:41] 03:15:41    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:42] 03:15:42    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:43] 03:15:43    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:44] 03:15:44    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:45] 03:15:45    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:46] 03:15:46    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:47] 03:15:47    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:48] 03:15:48    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:49] 03:15:49    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:50] 03:15:50    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:51] 03:15:51    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:52] 03:15:52    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:53] 03:15:53    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:54] 03:15:54    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:55] 03:15:55    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:56] 03:15:56    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:57] 03:15:57    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:58] 03:15:58    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:15:59] 03:15:59    20001     18165      0.00      0.00  475488   69244   0.56  qrail-cli
[2020-01-30 03:16:00] 03:16:00    20001     18165    443.00      0.00  476260   69676   0.57  qrail-cli
[2020-01-30 03:16:01] 03:16:01    20001     18165    288.00      0.00  477816   70688   0.58  qrail-cli
[2020-01-30 03:16:02] 03:16:02    20001     18165      5.00      0.00  477816   70688   0.58  qrail-cli
[2020-01-30 03:16:03] 03:16:03    20001     18165   2485.00      0.00  477816   71320   0.58  qrail-cli
[2020-01-30 03:16:04] 03:16:04    20001     18165    659.00      0.00  477816   71328   0.58  qrail-cli
[2020-01-30 03:16:05] 03:16:05    20001     18165      0.00      0.00  477816   71328   0.58  qrail-cli
[2020-01-30 03:16:06] 03:16:06    20001     18165      0.00      0.00  477816   71328   0.58  qrail-cli
[2020-01-30 03:16:07] 03:16:07    20001     18165      0.00      0.00  477816   71328   0.58  qrail-cli
[2020-01-30 03:16:08] 03:16:08    20001     18165      0.00      0.00  477816   71328   0.58  qrail-cli
[2020-01-30 03:16:09] 03:16:09    20001     18165      0.00      0.00  477816   71328   0.58  qrail-cli
[2020-01-30 03:16:10] 03:16:10    20001     18165     25.00      0.00  477816   71328   0.58  qrail-cli
[2020-01-30 03:16:11] 03:16:11    20001     18165      0.00      0.00  477816   71328   0.58  qrail-cli
