time(s),mem(%)
0,0.17
1,0.17
2,0.17
3,0.17
4,0.17
5,0.17
6,0.17
7,0.17
8,0.37
9,0.46
10,0.54
11,0.57
12,0.57
13,0.57
14,0.57
15,0.57
16,0.57
17,0.57
18,0.57
19,0.57
20,0.57
21,0.57
22,0.57
23,0.57
24,0.57
25,0.57
26,0.57
27,0.57
28,0.57
29,0.57
30,0.57
31,0.57
32,0.57
33,0.57
34,0.57
35,0.57
36,0.57
37,0.57
38,0.57
39,0.57
40,0.57
41,0.57
42,0.57
43,0.57
44,0.57
45,0.57
46,0.57
47,0.57
48,0.57
49,0.57
50,0.57
51,0.57
52,0.57
53,0.57
54,0.57
55,0.57
56,0.57
57,0.57
58,0.57
59,0.57
60,0.57
61,0.57
62,0.57
63,0.57
64,0.57
65,0.57
66,0.58
67,0.58
68,0.58
69,0.59
70,0.59
71,0.59
72,0.59
73,0.59
74,0.59
75,0.59
76,0.59
77,0.59
78,0.59
79,0.59
80,0.59
81,0.59
82,0.59
83,0.59
84,0.59
85,0.59
86,0.59
87,0.59
88,0.59
89,0.59
90,0.59
91,0.59
92,0.59
93,0.59
94,0.59
95,0.59
96,0.59
97,0.59
98,0.59
99,0.59
100,0.59
101,0.59
102,0.59
103,0.59
104,0.59
105,0.59
106,0.59
107,0.59
108,0.59
109,0.59
110,0.59
111,0.59
112,0.59
113,0.59
114,0.59
115,0.59
116,0.59
117,0.59
118,0.59
119,0.59
120,0.59
121,0.59
122,0.59
123,0.59
124,0.59
125,0.59
126,0.59
127,0.59
128,0.59
129,0.59
130,0.59
131,0.59
132,0.59
133,0.59
134,0.59
135,0.59
136,0.59
137,0.59
138,0.59
139,0.59
140,0.59
141,0.59
142,0.59
143,0.59
144,0.59
145,0.59
146,0.58
147,0.58
148,0.60
149,0.58
150,0.58
151,0.58
152,0.58
153,0.58
154,0.58
155,0.58
156,0.58
157,0.58
158,0.58
159,0.58
160,0.58
161,0.58
162,0.58
163,0.58
164,0.58
165,0.58
166,0.58
167,0.58
168,0.58
169,0.58
170,0.58
171,0.58
172,0.58
173,0.58
174,0.58
175,0.58
176,0.58
177,0.58
178,0.58
179,0.58
180,0.58
181,0.58
182,0.58
183,0.58
184,0.58
185,0.58
186,0.59
187,0.58
188,0.58
189,0.59
190,0.59
191,0.59
192,0.59
193,0.59
194,0.59
195,0.59
196,0.59
197,0.59
198,0.59
199,0.59
200,0.59
201,0.59
202,0.59
203,0.59
204,0.59
205,0.59
206,0.59
207,0.59
208,0.59
209,0.59
210,0.59
211,0.59
212,0.59
213,0.59
214,0.59
215,0.59
216,0.59
217,0.59
218,0.59
219,0.59
220,0.59
221,0.59
222,0.59
223,0.59
224,0.59
225,0.59
226,0.59
227,0.59
228,0.59
229,0.59
230,0.59
231,0.59
232,0.59
233,0.59
234,0.59
235,0.59
236,0.59
237,0.59
238,0.59
239,0.59
240,0.59
241,0.59
242,0.59
243,0.59
244,0.59
245,0.59
246,0.60
247,0.60
248,0.60
249,0.59
250,0.58
251,0.58
252,0.58
253,0.58
254,0.58
255,0.58
256,0.58
257,0.58
258,0.58
259,0.58
260,0.58
261,0.58
262,0.58
263,0.58
264,0.58
265,0.58
266,0.58
267,0.58
268,0.58
269,0.58
270,0.58
271,0.58
272,0.58
273,0.58
274,0.58
275,0.58
276,0.58
277,0.58
278,0.58
279,0.58
280,0.58
281,0.58
282,0.58
283,0.58
284,0.58
285,0.58
286,0.58
287,0.58
288,0.58
289,0.58
290,0.58
291,0.58
292,0.58
293,0.58
294,0.58
295,0.58
296,0.58
297,0.58
298,0.58
299,0.58
300,0.58
301,0.58
302,0.58
303,0.58
304,0.58
305,0.58
306,0.58
307,0.59
308,0.59
309,0.58
310,0.60
311,0.58
312,0.58
313,0.58
314,0.58
315,0.58
316,0.58
317,0.58
318,0.58
319,0.58
320,0.58
321,0.58
322,0.58
323,0.58
324,0.58
325,0.58
326,0.58
327,0.58
328,0.58
329,0.58
330,0.58
331,0.58
332,0.58
333,0.58
334,0.58
335,0.58
336,0.58
337,0.58
338,0.58
339,0.58
340,0.58
341,0.58
342,0.58
343,0.58
344,0.58
345,0.58
346,0.58
347,0.58
348,0.58
349,0.58
350,0.58
351,0.58
352,0.58
353,0.58
354,0.58
355,0.58
356,0.58
357,0.58
358,0.58
359,0.58
360,0.58
361,0.58
362,0.58
363,0.58
364,0.58
