[2020-01-30 14:34:14] Linux 4.15.0-72-generic (lc-client.benchlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 14:34:15] 
[2020-01-30 14:34:15] 14:34:14      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 14:34:15] 14:34:15    20001      5837   1827.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:16] 14:34:16    20001      5837      0.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:17] 14:34:17    20001      5837      0.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:18] 14:34:18    20001      5837      0.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:19] 14:34:19    20001      5837      0.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:20] 14:34:20    20001      5837      0.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:21] 14:34:21    20001      5837      0.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:22] 14:34:22    20001      5837      0.00      0.00  429440   21144   0.17  qrail-cli
[2020-01-30 14:34:23] 14:34:23    20001      5837  11359.00      0.00  451908   44936   0.37  qrail-cli
[2020-01-30 14:34:24] 14:34:24    20001      5837   3896.00      0.00  463788   56932   0.46  qrail-cli
[2020-01-30 14:34:25] 14:34:25    20001      5837   3062.00      0.00  473180   66308   0.54  qrail-cli
[2020-01-30 14:34:26] 14:34:26    20001      5837   1566.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:27] 14:34:27    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:28] 14:34:28    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:29] 14:34:29    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:30] 14:34:30    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:31] 14:34:31    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:32] 14:34:32    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:33] 14:34:33    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:34] 14:34:34    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:35] 14:34:35    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:36] 14:34:36    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:37] 14:34:37    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:38] 14:34:38    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:39] 14:34:39    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:40] 14:34:40    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:41] 14:34:41    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:42] 14:34:42    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:43] 14:34:43    20001      5837      0.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:44] 14:34:44    20001      5837     27.00      0.00  476820   70420   0.57  qrail-cli
[2020-01-30 14:34:45] 14:34:45    20001      5837     17.00      0.00  476820   70488   0.57  qrail-cli
[2020-01-30 14:34:46] 14:34:46    20001      5837      0.00      0.00  476820   70488   0.57  qrail-cli
[2020-01-30 14:34:47] 14:34:47    20001      5837      0.00      0.00  476820   70488   0.57  qrail-cli
[2020-01-30 14:34:48] 14:34:48    20001      5837      0.00      0.00  476820   70488   0.57  qrail-cli
[2020-01-30 14:34:49] 14:34:49    20001      5837      0.00      0.00  476820   70488   0.57  qrail-cli
[2020-01-30 14:34:50] 14:34:50    20001      5837      0.00      0.00  476820   70488   0.57  qrail-cli
[2020-01-30 14:34:51] 14:34:51    20001      5837      0.00      0.00  476820   70488   0.57  qrail-cli
[2020-01-30 14:34:52] 14:34:52    20001      5837      0.00      0.00  476820   70488   0.57  qrail-cli
