time(s),mem(%)
0,0.19
1,0.37
2,0.43
3,0.48
4,0.54
5,0.57
6,0.57
7,0.57
8,0.57
9,0.57
10,0.57
11,0.57
12,0.57
13,0.57
14,0.57
15,0.57
16,0.57
17,0.57
18,0.57
19,0.57
20,0.57
21,0.57
22,0.57
23,0.57
24,0.57
25,0.57
26,0.57
27,0.57
28,0.57
29,0.57
30,0.59
31,0.59
32,0.59
33,0.59
34,0.59
35,0.59
36,0.59
37,0.59
38,0.59
39,0.59
40,0.59
41,0.59
42,0.59
43,0.60
44,0.60
45,0.60
46,0.60
47,0.60
48,0.60
49,0.60
50,0.60
51,0.60
52,0.60
53,0.60
54,0.60
55,0.60
56,0.60
57,0.60
58,0.60
59,0.60
60,0.60
61,0.60
62,0.60
63,0.60
64,0.60
65,0.60
66,0.60
67,0.60
68,0.60
69,0.60
70,0.60
71,0.60
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.60
92,0.60
93,0.60
94,0.60
95,0.60
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.60
150,0.60
151,0.60
152,0.60
153,0.60
154,0.60
155,0.60
156,0.60
157,0.60
158,0.60
159,0.60
160,0.60
161,0.60
162,0.60
163,0.60
164,0.60
165,0.60
166,0.60
167,0.60
168,0.60
169,0.60
170,0.60
171,0.60
172,0.60
173,0.60
174,0.60
175,0.60
176,0.60
177,0.60
178,0.60
179,0.60
180,0.60
181,0.60
182,0.60
183,0.60
184,0.60
185,0.60
186,0.60
187,0.60
188,0.60
189,0.60
190,0.60
191,0.60
192,0.60
193,0.60
194,0.60
195,0.60
196,0.60
197,0.60
198,0.60
199,0.60
200,0.60
201,0.60
202,0.60
203,0.60
204,0.60
205,0.60
206,0.60
207,0.60
208,0.60
209,0.60
210,0.60
211,0.60
212,0.60
213,0.60
214,0.60
215,0.60
216,0.60
217,0.60
218,0.60
219,0.60
220,0.60
221,0.60
222,0.60
223,0.60
224,0.60
225,0.60
226,0.60
227,0.60
228,0.60
229,0.60
230,0.60
231,0.60
232,0.60
233,0.60
234,0.60
235,0.60
236,0.60
237,0.60
238,0.60
239,0.60
240,0.60
241,0.60
242,0.60
243,0.60
244,0.60
245,0.60
246,0.60
247,0.60
248,0.60
249,0.60
250,0.60
251,0.60
252,0.60
253,0.60
254,0.60
255,0.60
256,0.60
257,0.60
258,0.60
259,0.60
260,0.60
261,0.60
262,0.60
263,0.60
264,0.60
265,0.60
266,0.60
267,0.60
268,0.60
269,0.60
270,0.60
271,0.60
272,0.60
273,0.60
274,0.60
275,0.60
276,0.60
277,0.60
278,0.60
279,0.60
280,0.60
281,0.60
282,0.60
283,0.60
284,0.60
285,0.60
286,0.60
287,0.60
288,0.60
289,0.60
290,0.60
291,0.60
292,0.60
293,0.60
294,0.60
295,0.60
296,0.60
297,0.60
298,0.60
299,0.60
300,0.60
301,0.60
302,0.60
303,0.60
304,0.60
305,0.60
306,0.60
307,0.60
308,0.60
309,0.60
310,0.60
311,0.60
312,0.60
313,0.60
314,0.60
315,0.60
316,0.60
317,0.60
318,0.60
319,0.60
320,0.60
321,0.60
322,0.60
323,0.60
324,0.60
325,0.60
326,0.60
327,0.60
328,0.60
329,0.60
330,0.60
331,0.60
332,0.60
333,0.60
334,0.60
335,0.60
336,0.60
337,0.60
338,0.60
339,0.60
340,0.60
341,0.60
342,0.60
343,0.60
344,0.60
345,0.60
346,0.60
347,0.60
348,0.60
349,0.60
350,0.60
351,0.60
352,0.60
353,0.60
354,0.60
355,0.60
356,0.60
357,0.60
358,0.60
359,0.60
360,0.60
361,0.60
362,0.60
363,0.60
364,0.60
365,0.60
366,0.60
367,0.60
368,0.60
369,0.60
370,0.60
371,0.60
372,0.60
373,0.60
374,0.60
375,0.60
376,0.60
377,0.60
378,0.60
379,0.60
380,0.60
381,0.60
382,0.60
383,0.60
384,0.60
385,0.60
386,0.60
387,0.60
388,0.60
389,0.60
390,0.60
391,0.60
392,0.60
393,0.60
394,0.60
395,0.60
396,0.60
397,0.60
398,0.60
399,0.60
400,0.60
401,0.60
402,0.60
403,0.60
404,0.60
405,0.60
406,0.60
407,0.60
408,0.60
409,0.60
410,0.60
411,0.60
412,0.60
413,0.60
414,0.60
415,0.60
416,0.60
417,0.60
418,0.60
419,0.60
420,0.60
421,0.60
422,0.60
423,0.60
424,0.60
425,0.60
426,0.60
427,0.60
428,0.60
429,0.60
430,0.60
431,0.60
432,0.60
433,0.60
434,0.60
435,0.60
436,0.60
437,0.60
438,0.60
439,0.60
440,0.60
441,0.60
442,0.60
443,0.60
444,0.60
445,0.60
446,0.60
447,0.60
448,0.60
449,0.60
450,0.60
451,0.60
452,0.60
453,0.60
454,0.60
455,0.60
456,0.60
457,0.60
458,0.60
459,0.60
460,0.60
461,0.60
462,0.60
463,0.60
464,0.60
465,0.60
466,0.60
467,0.60
468,0.60
469,0.60
470,0.60
471,0.60
472,0.60
473,0.60
474,0.60
475,0.60
476,0.60
477,0.60
478,0.60
479,0.60
480,0.60
481,0.60
482,0.60
483,0.60
484,0.60
485,0.60
486,0.60
487,0.60
488,0.60
489,0.60
490,0.60
491,0.60
492,0.60
493,0.60
494,0.60
495,0.60
496,0.60
497,0.60
498,0.60
499,0.60
500,0.60
501,0.60
502,0.60
503,0.60
504,0.60
505,0.60
506,0.60
507,0.60
508,0.60
509,0.60
510,0.60
511,0.60
512,0.60
513,0.60
514,0.60
515,0.60
516,0.60
517,0.60
518,0.60
519,0.60
520,0.60
521,0.60
522,0.60
523,0.60
524,0.60
525,0.60
526,0.60
527,0.60
528,0.60
529,0.60
530,0.60
531,0.60
532,0.60
533,0.60
534,0.60
535,0.60
536,0.60
537,0.60
538,0.60
539,0.60
540,0.60
541,0.60
542,0.60
543,0.60
544,0.60
545,0.60
546,0.60
547,0.60
548,0.60
549,0.60
550,0.60
551,0.60
552,0.60
553,0.60
554,0.60
555,0.60
556,0.60
557,0.60
558,0.60
559,0.60
560,0.60
561,0.60
562,0.60
563,0.60
564,0.60
565,0.60
566,0.60
567,0.60
568,0.60
569,0.60
570,0.60
571,0.60
572,0.60
573,0.60
574,0.60
575,0.60
576,0.60
577,0.60
578,0.60
579,0.60
580,0.60
581,0.60
582,0.60
583,0.60
584,0.60
585,0.60
586,0.60
587,0.60
588,0.60
589,0.60
590,0.60
591,0.60
592,0.60
593,0.60
594,0.60
595,0.60
596,0.60
597,0.60
598,0.60
599,0.60
600,0.60
601,0.60
602,0.60
603,0.60
604,0.60
605,0.60
606,0.60
607,0.60
608,0.60
609,0.60
610,0.60
611,0.60
612,0.60
613,0.60
614,0.60
615,0.60
616,0.60
617,0.60
618,0.60
619,0.60
620,0.60
621,0.60
622,0.60
623,0.60
624,0.60
625,0.60
626,0.60
627,0.60
628,0.60
629,0.60
630,0.60
631,0.60
632,0.60
633,0.60
634,0.60
635,0.60
636,0.60
637,0.60
638,0.60
639,0.60
640,0.60
641,0.60
642,0.60
643,0.60
644,0.60
645,0.60
646,0.60
647,0.60
648,0.60
649,0.60
650,0.60
651,0.60
652,0.60
653,0.60
654,0.60
655,0.60
656,0.60
657,0.60
658,0.60
659,0.60
660,0.60
661,0.60
662,0.60
663,0.60
664,0.60
665,0.60
666,0.60
667,0.60
668,0.60
669,0.60
670,0.60
671,0.60
672,0.60
673,0.60
674,0.60
675,0.60
676,0.60
677,0.60
678,0.60
679,0.60
680,0.60
681,0.60
682,0.60
683,0.60
684,0.60
685,0.60
686,0.60
687,0.60
688,0.60
689,0.60
690,0.60
691,0.60
692,0.60
693,0.60
694,0.60
695,0.60
696,0.60
697,0.60
698,0.60
699,0.60
700,0.60
701,0.60
702,0.60
703,0.60
704,0.60
705,0.60
706,0.60
707,0.60
708,0.60
709,0.60
710,0.60
711,0.60
712,0.60
713,0.60
714,0.60
715,0.60
716,0.60
717,0.60
718,0.60
719,0.60
720,0.60
721,0.60
722,0.60
723,0.60
724,0.60
725,0.60
726,0.60
727,0.60
728,0.60
729,0.60
730,0.60
731,0.60
732,0.60
733,0.60
734,0.60
735,0.60
736,0.60
737,0.60
738,0.60
739,0.60
740,0.60
741,0.60
742,0.60
743,0.60
744,0.60
745,0.60
746,0.60
747,0.60
748,0.60
749,0.60
750,0.60
751,0.60
752,0.60
753,0.60
754,0.60
755,0.60
756,0.60
757,0.60
758,0.60
759,0.60
760,0.60
761,0.60
762,0.60
763,0.60
764,0.60
765,0.60
766,0.60
767,0.60
768,0.60
769,0.60
770,0.60
771,0.60
772,0.60
773,0.60
774,0.60
775,0.60
776,0.60
777,0.60
778,0.60
779,0.60
780,0.60
781,0.60
782,0.60
783,0.60
784,0.60
785,0.60
786,0.60
787,0.60
788,0.60
789,0.60
790,0.60
791,0.60
