time(s),mem(%)
0,0.20
1,0.37
2,0.46
3,0.53
4,0.58
5,0.56
6,0.57
7,0.58
8,0.57
9,0.58
10,0.57
11,0.57
12,0.57
13,0.57
14,0.57
15,0.58
16,0.57
17,0.58
18,0.59
19,0.57
20,0.57
21,0.57
22,0.57
23,0.57
24,0.57
25,0.57
26,0.57
27,0.57
28,0.57
29,0.57
30,0.57
31,0.57
32,0.57
33,0.57
34,0.57
35,0.57
36,0.57
37,0.57
38,0.57
39,0.57
40,0.57
41,0.57
42,0.57
43,0.57
44,0.57
45,0.60
46,0.58
47,0.58
48,0.58
49,0.58
50,0.58
51,0.58
52,0.58
53,0.58
54,0.58
55,0.58
56,0.58
57,0.58
58,0.58
59,0.58
60,0.58
61,0.58
62,0.58
63,0.58
64,0.58
65,0.58
66,0.58
67,0.58
68,0.58
69,0.58
70,0.58
71,0.58
72,0.58
73,0.58
74,0.58
75,0.60
76,0.59
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.60
92,0.60
93,0.60
94,0.60
95,0.60
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.60
150,0.60
151,0.60
152,0.60
153,0.60
154,0.60
155,0.60
156,0.60
157,0.60
158,0.60
159,0.60
160,0.60
161,0.60
162,0.60
163,0.60
164,0.60
165,0.60
166,0.60
167,0.60
168,0.60
169,0.57
170,0.57
171,0.57
172,0.57
173,0.57
174,0.57
175,0.57
176,0.57
177,0.57
178,0.57
179,0.57
180,0.57
181,0.57
182,0.57
183,0.57
184,0.57
185,0.57
186,0.57
187,0.57
188,0.57
189,0.57
190,0.57
191,0.57
192,0.57
193,0.57
194,0.57
195,0.59
196,0.57
197,0.57
198,0.57
199,0.57
200,0.57
201,0.57
202,0.57
203,0.57
204,0.57
205,0.57
206,0.57
207,0.57
208,0.57
209,0.57
210,0.57
211,0.57
212,0.57
213,0.57
214,0.57
215,0.57
216,0.57
217,0.57
218,0.57
219,0.57
220,0.57
221,0.57
222,0.57
223,0.57
224,0.57
225,0.58
226,0.57
227,0.58
228,0.58
229,0.58
230,0.58
231,0.58
232,0.58
233,0.58
234,0.58
235,0.58
236,0.58
237,0.58
238,0.58
239,0.58
240,0.58
241,0.58
242,0.58
243,0.58
244,0.58
245,0.58
246,0.58
247,0.58
248,0.58
249,0.58
250,0.58
251,0.58
252,0.58
253,0.58
254,0.58
255,0.57
256,0.59
257,0.57
258,0.57
259,0.57
260,0.57
261,0.57
262,0.57
263,0.57
264,0.57
265,0.57
266,0.57
267,0.57
268,0.57
269,0.57
270,0.57
271,0.57
272,0.57
273,0.57
274,0.57
275,0.57
276,0.57
277,0.57
278,0.57
279,0.57
280,0.57
281,0.57
282,0.57
283,0.57
284,0.57
285,0.58
286,0.58
287,0.58
288,0.58
289,0.58
290,0.58
291,0.58
292,0.58
293,0.58
294,0.58
295,0.58
296,0.58
297,0.58
298,0.58
299,0.58
300,0.58
301,0.58
302,0.58
