[2019-11-28 11:01:48] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 11:01:49] 
[2019-11-28 11:01:49] 11:01:48      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2019-11-28 11:01:49] 11:01:49    20001     12022   2457.00      0.00  432552   24892   0.20  qrail-cli
[2019-11-28 11:01:50] 11:01:50    20001     12022  10155.00      0.00  452144   45236   0.37  qrail-cli
[2019-11-28 11:01:51] 11:01:51    20001     12022   3596.00      0.00  462924   55996   0.46  qrail-cli
[2019-11-28 11:01:52] 11:01:52    20001     12022   7271.00      0.00  472004   65244   0.53  qrail-cli
[2019-11-28 11:01:53] 11:01:53    20001     12022   7877.00      0.00  478444   71184   0.58  qrail-cli
[2019-11-28 11:01:54] 11:01:54    20001     12022  17983.00      0.00  475564   69344   0.56  qrail-cli
[2019-11-28 11:01:55] 11:01:55    20001     12022  18239.00      0.00  476160   69604   0.57  qrail-cli
[2019-11-28 11:01:56] 11:01:56    20001     12022  16500.00      0.00  478388   70776   0.58  qrail-cli
[2019-11-28 11:01:57] 11:01:57    20001     12022  12283.00      0.00  476236   70020   0.57  qrail-cli
[2019-11-28 11:01:58] 11:01:58    20001     12022  11859.00      0.00  478348   71336   0.58  qrail-cli
[2019-11-28 11:01:59] 11:01:59    20001     12022  10844.00      0.00  476500   70020   0.57  qrail-cli
[2019-11-28 11:02:00] 11:02:00    20001     12022  11639.00      0.00  476220   70008   0.57  qrail-cli
[2019-11-28 11:02:01] 11:02:01    20001     12022      0.00      0.00  476220   70008   0.57  qrail-cli
[2019-11-28 11:02:02] 11:02:02    20001     12022      0.00      0.00  476220   70008   0.57  qrail-cli
[2019-11-28 11:02:03] 11:02:03    20001     12022      0.00      0.00  476220   70008   0.57  qrail-cli
[2019-11-28 11:02:04] 11:02:04    20001     12022   6060.00      0.00  477064   70788   0.58  qrail-cli
[2019-11-28 11:02:05] 11:02:05    20001     12022  14477.00      0.00  477360   70408   0.57  qrail-cli
[2019-11-28 11:02:06] 11:02:06    20001     12022  14090.00      0.00  479172   71728   0.58  qrail-cli
[2019-11-28 11:02:07] 11:02:07    20001     12022  14273.00      0.00  479432   71992   0.59  qrail-cli
[2019-11-28 11:02:08] 11:02:08    20001     12022  14301.00      0.00  476424   70148   0.57  qrail-cli
[2019-11-28 11:02:09] 11:02:09    20001     12022     42.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:10] 11:02:10    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:11] 11:02:11    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:12] 11:02:12    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:13] 11:02:13    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:14] 11:02:14    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:15] 11:02:15    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:16] 11:02:16    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:17] 11:02:17    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:18] 11:02:18    20001     12022      0.00      0.00  476424   70608   0.57  qrail-cli
[2019-11-28 11:02:19] 11:02:19    20001     12022     22.00      0.00  476424   70612   0.57  qrail-cli
[2019-11-28 11:02:20] 11:02:20    20001     12022      0.00      0.00  476424   70612   0.57  qrail-cli
[2019-11-28 11:02:21] 11:02:21    20001     12022      0.00      0.00  476424   70612   0.57  qrail-cli
[2019-11-28 11:02:22] 11:02:22    20001     12022      0.00      0.00  476424   70612   0.57  qrail-cli
[2019-11-28 11:02:23] 11:02:23    20001     12022      0.00      0.00  476424   70612   0.57  qrail-cli
[2019-11-28 11:02:24] 11:02:24    20001     12022      0.00      0.00  476424   70612   0.57  qrail-cli
[2019-11-28 11:02:25] 11:02:25    20001     12022      0.00      0.00  476424   70612   0.57  qrail-cli
