[2020-02-01 09:28:30] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 09:28:31] 
[2020-02-01 09:28:31] 09:28:30      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-02-01 09:28:31] 09:28:31    20001     11384   2160.00      0.00  429628   23720   0.19  qrail-cli
[2020-02-01 09:28:32] 09:28:32    20001     11384  11642.00      0.00  451780   45872   0.37  qrail-cli
[2020-02-01 09:28:33] 09:28:33    20001     11384   4237.00      0.00  466612   59176   0.48  qrail-cli
[2020-02-01 09:28:34] 09:28:34    20001     11384   6538.00      0.00  471860   65968   0.54  qrail-cli
[2020-02-01 09:28:35] 09:28:35    20001     11384   1654.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:36] 09:28:36    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:37] 09:28:37    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:38] 09:28:38    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:39] 09:28:39    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:40] 09:28:40    20001     11384     23.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:41] 09:28:41    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:42] 09:28:42    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:43] 09:28:43    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:44] 09:28:44    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:45] 09:28:45    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:46] 09:28:46    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:47] 09:28:47    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:48] 09:28:48    20001     11384      0.00      0.00  476500   70588   0.57  qrail-cli
[2020-02-01 09:28:49] 09:28:49    20001     11384   6920.00      0.00  478204   71832   0.58  qrail-cli
