[2020-02-01 07:35:36] Linux 4.15.0-72-generic (node0.sharedlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 07:35:37] 
[2020-02-01 07:35:37] 07:35:36      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-02-01 07:35:37] 07:35:37    20001     27971   4234.00      0.00  433248   27100   0.22  qrail-cli
[2020-02-01 07:35:38] 07:35:38    20001     27971  10772.00      0.00  443844   37900   0.31  qrail-cli
[2020-02-01 07:35:39] 07:35:39    20001     27971   4267.00      0.00  451400   45448   0.37  qrail-cli
[2020-02-01 07:35:40] 07:35:40    20001     27971   2925.00      0.00  455392   49940   0.41  qrail-cli
[2020-02-01 07:35:41] 07:35:41    20001     27971   7606.00      0.00  461988   56536   0.46  qrail-cli
[2020-02-01 07:35:42] 07:35:42    20001     27971   3460.00      0.00  468340   62980   0.51  qrail-cli
[2020-02-01 07:35:43] 07:35:43    20001     27971   2162.00      0.00  473076   67344   0.55  qrail-cli
[2020-02-01 07:35:44] 07:35:44    20001     27971   5671.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:45] 07:35:45    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:46] 07:35:46    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:47] 07:35:47    20001     27971     27.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:48] 07:35:48    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:49] 07:35:49    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:50] 07:35:50    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:51] 07:35:51    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:52] 07:35:52    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
[2020-02-01 07:35:53] 07:35:53    20001     27971      0.00      0.00  474864   69116   0.56  qrail-cli
