time(s),mem(%)
0,0.15
1,0.31
2,0.39
3,0.46
4,0.50
5,0.53
6,0.55
7,0.55
8,0.55
9,0.55
10,0.55
11,0.55
12,0.55
13,0.55
14,0.55
15,0.55
16,0.55
17,0.55
18,0.55
19,0.55
20,0.55
21,0.55
22,0.55
23,0.55
24,0.55
25,0.55
26,0.55
27,0.55
28,0.55
29,0.55
30,0.55
31,0.58
32,0.59
33,0.58
34,0.60
35,0.58
36,0.57
37,0.57
38,0.57
39,0.57
40,0.57
41,0.57
42,0.57
43,0.57
44,0.57
45,0.57
46,0.57
47,0.57
48,0.57
49,0.57
50,0.57
51,0.57
52,0.57
53,0.57
54,0.57
55,0.57
56,0.57
57,0.57
58,0.57
59,0.57
60,0.57
61,0.59
62,0.59
63,0.59
64,0.61
65,0.61
66,0.61
67,0.59
68,0.59
69,0.59
70,0.59
71,0.59
72,0.59
73,0.59
74,0.59
75,0.59
76,0.59
77,0.59
78,0.59
79,0.59
80,0.59
81,0.59
82,0.59
83,0.59
84,0.59
85,0.59
86,0.59
87,0.59
88,0.59
89,0.59
90,0.59
91,0.60
92,0.62
93,0.63
94,0.62
95,0.61
96,0.61
97,0.61
98,0.61
99,0.61
100,0.61
101,0.61
102,0.61
103,0.61
104,0.61
105,0.61
106,0.61
107,0.61
108,0.61
109,0.61
110,0.61
111,0.61
112,0.61
113,0.61
114,0.61
115,0.61
116,0.61
117,0.61
118,0.61
119,0.61
120,0.61
121,0.62
122,0.63
123,0.64
124,0.64
125,0.63
126,0.63
127,0.63
128,0.63
129,0.63
130,0.63
131,0.63
132,0.63
133,0.63
134,0.63
135,0.63
136,0.63
137,0.63
138,0.63
139,0.63
140,0.63
141,0.63
142,0.63
143,0.63
144,0.63
145,0.63
146,0.63
147,0.63
148,0.63
149,0.63
150,0.63
151,0.64
152,0.64
153,0.65
154,0.66
155,0.66
156,0.66
157,0.64
158,0.64
159,0.64
160,0.64
161,0.64
162,0.64
163,0.64
164,0.64
165,0.64
166,0.64
167,0.64
168,0.64
169,0.64
170,0.64
171,0.64
172,0.64
173,0.64
174,0.64
175,0.64
176,0.64
177,0.64
178,0.64
179,0.64
180,0.64
181,0.66
182,0.65
183,0.67
184,0.67
185,0.67
186,0.68
187,0.66
188,0.66
189,0.66
190,0.66
191,0.66
192,0.66
193,0.66
194,0.66
195,0.66
196,0.66
197,0.66
198,0.66
199,0.66
200,0.66
201,0.66
202,0.66
203,0.66
204,0.66
205,0.66
206,0.66
207,0.66
208,0.66
209,0.66
210,0.66
211,0.67
212,0.67
213,0.69
214,0.69
215,0.69
216,0.69
217,0.67
218,0.67
219,0.67
220,0.67
221,0.67
222,0.67
223,0.67
224,0.67
225,0.67
226,0.67
227,0.67
228,0.67
229,0.67
230,0.67
231,0.67
232,0.67
233,0.67
234,0.67
235,0.67
236,0.67
237,0.67
238,0.67
239,0.67
240,0.67
241,0.69
242,0.68
243,0.71
244,0.71
245,0.70
246,0.70
247,0.69
248,0.69
249,0.69
250,0.69
251,0.69
252,0.69
253,0.69
254,0.69
255,0.69
256,0.69
257,0.69
258,0.69
259,0.69
260,0.69
261,0.69
262,0.69
263,0.69
264,0.69
265,0.69
266,0.69
267,0.69
268,0.69
269,0.69
270,0.69
271,0.71
272,0.70
273,0.72
274,0.72
275,0.73
276,0.72
277,0.71
278,0.71
279,0.71
280,0.71
281,0.71
282,0.71
283,0.71
284,0.71
285,0.71
286,0.71
287,0.71
288,0.71
289,0.71
290,0.71
291,0.71
292,0.71
293,0.71
294,0.71
295,0.71
296,0.71
297,0.71
298,0.71
299,0.71
300,0.71
301,0.70
302,0.72
303,0.74
304,0.74
305,0.74
306,0.74
307,0.72
308,0.72
309,0.72
310,0.72
311,0.72
312,0.72
313,0.72
314,0.72
315,0.72
316,0.72
317,0.72
318,0.72
319,0.72
320,0.72
321,0.72
322,0.72
323,0.72
324,0.72
325,0.72
326,0.72
327,0.72
328,0.72
329,0.72
330,0.72
331,0.74
332,0.73
333,0.76
334,0.76
335,0.76
336,0.76
337,0.74
338,0.74
339,0.74
340,0.74
341,0.74
342,0.74
343,0.74
344,0.74
345,0.74
346,0.74
347,0.74
348,0.74
349,0.74
350,0.74
351,0.74
352,0.74
353,0.74
354,0.74
355,0.74
356,0.74
357,0.74
358,0.74
359,0.74
360,0.74
361,0.76
362,0.75
363,0.77
364,0.77
365,0.77
366,0.77
367,0.76
368,0.76
369,0.76
370,0.76
371,0.76
372,0.76
373,0.76
374,0.76
375,0.76
376,0.76
377,0.76
378,0.76
379,0.76
380,0.76
381,0.76
382,0.76
383,0.76
384,0.76
385,0.76
386,0.76
387,0.76
388,0.76
389,0.76
390,0.76
391,0.77
392,0.77
393,0.79
394,0.78
395,0.79
396,0.79
397,0.77
398,0.77
399,0.77
400,0.77
401,0.77
402,0.77
403,0.77
404,0.77
405,0.77
406,0.77
407,0.77
408,0.77
409,0.77
410,0.77
411,0.77
412,0.77
413,0.77
414,0.77
415,0.77
416,0.77
417,0.77
418,0.77
419,0.77
420,0.77
421,0.77
422,0.78
423,0.80
424,0.80
425,0.80
426,0.79
427,0.79
428,0.79
429,0.79
430,0.79
431,0.79
432,0.79
433,0.79
434,0.79
435,0.79
436,0.79
437,0.79
438,0.79
439,0.79
440,0.79
441,0.79
442,0.79
443,0.79
444,0.79
445,0.79
446,0.79
447,0.79
448,0.79
449,0.79
450,0.79
451,0.81
452,0.81
453,0.82
454,0.81
455,0.82
456,0.81
457,0.80
458,0.80
459,0.80
460,0.80
461,0.80
462,0.80
463,0.80
464,0.80
465,0.80
466,0.80
467,0.80
468,0.80
469,0.80
470,0.80
471,0.80
472,0.80
473,0.80
474,0.80
475,0.80
476,0.80
477,0.80
478,0.80
479,0.80
480,0.80
481,0.81
482,0.82
483,0.84
484,0.82
485,0.84
486,0.83
487,0.82
488,0.82
489,0.82
490,0.82
491,0.82
492,0.82
493,0.82
494,0.82
495,0.82
496,0.82
497,0.82
498,0.82
499,0.82
500,0.82
501,0.82
502,0.82
503,0.82
504,0.82
505,0.82
506,0.82
507,0.82
508,0.82
509,0.82
510,0.82
511,0.83
512,0.83
513,0.85
514,0.84
515,0.85
516,0.84
517,0.84
518,0.84
519,0.84
520,0.84
521,0.84
522,0.84
523,0.84
524,0.84
525,0.84
526,0.84
527,0.84
528,0.84
529,0.84
530,0.84
531,0.84
532,0.84
533,0.84
534,0.84
535,0.84
536,0.84
537,0.84
538,0.84
539,0.84
540,0.84
541,0.84
542,0.85
543,0.86
544,0.86
545,0.86
546,0.86
547,0.87
548,0.85
549,0.85
550,0.85
551,0.85
552,0.85
553,0.85
554,0.85
555,0.85
556,0.85
557,0.85
558,0.85
559,0.85
560,0.85
561,0.85
562,0.85
563,0.85
564,0.85
565,0.85
566,0.85
567,0.85
568,0.85
569,0.85
570,0.85
571,0.86
572,0.86
573,0.88
574,0.87
575,0.88
576,0.87
577,0.88
578,0.87
579,0.87
580,0.87
581,0.87
582,0.87
583,0.87
584,0.87
585,0.87
586,0.87
587,0.87
588,0.87
589,0.87
