[2020-01-30 06:09:57] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 06:09:58] 
[2020-01-30 06:09:58] 06:09:57      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 06:09:58] 06:09:58    20001      8889   1664.00      0.00  270176   18756   0.15  qrail-cli
[2020-01-30 06:09:59] 06:09:59    20001      8889  10829.00      0.00  444524   37800   0.31  qrail-cli
[2020-01-30 06:10:00] 06:10:00    20001      8889   5772.00      0.00  454992   48276   0.39  qrail-cli
[2020-01-30 06:10:01] 06:10:01    20001      8889   5328.00      0.00  462632   56272   0.46  qrail-cli
[2020-01-30 06:10:02] 06:10:02    20001      8889   2247.00      0.00  469092   61844   0.50  qrail-cli
[2020-01-30 06:10:03] 06:10:03    20001      8889   2300.00      0.00  471012   64652   0.53  qrail-cli
[2020-01-30 06:10:04] 06:10:04    20001      8889   7598.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:05] 06:10:05    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:06] 06:10:06    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:07] 06:10:07    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:08] 06:10:08    20001      8889     13.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:09] 06:10:09    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:10] 06:10:10    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:11] 06:10:11    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:12] 06:10:12    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:13] 06:10:13    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:14] 06:10:14    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:15] 06:10:15    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:16] 06:10:16    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:17] 06:10:17    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:18] 06:10:18    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:19] 06:10:19    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:20] 06:10:20    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
[2020-01-30 06:10:21] 06:10:21    20001      8889      0.00      0.00  474520   68160   0.55  qrail-cli
