time(s),mem(%)
0,undefined
1,0.24
2,0.36
3,0.44
4,0.49
5,0.54
6,0.56
7,0.56
8,0.56
9,0.56
10,0.56
11,0.56
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.56
30,0.56
31,0.56
32,0.56
33,0.56
34,0.56
35,0.56
36,0.56
37,0.56
38,0.56
39,0.57
40,0.58
41,0.58
42,0.59
43,0.57
44,0.57
45,0.57
46,0.57
47,0.57
48,0.57
49,0.57
50,0.57
51,0.57
52,0.57
53,0.57
54,0.57
55,0.57
56,0.57
57,0.57
58,0.57
59,0.57
60,0.57
61,0.57
62,0.57
63,0.57
64,0.57
65,0.57
66,0.57
67,0.57
68,0.60
69,0.60
70,0.60
71,0.59
72,0.59
73,0.58
74,0.58
75,0.58
76,0.58
77,0.58
78,0.58
79,0.58
80,0.58
81,0.58
82,0.58
83,0.58
84,0.58
85,0.58
86,0.58
87,0.58
88,0.58
89,0.58
90,0.58
91,0.58
92,0.60
93,0.60
94,0.61
95,0.61
96,0.61
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.62
129,0.62
130,0.62
131,0.62
132,0.62
133,0.65
134,0.62
135,0.62
136,0.62
137,0.62
138,0.62
139,0.62
140,0.62
141,0.62
142,0.62
143,0.62
144,0.62
145,0.62
146,0.62
147,0.62
148,0.62
149,0.62
150,0.62
151,0.62
152,0.62
153,0.62
154,0.62
155,0.62
156,0.62
157,0.62
158,0.65
159,0.64
160,0.64
161,0.64
162,0.65
163,0.66
164,0.64
165,0.64
166,0.64
167,0.64
168,0.64
169,0.64
170,0.64
171,0.64
172,0.64
173,0.64
174,0.64
175,0.64
176,0.64
177,0.64
178,0.64
179,0.64
180,0.64
181,0.64
182,0.66
183,0.65
184,0.66
185,0.66
186,0.67
187,0.65
188,0.65
189,0.65
190,0.65
191,0.65
192,0.65
193,0.65
194,0.65
195,0.65
196,0.65
197,0.65
198,0.65
199,0.65
200,0.65
201,0.65
202,0.65
203,0.65
204,0.65
205,0.65
206,0.65
207,0.65
208,0.65
209,0.65
210,0.65
211,0.65
212,0.65
213,0.65
214,0.65
215,0.65
216,0.65
217,0.65
218,0.67
219,0.67
220,0.67
221,0.67
222,0.67
223,0.69
224,0.67
225,0.67
226,0.67
227,0.67
228,0.67
229,0.67
230,0.67
231,0.67
232,0.67
233,0.67
234,0.67
235,0.67
236,0.67
237,0.67
238,0.67
239,0.67
240,0.67
241,0.67
242,0.67
243,0.67
244,0.67
245,0.67
246,0.67
247,0.67
248,0.70
249,0.70
250,0.70
251,0.69
252,0.69
253,0.71
254,0.68
255,0.68
256,0.68
257,0.68
258,0.68
259,0.68
260,0.68
261,0.68
262,0.68
263,0.68
264,0.68
265,0.68
266,0.68
267,0.68
268,0.68
269,0.68
270,0.68
271,0.68
272,0.71
273,0.70
274,0.70
275,0.71
276,0.71
277,0.73
278,0.70
279,0.70
280,0.70
281,0.70
282,0.70
283,0.70
284,0.70
285,0.70
286,0.70
287,0.70
288,0.70
289,0.70
290,0.70
291,0.70
292,0.70
293,0.70
294,0.70
295,0.70
296,0.70
297,0.70
298,0.70
299,0.70
300,0.70
301,0.70
302,0.70
303,0.70
304,0.70
305,0.70
306,0.70
307,0.70
308,0.70
309,0.70
310,0.70
311,0.70
312,0.70
313,0.70
314,0.70
315,0.70
316,0.70
317,0.70
318,0.70
319,0.70
320,0.70
321,0.70
322,0.70
323,0.70
324,0.70
325,0.70
326,0.70
327,0.70
328,0.72
329,0.71
330,0.72
331,0.72
332,0.72
333,0.72
334,0.74
335,0.72
336,0.72
337,0.72
338,0.72
339,0.72
340,0.72
341,0.72
342,0.72
343,0.72
344,0.72
345,0.72
346,0.72
347,0.72
348,0.72
349,0.72
350,0.72
351,0.72
352,0.72
353,0.72
354,0.72
355,0.72
356,0.72
357,0.72
358,0.72
359,0.72
360,0.72
361,0.72
362,0.75
363,0.75
364,0.75
365,0.74
366,0.74
367,0.76
368,0.73
369,0.73
370,0.73
371,0.73
372,0.73
373,0.73
374,0.73
375,0.73
376,0.73
377,0.73
378,0.73
379,0.73
380,0.73
381,0.73
382,0.73
383,0.73
384,0.73
385,0.73
386,0.73
387,0.73
388,0.73
389,0.73
390,0.73
391,0.73
392,0.73
393,0.73
394,0.73
395,0.73
396,0.73
397,0.73
398,0.73
399,0.73
400,0.73
401,0.73
402,0.73
403,0.73
404,0.73
405,0.76
406,0.76
407,0.76
408,0.76
409,0.76
410,0.76
411,0.75
412,0.75
413,0.75
414,0.75
415,0.75
416,0.75
417,0.75
418,0.75
419,0.75
420,0.75
421,0.76
422,0.77
423,0.77
424,0.77
425,0.77
426,0.77
427,0.79
428,0.77
429,0.77
430,0.77
431,0.77
432,0.77
433,0.77
434,0.77
435,0.77
436,0.77
437,0.77
438,0.77
439,0.77
440,0.77
441,0.77
442,0.77
443,0.77
444,0.77
445,0.77
446,0.77
447,0.77
448,0.77
449,0.77
450,0.77
451,0.77
452,0.77
453,0.77
454,0.77
455,0.77
456,0.77
457,0.77
458,0.77
459,0.77
460,0.77
461,0.77
462,0.77
463,0.77
464,0.77
465,0.79
466,0.79
467,0.79
468,0.79
469,0.79
470,0.81
471,0.78
472,0.78
