[2020-01-31 10:08:41] Linux 4.15.0-72-generic (node0.sharedlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 10:08:42] 
[2020-01-31 10:08:42] 10:08:41      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-31 10:08:42] 10:08:42    20001      3775   5488.00      0.00  437764   29692   0.24  qrail-cli
[2020-01-31 10:08:43] 10:08:43    20001      3775  13067.00      0.00  450720   43900   0.36  qrail-cli
[2020-01-31 10:08:44] 10:08:44    20001      3775   5350.00      0.00  460536   53592   0.44  qrail-cli
[2020-01-31 10:08:45] 10:08:45    20001      3775   8792.00      0.00  467148   60716   0.49  qrail-cli
[2020-01-31 10:08:46] 10:08:46    20001      3775   3453.00      0.00  473084   66284   0.54  qrail-cli
[2020-01-31 10:08:47] 10:08:47    20001      3775   1357.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:48] 10:08:48    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:49] 10:08:49    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:50] 10:08:50    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:51] 10:08:51    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:52] 10:08:52    20001      3775     16.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:53] 10:08:53    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:54] 10:08:54    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:55] 10:08:55    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:56] 10:08:56    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:57] 10:08:57    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:58] 10:08:58    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:08:59] 10:08:59    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:00] 10:09:00    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:01] 10:09:01    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:02] 10:09:02    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:03] 10:09:03    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:04] 10:09:04    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:05] 10:09:05    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:06] 10:09:06    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:07] 10:09:07    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:08] 10:09:08    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:09] 10:09:09    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:10] 10:09:10    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:11] 10:09:11    20001      3775      0.00      0.00  475316   68884   0.56  qrail-cli
[2020-01-31 10:09:12] 10:09:12    20001      3775     30.00      0.00  475316   68888   0.56  qrail-cli
[2020-01-31 10:09:13] 10:09:13    20001      3775      7.00      0.00  475316   68888   0.56  qrail-cli
[2020-01-31 10:09:14] 10:09:14    20001      3775      0.00      0.00  475316   68888   0.56  qrail-cli
[2020-01-31 10:09:15] 10:09:15    20001      3775      0.00      0.00  475316   68888   0.56  qrail-cli
[2020-01-31 10:09:16] 10:09:16    20001      3775      0.00      0.00  475316   68888   0.56  qrail-cli
[2020-01-31 10:09:17] 10:09:17    20001      3775      0.00      0.00  475316   68888   0.56  qrail-cli
[2020-01-31 10:09:18] 10:09:18    20001      3775      0.00      0.00  475316   68888   0.56  qrail-cli
[2020-01-31 10:09:19] 10:09:19    20001      3775   2634.00      0.00  475644   69224   0.56  qrail-cli
[2020-01-31 10:09:20] 10:09:20    20001      3775  10818.00      0.00  476848   69944   0.57  qrail-cli
[2020-01-31 10:09:21] 10:09:21    20001      3775   6146.00      0.00  479572   71420   0.58  qrail-cli
[2020-01-31 10:09:22] 10:09:22    20001      3775   3233.00      0.00  477520   70960   0.58  qrail-cli
[2020-01-31 10:09:23] 10:09:23    20001      3775   8864.00      0.00  479280   72364   0.59  qrail-cli
[2020-01-31 10:09:24] 10:09:24    20001      3775    700.00      0.00  476208   69800   0.57  qrail-cli
[2020-01-31 10:09:25] 10:09:25    20001      3775      0.00      0.00  476208   69800   0.57  qrail-cli
