time(s),mem(%)
0,0.20
1,0.34
2,0.40
3,0.46
4,0.50
5,0.55
6,0.56
7,0.56
8,0.56
9,0.56
10,0.56
11,0.56
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.56
30,0.56
31,0.59
32,0.58
33,0.58
34,0.60
35,0.60
36,0.58
37,0.58
38,0.58
39,0.58
40,0.58
41,0.58
42,0.58
43,0.58
44,0.58
45,0.58
46,0.58
47,0.58
48,0.58
49,0.58
50,0.58
51,0.58
52,0.58
53,0.58
54,0.58
55,0.58
56,0.58
57,0.58
58,0.58
59,0.58
60,0.58
61,0.60
62,0.60
63,0.61
64,0.62
65,0.61
66,0.62
67,0.60
68,0.60
69,0.60
70,0.60
71,0.60
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.62
92,0.62
93,0.63
94,0.64
95,0.64
96,0.64
97,0.63
98,0.63
99,0.63
100,0.63
101,0.63
102,0.63
103,0.63
104,0.63
105,0.63
106,0.63
107,0.63
108,0.63
109,0.63
110,0.63
111,0.63
112,0.63
113,0.63
114,0.63
115,0.63
116,0.63
117,0.63
118,0.63
119,0.63
120,0.63
121,0.64
122,0.64
123,0.65
124,0.66
125,0.66
126,0.66
127,0.64
128,0.64
129,0.64
130,0.64
131,0.64
132,0.64
133,0.64
134,0.64
135,0.64
136,0.64
137,0.64
138,0.64
139,0.64
140,0.64
141,0.64
142,0.64
143,0.64
144,0.64
145,0.64
146,0.64
147,0.64
148,0.64
149,0.64
150,0.64
151,0.66
152,0.66
153,0.67
154,0.67
155,0.68
156,0.68
157,0.67
158,0.67
159,0.67
160,0.67
161,0.67
162,0.67
163,0.67
164,0.67
165,0.67
166,0.67
167,0.67
168,0.67
169,0.67
170,0.67
171,0.67
172,0.67
173,0.67
174,0.67
175,0.67
176,0.67
177,0.67
178,0.67
179,0.67
180,0.67
181,0.68
182,0.68
183,0.70
184,0.69
185,0.70
186,0.69
187,0.70
188,0.69
189,0.69
190,0.69
191,0.69
192,0.69
193,0.69
194,0.69
195,0.69
196,0.69
197,0.69
198,0.69
199,0.69
200,0.69
201,0.69
202,0.69
203,0.69
204,0.69
205,0.69
206,0.69
207,0.69
208,0.69
209,0.69
210,0.69
211,0.70
212,0.70
213,0.71
214,0.71
215,0.73
216,0.72
217,0.71
218,0.71
219,0.71
220,0.71
221,0.71
222,0.71
223,0.71
224,0.71
225,0.71
226,0.71
227,0.71
228,0.71
229,0.71
230,0.71
231,0.71
232,0.71
233,0.71
234,0.71
235,0.71
236,0.71
237,0.71
238,0.71
239,0.71
240,0.71
241,0.72
242,0.72
243,0.74
244,0.73
245,0.74
246,0.74
247,0.75
248,0.73
249,0.73
250,0.73
251,0.73
252,0.73
253,0.73
254,0.73
255,0.73
256,0.73
257,0.73
258,0.73
259,0.73
260,0.73
261,0.73
262,0.73
263,0.73
264,0.73
265,0.73
266,0.73
267,0.73
268,0.73
269,0.73
270,0.73
271,0.75
272,0.75
273,0.75
274,0.75
275,0.77
276,0.76
277,0.76
278,0.76
279,0.76
280,0.76
281,0.76
282,0.76
283,0.76
284,0.76
285,0.76
286,0.76
287,0.76
288,0.76
289,0.76
290,0.76
291,0.76
292,0.76
293,0.76
294,0.76
295,0.76
296,0.76
297,0.76
298,0.76
299,0.76
300,0.76
301,0.77
302,0.77
303,0.78
304,0.78
305,0.79
306,0.78
307,0.79
308,0.78
309,0.78
310,0.78
311,0.78
312,0.78
313,0.78
314,0.78
315,0.78
316,0.78
317,0.78
318,0.78
319,0.78
320,0.78
321,0.78
322,0.78
323,0.78
324,0.78
325,0.78
326,0.78
327,0.78
328,0.78
329,0.78
