[2020-01-31 10:02:30] Linux 4.15.0-72-generic (lc-client.benchlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 10:02:31] 
[2020-01-31 10:02:31] 10:02:30      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-31 10:02:31] 10:02:31    20001      9217   1766.00      0.00  426804   20392   0.17  qrail-cli
[2020-01-31 10:02:32] 10:02:32    20001      9217      0.00      0.00  426804   20392   0.17  qrail-cli
[2020-01-31 10:02:33] 10:02:33    20001      9217      0.00      0.00  426804   20392   0.17  qrail-cli
[2020-01-31 10:02:34] 10:02:34    20001      9217      0.00      0.00  426804   20392   0.17  qrail-cli
[2020-01-31 10:02:35] 10:02:35    20001      9217      0.00      0.00  426804   20392   0.17  qrail-cli
[2020-01-31 10:02:36] 10:02:36    20001      9217      0.00      0.00  426804   20392   0.17  qrail-cli
[2020-01-31 10:02:37] 10:02:37    20001      9217      0.00      0.00  426804   20392   0.17  qrail-cli
[2020-01-31 10:02:38] 10:02:38    20001      9217   3190.00      0.00  435128   26956   0.22  qrail-cli
[2020-01-31 10:02:39] 10:02:39    20001      9217  13143.00      0.00  447508   41212   0.34  qrail-cli
[2020-01-31 10:02:40] 10:02:40    20001      9217   5583.00      0.00  458232   51808   0.42  qrail-cli
[2020-01-31 10:02:41] 10:02:41    20001      9217   4325.00      0.00  464648   58352   0.47  qrail-cli
[2020-01-31 10:02:42] 10:02:42    20001      9217   3885.00      0.00  474592   66516   0.54  qrail-cli
[2020-01-31 10:02:43] 10:02:43    20001      9217   8197.00      0.00  475744   69440   0.57  qrail-cli
[2020-01-31 10:02:44] 10:02:44    20001      9217     52.00      0.00  475744   69440   0.57  qrail-cli
[2020-01-31 10:02:45] 10:02:45    20001      9217      0.00      0.00  475744   69440   0.57  qrail-cli
[2020-01-31 10:02:46] 10:02:46    20001      9217      0.00      0.00  475744   69440   0.57  qrail-cli
