time(s),mem(%)
0,0.17
1,0.17
2,0.17
3,0.17
4,0.17
5,0.17
6,0.17
7,0.21
8,0.34
9,0.41
10,0.48
11,0.53
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.56
30,0.56
31,0.57
32,0.58
33,0.58
34,0.59
35,0.57
36,0.57
37,0.57
38,0.57
39,0.57
40,0.57
41,0.57
42,0.57
43,0.57
44,0.57
45,0.57
46,0.57
47,0.57
48,0.57
49,0.57
50,0.57
51,0.57
52,0.57
53,0.57
54,0.57
55,0.57
56,0.57
57,0.57
58,0.57
59,0.57
60,0.57
61,0.60
62,0.61
63,0.60
64,0.61
65,0.62
66,0.60
67,0.60
68,0.60
69,0.60
70,0.60
71,0.60
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.60
90,0.60
91,0.63
92,0.62
93,0.62
94,0.62
95,0.63
96,0.63
97,0.63
98,0.63
99,0.63
100,0.63
101,0.63
102,0.63
103,0.63
104,0.63
105,0.63
106,0.63
107,0.63
108,0.63
109,0.63
110,0.63
111,0.63
112,0.63
113,0.63
114,0.63
115,0.63
116,0.63
117,0.63
118,0.63
119,0.63
120,0.63
121,0.63
122,0.63
123,0.63
124,0.63
125,0.63
126,0.63
127,0.64
128,0.64
129,0.65
130,0.66
131,0.65
132,0.65
133,0.64
134,0.64
135,0.64
136,0.64
137,0.64
138,0.64
139,0.64
140,0.64
141,0.64
142,0.64
143,0.64
144,0.64
145,0.64
146,0.64
147,0.64
148,0.64
149,0.64
150,0.64
151,0.64
152,0.64
153,0.64
154,0.64
155,0.64
156,0.64
157,0.64
158,0.64
159,0.64
160,0.64
161,0.64
162,0.64
163,0.64
164,0.66
165,0.66
166,0.67
167,0.67
168,0.67
169,0.69
170,0.66
171,0.66
172,0.66
173,0.66
174,0.66
175,0.66
176,0.66
177,0.66
178,0.66
179,0.66
180,0.66
181,0.66
182,0.66
183,0.66
184,0.66
185,0.66
186,0.66
187,0.66
188,0.66
189,0.66
190,0.66
191,0.66
192,0.66
193,0.66
194,0.66
195,0.66
196,0.66
197,0.66
198,0.66
199,0.66
200,0.66
201,0.66
202,0.66
203,0.66
204,0.66
205,0.66
206,0.66
207,0.66
208,0.66
209,0.66
210,0.66
211,0.66
212,0.66
213,0.66
214,0.66
215,0.66
216,0.66
217,0.66
218,0.66
219,0.66
220,0.66
221,0.66
222,0.66
223,0.66
224,0.66
225,0.66
226,0.66
227,0.66
228,0.66
229,0.66
230,0.66
231,0.66
232,0.66
233,0.66
234,0.66
235,0.66
236,0.66
237,0.66
238,0.66
239,0.66
240,0.66
241,0.66
242,0.66
243,0.66
244,0.66
245,0.66
246,0.66
247,0.66
248,0.66
249,0.66
250,0.66
251,0.66
252,0.66
253,0.66
254,0.66
255,0.66
256,0.66
257,0.66
258,0.66
259,0.66
260,0.66
261,0.66
262,0.66
263,0.66
264,0.66
265,0.66
266,0.66
267,0.66
268,0.66
269,0.66
270,0.66
271,0.66
272,0.66
273,0.66
274,0.66
275,0.66
276,0.66
277,0.66
278,0.66
279,0.66
280,0.66
281,0.66
282,0.66
283,0.66
284,0.66
285,0.66
286,0.66
287,0.66
288,0.66
289,0.66
290,0.66
291,0.66
292,0.66
293,0.66
294,0.66
295,0.66
296,0.66
297,0.66
298,0.66
299,0.66
300,0.66
301,0.66
302,0.66
303,0.66
304,0.66
305,0.66
306,0.66
307,0.66
308,0.66
309,0.66
310,0.66
311,0.66
312,0.66
313,0.66
314,0.66
315,0.66
316,0.66
317,0.66
318,0.66
319,0.66
320,0.66
321,0.66
322,0.66
323,0.66
324,0.66
325,0.66
326,0.66
327,0.66
328,0.66
329,0.66
330,0.66
331,0.66
332,0.66
333,0.66
334,0.66
335,0.66
336,0.66
337,0.66
338,0.66
339,0.66
340,0.66
341,0.66
342,0.66
343,0.66
344,0.66
345,0.66
346,0.66
347,0.66
348,0.66
349,0.66
350,0.66
351,0.66
352,0.66
353,0.66
354,0.66
355,0.66
356,0.66
357,0.66
358,0.66
359,0.66
360,0.66
361,0.66
362,0.66
363,0.66
364,0.66
