time(s),total_rx(bytes)
0,0
1,1069
2,1069
3,1069
4,1069
5,1069
6,1069
7,1069
8,1069
9,1069
10,1069
11,1069
12,1069
14,1069
15,1069
16,1069
17,1069
18,1069
19,1069
20,1069
21,1069
22,1069
23,1069
24,1069
25,1069
26,1069
27,1069
28,1069
29,1069
30,2086
31,2086
32,2086
33,2086
34,2086
35,2128
36,2128
38,2128
39,2128
40,2128
41,2128
42,2128
43,2128
44,2128
45,2128
46,2128
47,2128
48,2128
49,2128
50,2128
51,2128
52,2128
53,2128
54,2128
55,2128
56,2128
57,2128
58,2128
59,2128
60,3145
61,3145
63,3145
64,3145
65,3145
66,3145
67,3145
68,3145
69,3145
70,3145
71,3145
72,3145
73,3145
74,3145
75,3145
76,3145
77,3145
78,3145
79,3145
80,3145
81,3145
82,3145
83,3145
84,3145
85,3145
87,3145
88,3145
89,3145
90,3145
91,4294
92,4294
93,4294
94,4294
95,4294
96,4336
97,4336
98,4336
99,4336
100,4336
101,4336
102,4336
103,4336
104,4336
105,4336
106,4336
107,4336
108,4336
109,4336
110,4336
112,4336
113,4336
114,4336
115,4336
116,4336
117,4336
118,4336
119,4336
120,5617
121,5617
122,5617
123,5617
124,5617
125,5659
126,5659
127,5659
128,5659
129,5659
130,5659
131,5659
132,5659
133,5659
134,5659
136,5659
137,5659
138,5659
139,5659
140,5659
141,5659
142,5659
143,5659
144,5659
145,5659
146,5659
147,5659
148,5659
149,5659
150,6610
151,6610
152,6610
153,6610
154,6610
155,6652
156,6652
157,6652
158,6652
159,6652
161,6652
162,6652
163,6652
164,6652
165,6652
166,6652
167,6652
168,6652
169,6652
170,6652
171,6652
172,6652
173,6652
174,6652
175,6652
176,6652
177,6652
178,6652
179,6652
180,7669
181,7669
182,7669
183,7669
185,7669
186,7711
187,7711
188,7711
189,7711
190,7711
191,7711
192,7711
193,7711
194,7711
195,7711
196,7711
197,7711
198,7711
199,7711
200,7711
201,7711
202,7711
203,7711
204,7711
205,7711
206,7711
207,7711
208,7711
210,7711
211,8662
212,8662
213,8662
214,8662
215,8662
216,8704
217,8704
218,8704
219,8704
220,8704
221,8704
222,8704
223,8704
224,8704
225,8704
226,8704
227,8704
228,8704
229,8704
230,8704
231,8704
232,8704
234,8704
235,8704
236,8704
237,8704
238,8704
239,8704
240,8704
241,9721
242,9721
243,9721
244,9721
245,9721
246,9721
247,9721
248,9721
249,9721
250,9721
251,9721
252,9721
253,9721
254,9721
255,9721
256,9721
257,9721
259,9721
260,9721
261,9721
262,9721
263,9721
264,9721
265,9721
266,9721
267,9721
268,9721
269,9721
270,11002
271,11002
272,11002
273,11002
274,11002
275,11044
276,11044
277,11044
278,11044
279,11044
280,11044
281,11044
283,11044
284,11044
285,11044
286,11044
287,11044
288,11044
289,11044
290,11044
291,11044
292,11044
293,11044
294,11044
295,11044
296,11044
297,11044
298,11044
299,11044
300,11929
301,11929
302,11929
303,11929
304,11929
305,11971
306,11971
308,11971
309,11971
310,11971
311,11971
312,11971
313,11971
314,11971
315,11971
316,11971
317,11971
318,11971
319,11971
320,11971
321,11971
322,11971
323,11971
324,11971
325,11971
326,11971
327,11971
328,11971
329,11971
330,13120
332,13120
333,13120
334,13120
335,13120
336,13162
337,13162
338,13162
339,13162
340,13162
341,13162
342,13162
343,13162
344,13162
345,13162
346,13162
347,13162
348,13162
349,13162
350,13162
351,13162
352,13162
353,13162
354,13162
355,13162
357,13162
358,13162
359,13162
360,13162
361,14179
362,14179
363,14179
364,14179
365,14179
366,14179
367,14179
368,14179
369,14179
370,14179
371,14179
372,14179
373,14179
374,14179
375,14179
376,14179
377,14179
378,14179
379,14179
380,14179
382,14179
383,14179
384,14179
385,14179
386,14179
387,14179
388,14179
389,14179
390,14536
391,15262
392,15262
393,15262
394,15262
395,15262
396,15262
397,15262
398,15262
399,15262
400,15262
401,15262
402,15262
403,15262
404,15262
406,15262
407,15262
408,15262
409,15262
410,15262
411,15262
412,15262
413,15262
414,15262
415,15262
416,15262
417,15262
418,15262
419,15262
420,16675
421,16675
422,16675
423,16675
424,16675
425,16675
426,16675
427,16675
428,16675
429,16675
431,16675
432,16675
433,16675
434,16675
435,16675
436,16675
437,16675
438,16675
439,16675
440,16675
441,16675
442,16675
443,16675
444,16675
445,16675
446,16675
447,16675
448,16675
449,16675
450,18088
451,18088
452,18088
453,18088
455,18088
456,18088
457,18088
458,18088
459,18088
460,18088
461,18088
462,18088
463,18088
464,18088
465,18088
466,18088
467,18088
468,18088
469,18088
470,18088
471,18088
472,18088
473,18088
474,18088
475,18088
476,18088
477,18088
478,18088
480,18088
481,19369
482,19369
483,19369
484,19369
485,19369
486,19369
487,19369
488,19369
489,19369
490,19369
491,19369
492,19369
493,19369
494,19369
495,19369
496,19369
497,19369
498,19369
499,19369
500,19369
501,19369
502,19369
503,19369
505,19369
506,19369
507,19369
508,19369
509,19369
510,19369
511,20320
512,20320
513,20320
514,20320
515,20320
516,20320
517,20320
518,20320
519,20320
520,20320
521,20320
522,20320
523,20320
524,20320
525,20320
526,20320
527,20320
529,20320
530,20320
531,20320
532,20320
533,20320
534,20320
535,20320
536,20320
537,20320
538,20320
539,20320
540,21073
541,21073
542,21073
543,21073
544,21073
545,21073
546,21073
547,21073
548,21073
549,21073
550,21073
551,21073
552,21073
554,21073
555,21073
556,21073
557,21073
558,21073
559,21073
560,21073
561,21073
562,21073
563,21073
564,21073
565,21073
566,21073
567,21073
568,21073
569,21073
570,21826
571,21826
572,21826
573,21826
574,21826
575,21826
576,21826
578,21826
579,21826
580,21826
581,21826
582,21826
583,21826
584,21826
585,21826
586,21826
587,21826
588,21826
589,21826
590,21826
591,21826
592,21826
593,21826
594,21826
595,21826
596,21826
597,21826
598,21826
599,21826
600,22710
601,22710
603,22710
604,22710
605,22710
606,22710
607,22710
608,22710
609,22710
610,22710
611,22710
612,22710
613,22710
614,22710
615,22710
616,22710
617,22710
618,22710
619,22710
620,22710
621,22710
622,22710
623,22710
624,22710
625,22710
627,22710
628,22710
629,22710
630,22710
631,23595
632,23595
633,23595
634,23595
635,23595
636,23595
637,23595
638,23595
639,23595
640,23595
641,23595
642,23595
643,23595
644,23595
645,23595
646,23595
647,23595
648,23595
649,23595
650,23595
652,23595
653,23595
654,23595
655,23595
656,23595
657,23595
658,23595
659,23595
660,23951
661,24545
662,24545
663,24545
664,24545
665,24545
666,24545
667,24545
668,24545
669,24545
670,24545
671,24545
672,24545
673,24545
674,24545
676,24545
677,24545
678,24545
679,24545
680,24545
681,24545
682,24545
683,24545
684,24545
685,24545
686,24545
687,24545
688,24545
689,24545
690,25694
691,25694
692,25694
693,25694
694,25694
695,25694
696,25694
697,25694
698,25694
699,25694
701,25694
702,25694
703,25694
704,25694
705,25694
706,25694
707,25694
708,25694
709,25694
710,25694
711,25694
712,25694
713,25694
714,25694
715,25694
716,25694
717,25694
718,25694
719,25694
720,26909
721,26909
722,26909
723,26909
724,26909
726,26909
727,26909
728,26909
729,26909
730,26909
731,26909
732,26909
733,26909
734,26909
735,26909
736,26909
737,26909
738,26909
739,26909
740,26909
741,26909
742,26909
743,26909
744,26909
745,26909
746,26909
747,26909
748,26909
750,26909
751,27992
752,27992
753,27992
754,27992
755,27992
756,28034
757,28034
758,28034
759,28034
760,28034
761,28034
