time(s),total_tx(bytes)
0,0
1,929
2,929
3,929
4,929
5,929
6,929
7,929
8,929
9,929
10,929
11,929
12,929
14,929
15,929
16,929
17,929
18,929
19,929
20,929
21,929
22,929
23,929
24,929
25,929
26,929
27,929
28,929
29,929
30,118973
31,118973
32,118973
33,118973
34,118973
35,119033
36,119033
38,119033
39,119033
40,119033
41,119033
42,119033
43,119033
44,119033
45,119033
46,119033
47,119033
48,119033
49,119033
50,119033
51,119033
52,119033
53,119033
54,119033
55,119033
56,119033
57,119033
58,119033
59,119033
60,257383
61,257383
63,257383
64,257383
65,257383
66,257383
67,257383
68,257383
69,257383
70,257383
71,257383
72,257383
73,257383
74,257383
75,257383
76,257383
77,257383
78,257383
79,257383
80,257383
81,257383
82,257383
83,257383
84,257383
85,257383
87,257383
88,257383
89,257383
90,257383
91,413908
92,413908
93,413908
94,413908
95,413908
96,413968
97,413968
98,413968
99,413968
100,413968
101,413968
102,413968
103,413968
104,413968
105,413968
106,413968
107,413968
108,413968
109,413968
110,413968
112,413968
113,413968
114,413968
115,413968
116,413968
117,413968
118,413968
119,413968
120,570098
121,570098
122,570098
123,570098
124,570098
125,570158
126,570158
127,570158
128,570158
129,570158
130,570158
131,570158
132,570158
133,570158
134,570158
136,570158
137,570158
138,570158
139,570158
140,570158
141,570158
142,570158
143,570158
144,570158
145,570158
146,570158
147,570158
148,570158
149,570158
150,677184
151,677184
152,677184
153,677184
154,677184
155,677244
156,677244
157,677244
158,677244
159,677244
161,677244
162,677244
163,677244
164,677244
165,677244
166,677244
167,677244
168,677244
169,677244
170,677244
171,677244
172,677244
173,677244
174,677244
175,677244
176,677244
177,677244
178,677244
179,677244
180,786886
181,786886
182,786886
183,786886
185,786886
186,786946
187,786946
188,786946
189,786946
190,786946
191,786946
192,786946
193,786946
194,786946
195,786946
196,786946
197,786946
198,786946
199,786946
200,786946
201,786946
202,786946
203,786946
204,786946
205,786946
206,786946
207,786946
208,786946
210,786946
211,904771
212,904771
213,904771
214,904771
215,904771
216,904831
217,904831
218,904831
219,904831
220,904831
221,904831
222,904831
223,904831
224,904831
225,904831
226,904831
227,904831
228,904831
229,904831
230,904831
231,904831
232,904831
234,904831
235,904831
236,904831
237,904831
238,904831
239,904831
240,904831
241,1013924
242,1013924
243,1013924
244,1013924
245,1013924
246,1013924
247,1013924
248,1013924
249,1013924
250,1013924
251,1013924
252,1013924
253,1013924
254,1013924
255,1013924
256,1013924
257,1013924
259,1013924
260,1013924
261,1013924
262,1013924
263,1013924
264,1013924
265,1013924
266,1013924
267,1013924
268,1013924
269,1013924
270,1175947
271,1175947
272,1175947
273,1175947
274,1175947
275,1176007
276,1176007
277,1176007
278,1176007
279,1176007
280,1176007
281,1176007
283,1176007
284,1176007
285,1176007
286,1176007
287,1176007
288,1176007
289,1176007
290,1176007
291,1176007
292,1176007
293,1176007
294,1176007
295,1176007
296,1176007
297,1176007
298,1176007
299,1176007
300,1262290
301,1262290
302,1262290
303,1262290
304,1262290
305,1262350
