time(s),total_rx(bytes)
0,0
1,1468
2,1468
3,1468
4,1468
5,1468
6,1534
7,1534
8,1534
9,1534
10,1534
11,1600
12,1600
13,1600
14,1600
15,1600
16,1666
17,1666
18,1666
19,1666
20,1666
21,1732
22,1732
24,1732
25,1732
26,1840
27,1840
28,1840
29,1840
30,2236
31,2302
32,2302
33,2302
34,2302
35,2302
36,2368
37,2368
38,2368
39,2368
40,2368
41,2434
42,2434
43,2434
44,2434
45,2434
46,2500
47,2500
49,2500
50,2500
51,2608
52,2608
53,2608
54,2608
55,2608
56,2674
57,2674
58,2674
59,2674
60,3796
61,3862
62,3862
63,3862
64,3862
65,3862
66,3994
67,3994
68,3994
69,3994
70,3994
71,4060
72,4060
74,4060
75,4060
76,4126
77,4168
78,4168
79,4168
80,4168
81,4234
82,4234
83,4234
84,4234
85,4234
86,4300
87,4300
88,4300
89,5224
90,5224
91,5290
92,5290
93,5290
94,5290
95,5290
96,5356
98,5356
99,5356
100,5356
101,5464
102,5464
103,5464
104,5464
105,5464
106,5530
107,5530
108,5530
109,5530
110,5530
111,5596
112,5596
113,5596
114,5596
115,5596
116,5662
117,5662
118,5662
119,6256
120,6256
121,6322
123,6322
124,6322
125,6322
126,6430
127,6430
128,6430
129,6430
130,6430
131,6496
132,6496
133,6496
134,6496
135,6496
136,6562
137,6562
138,6562
139,6562
140,6562
141,6628
142,6628
143,6628
144,6628
145,6694
147,6694
148,6694
149,6694
150,7354
151,7420
152,7462
153,7462
154,7462
155,7462
156,7528
157,7528
158,7528
159,7528
160,7528
161,7594
162,7594
163,7594
164,7594
165,7594
166,7660
167,7660
168,7660
169,7660
170,7726
172,7726
173,7726
174,7726
175,7726
176,7834
177,7834
178,7834
179,7834
180,8560
181,8626
182,8626
183,8626
184,8626
185,8626
186,8692
187,8692
188,8692
189,8692
190,8692
191,8758
192,8758
193,8758
194,8758
195,8824
197,8824
198,8824
199,8824
200,8824
201,8932
202,8932
203,8932
204,8932
205,8932
206,8998
207,8998
208,8998
209,9592
210,9592
211,9658
212,9658
213,9658
214,9658
215,9658
216,9724
217,9724
218,9724
219,9724
221,9790
222,9790
223,9790
224,9790
225,9790
226,9856
227,9856
228,9856
229,9856
230,9856
231,9922
232,9922
233,9922
234,9922
235,9922
236,9988
237,9988
238,9988
239,10516
240,10516
241,10582
242,10582
243,10582
244,10624
246,10690
247,10690
248,10690
249,10690
250,10690
251,10756
252,10756
253,10756
254,10756
255,10756
256,10822
257,10822
258,10822
259,10822
260,10822
261,10888
262,10888
263,10888
264,10888
265,10888
266,10954
267,10954
268,10954
270,11482
271,11548
272,11548
273,11548
274,11548
275,11548
276,11614
277,11614
278,11614
279,11614
280,11614
281,11680
282,11680
283,11680
284,11680
285,11680
286,11746
287,11746
288,11746
289,11746
290,11746
291,11854
292,11854
293,11854
295,11854
296,11920
297,11920
298,11920
299,11920
300,12580
301,12646
302,12646
303,12646
304,12646
305,12646
306,12712
307,12712
308,12712
309,12712
310,12712
311,12778
312,12778
313,12778
314,12778
315,12778
316,12844
317,12844
319,12844
320,12844
321,12910
322,12910
323,12910
324,12910
325,12910
326,12976
327,12976
328,12976
329,12976
330,13372
331,13438
332,13438
333,13438
334,13480
335,13480
336,13546
337,13546
338,13546
339,13546
340,13546
341,13612
342,13612
344,13612
345,13612
346,13678
347,13678
348,13678
349,13678
350,13678
351,13744
352,13744
353,13744
354,13744
355,13744
356,13810
357,13810
358,13810
359,14338
360,14338
361,14404
362,14404
363,14404
364,14404
365,14404
366,14470
368,14470
369,14470
370,14470
371,14536
372,14536
373,14536
374,14536
375,14536
376,14602
377,14602
378,14602
379,14602
380,14602
381,14710
382,14710
383,14710
384,14710
385,14710
386,14776
387,14776
388,14776
389,15502
390,15502
391,15568
393,15568
394,15568
395,15568
396,15634
397,15634
398,15634
399,15634
400,15634
401,15700
402,15700
403,15700
404,15700
405,15700
406,15766
