time(s),total_rx(bytes)
0,0
1,2937
2,5115
3,6237
4,6237
5,6237
6,6237
7,6237
8,6237
9,6237
10,6237
11,6237
12,6237
13,6237
14,6237
15,6237
16,6237
18,6237
19,6237
20,6237
21,6237
22,6237
23,6237
24,6237
25,6237
26,6237
27,6237
28,6237
29,6237
30,6237
31,6237
32,6237
33,7425
34,7425
35,7425
36,7425
37,7425
38,7467
39,7467
40,7467
41,7467
43,7467
44,7467
45,7467
46,7467
47,7467
48,7467
49,7467
50,7467
51,7467
52,7467
53,7467
54,7467
55,7467
56,7467
57,7467
58,7467
59,7467
60,7467
61,7467
62,7467
63,8787
64,8787
65,8787
67,8853
68,8853
69,8853
70,8853
71,8853
72,8895
73,8895
74,8895
75,8895
76,8895
77,8895
78,8895
79,8895
80,8895
81,8895
82,8895
83,8895
84,8895
85,8895
86,8895
87,8895
88,8895
89,8895
90,8895
92,8895
93,8895
94,10347
95,10347
96,10347
97,10347
98,10347
99,10347
100,10347
101,10347
102,10347
103,10347
104,10347
105,10347
106,10347
107,10347
108,10347
109,10347
110,10347
111,10347
112,10347
113,10347
114,10347
116,10347
117,10347
118,10347
119,10347
120,10347
121,10347
122,10347
123,10347
124,11535
125,11535
126,11535
127,11535
128,11577
129,11577
130,11577
131,11577
132,11577
133,11577
134,11577
135,11577
136,11577
137,11577
138,11577
139,11577
141,11577
142,11577
143,11577
144,11577
145,11577
146,11577
147,11577
148,11577
149,11577
150,11577
151,11577
152,11577
153,12699
154,12699
155,12699
156,12699
157,12699
158,12699
159,12699
160,12699
161,12699
162,12699
163,12699
164,12699
166,12699
167,12699
168,12699
169,12699
170,12699
171,12699
172,12699
173,12699
174,12699
175,12699
176,12699
177,12699
178,12699
179,12699
180,12699
181,12699
182,12699
183,13755
184,13755
185,13755
186,13755
187,13755
188,13797
190,13797
191,13797
192,13797
193,13797
194,13797
195,13797
196,13797
197,13797
198,13797
199,13797
200,13797
201,13797
202,13797
203,13797
204,13797
205,13797
206,13797
207,13797
208,13797
209,13797
210,13797
211,13797
212,13797
213,14457
215,14457
216,14457
217,14457
218,14457
219,14457
220,14457
221,14457
222,14457
223,14457
224,14457
225,14457
226,14457
227,14457
228,14457
229,14457
230,14457
231,14457
232,14457
233,14457
234,14457
235,14457
236,14457
237,14457
238,14457
240,14457
241,14457
242,14457
243,14457
244,15315
245,15315
246,15315
247,15315
248,15357
249,15357
250,15357
251,15357
252,15357
253,15357
254,15357
255,15357
256,15357
257,15357
258,15357
259,15357
260,15357
261,15357
262,15357
264,15357
265,15357
266,15357
267,15357
268,15357
269,15357
270,15357
271,15357
272,15357
273,16479
274,16479
275,16479
276,16479
277,16479
278,16521
279,16521
280,16521
281,16521
282,16521
283,16521
284,16521
285,16521
286,16521
287,16521
289,16521
290,16521
291,16521
292,16521
293,16521
294,16521
295,16521
296,16521
297,16521
298,16521
299,16521
300,16521
301,16521
302,16521
303,17907
304,17907
305,17907
306,17907
307,17907
308,17949
309,17949
310,17949
311,17949
313,17949
314,17949
315,17949
316,17949
317,17949
318,17949
319,17949
320,17949
321,17949
322,17949
323,17949
324,17949
325,17949
326,17949
327,17949
328,17949
329,17949
330,17949
331,17949
332,17949
333,19203
334,19203
335,19203
336,19203
338,19203
339,19245
340,19245
341,19245
342,19245
343,19245
344,19245
345,19245
346,19245
347,19245
348,19245
349,19245
350,19245
351,19245
352,19245
353,19245
354,19245
355,19245
356,19245
357,19245
358,19245
359,19245
360,19245
362,19245
363,19245
364,20169
365,20169
366,20169
367,20169
368,20169
369,20211
370,20211
371,20211
372,20211
373,20211
374,20211
375,20211
376,20211
377,20211
378,20211
379,20211
380,20211
381,20211
382,20211
383,20211
384,20211
385,20211
387,20211
388,20211
389,20211
390,20211
391,20211
392,20211
393,20211
394,20937
395,20937
396,20937
397,20937
398,20979
399,20979
400,20979
401,20979
402,20979
403,20979
404,20979
405,20979
406,20979
407,20979
408,20979
409,20979
410,20979
412,20979
413,20979
414,20979
415,20979
416,20979
417,20979
418,20979
419,20979
420,20979
421,20979
422,20979
423,22233
424,22233
425,22233
426,22233
427,22233
428,22275
429,22275
430,22275
431,22275
432,22275
433,22275
434,22275
436,22275
437,22275
438,22275
439,22275
440,22275
441,22275
442,22275
443,22275
444,22275
445,22275
446,22275
447,22275
448,22275
449,22275
450,22275
451,22275
452,22275
453,23727
454,23727
455,23727
456,23727
457,23727
458,23769
459,23769
461,23769
462,23769
463,23769
464,23769
465,23769
466,23769
467,23769
468,23769
469,23769
470,23769
471,23769
472,23769
473,23769
474,23769
475,23769
476,23769
477,23769
478,23769
479,23769
480,23769
481,23769
482,23769
483,24957
485,24957
486,24957
487,24957
488,24957
489,24999
490,24999
491,24999
492,24999
493,24999
494,24999
495,24999
496,24999
497,24999
498,24999
499,24999
500,24999
501,24999
502,24999
503,24999
504,24999
505,24999
506,24999
507,24999
508,24999
510,24999
511,24999
512,24999
513,24999
514,25989
515,25989
516,25989
517,25989
518,25989
519,26031
520,26031
521,26031
522,26031
523,26031
524,26031
525,26031
526,26031
527,26031
528,26031
529,26031
530,26031
531,26031
532,26031
533,26031
535,26031
536,26031
537,26031
538,26031
539,26031
540,26031
541,26031
542,26031
543,26955
544,26955
545,26955
546,26955
547,26955
548,26955
549,26955
550,26955
551,26955
552,26955
553,26955
554,26955
555,26955
556,26955
557,26955
559,26955
560,26955
561,26955
562,26955
563,26955
564,26955
565,26955
566,26955
567,26955
568,26955
569,26955
570,26955
571,26955
572,26955
573,28077
574,28077
575,28077
576,28077
577,28077
578,28119
579,28119
580,28119
581,28119
582,28119
584,28119
585,28119
586,28119
587,28119
588,28119
589,28119
590,28119
591,28119
592,28119
593,28119
594,28119
595,28119
596,28119
597,28119
598,28119
599,28119
600,28119
601,28119
602,28119
603,29373
604,29373
605,29373
606,29373
607,29373
609,29373
610,29373
611,29373
612,29373
613,29373
614,29373
615,29373
616,29373
617,29373
618,29373
619,29373
620,29373
621,29373
622,29373
623,29373
624,29373
625,29373
626,29373
627,29373
628,29373
629,29373
630,29373
631,29373
633,29373
634,30297
635,30297
636,30297
637,30297
638,30297
639,30339
640,30339
641,30339
642,30339
643,30339
644,30339
645,30339
646,30339
647,30339
648,30339
649,30339
650,30339
651,30339
652,30339
653,30339
654,30339
655,30339
656,30339
658,30339
659,30339
660,30339
661,30339
662,30339
663,30339
664,31461
665,31461
666,31461
667,31461
668,31461
669,31461
670,31461
671,31461
672,31461
673,31461
674,31461
675,31461
676,31461
677,31461
678,31461
679,31461
680,31461
681,31461
683,31461
684,31461
685,31461
686,31461
687,31461
688,31461
689,31461
690,31461
691,31461
692,31461
693,32781
694,32781
695,32781
696,32781
697,32781
698,32823
699,32823
700,32823
701,32823
702,32823
703,32823
704,32823
705,32823
707,32823
708,32823
709,32823
710,32823
711,32823
712,32823
713,32823
714,32823
715,32823
716,32823
717,32823
718,32823
719,32823
720,32823
721,32823
722,32823
723,34011
724,34011
725,34011
726,34011
727,34011
728,34011
729,34011
730,34011
732,34011
733,34011
734,34011
735,34011
736,34011
737,34011
738,34011
739,34011
740,34011
741,34011
742,34011
743,34011
744,34011
745,34011
746,34011
747,34011
748,34011
749,34011
750,34011
751,34011
752,34011
753,35199
754,35199
755,35199
757,35199
758,35199
759,35241
760,35241
761,35241
762,35241
763,35241
764,35241
765,35241
766,35241
767,35241
768,35241
769,35241
770,35241
771,35241
772,35241
773,35241
774,35241
775,35241
776,35241
777,35241
778,35241
779,35241
781,35241
782,35241
783,35241
784,36165
785,36165
786,36165
787,36165
788,36165
789,36165
790,36165
791,36165
792,36165
793,36165
794,36165
795,36165
796,36165
797,36165
798,36165
799,36165
800,36165
801,36165
802,36165
803,36165
804,36165
806,36165
807,36165
808,36165
809,36165
810,36165
811,36165
812,36165
813,37089
814,37089
815,37089
816,37089
817,37089
818,37131
819,37131
820,37131
821,37131
822,37131
823,37131
824,37131
825,37131
826,37131
827,37131
828,37131
830,37131
831,37131
832,37131
833,37131
834,37131
835,37131
836,37131
837,37131
