time(s),total_tx(bytes)
0,0
1,73891
2,73891
3,73891
4,73891
5,73891
6,73980
7,73980
8,73980
9,73980
10,73980
11,74069
12,74069
13,74069
14,74069
15,74069
16,74158
17,74158
18,74158
19,74158
20,74158
21,74247
22,74247
24,74247
25,74247
26,74396
27,74396
28,74396
29,74396
30,130870
31,130959
32,130959
33,130959
34,130959
35,130959
36,131048
37,131048
38,131048
39,131048
40,131048
41,131137
42,131137
43,131137
44,131137
45,131137
46,131226
47,131226
49,131226
50,131226
51,131375
52,131375
53,131375
54,131375
55,131375
56,131464
57,131464
58,131464
59,131464
60,334035
61,334124
62,334124
63,334124
64,334124
65,334124
66,334345
67,334345
68,334345
69,334345
70,334345
71,334434
72,334434
74,334434
75,334434
76,334523
77,334583
78,334583
79,334583
80,334583
81,334672
82,334672
83,334672
84,334672
85,334672
86,334761
87,334761
88,334761
89,549860
90,549860
91,549949
92,549949
93,549949
94,549949
95,549949
96,550038
98,550038
99,550038
100,550038
101,550187
102,550187
103,550187
104,550187
105,550187
106,550276
107,550276
108,550276
109,550276
110,550276
111,550365
112,550365
113,550365
114,550365
115,550365
116,550454
117,550454
118,550454
119,656084
120,656084
121,656173
123,656173
124,656173
125,656173
126,656322
127,656322
128,656322
129,656322
130,656322
131,656411
132,656411
133,656411
134,656411
135,656411
136,656500
137,656500
138,656500
139,656500
140,656500
141,656589
142,656589
143,656589
144,656589
145,656678
147,656678
148,656678
149,656678
150,809003
151,809092
152,809152
153,809152
154,809152
155,809152
156,809241
157,809241
158,809241
159,809241
160,809241
161,809330
162,809330
163,809330
164,809330
165,809330
166,809419
167,809419
168,809419
169,809419
170,809508
172,809508
173,809508
174,809508
175,809508
176,809657
177,809657
178,809657
179,809657
180,948170
181,948259
182,948259
183,948259
184,948259
185,948259
186,948348
187,948348
188,948348
189,948348
190,948348
191,948437
192,948437
193,948437
194,948437
195,948526
197,948526
198,948526
199,948526
200,948526
201,948675
202,948675
203,948675
204,948675
205,948675
206,948764
207,948764
208,948764
209,1072336
210,1072336
211,1072425
212,1072425
213,1072425
214,1072425
215,1072425
216,1072514
217,1072514
218,1072514
219,1072514
221,1072603
222,1072603
223,1072603
224,1072603
225,1072603
226,1072692
227,1072692
228,1072692
229,1072692
230,1072692
231,1072781
232,1072781
233,1072781
234,1072781
235,1072781
236,1072870
237,1072870
238,1072870
239,1171364
240,1171364
241,1171453
242,1171453
243,1171453
244,1171513
246,1171602
247,1171602
248,1171602
249,1171602
250,1171602
251,1171691
252,1171691
253,1171691
254,1171691
255,1171691
256,1171780
257,1171780
258,1171780
259,1171780
260,1171780
261,1171869
262,1171869
263,1171869
264,1171869
265,1171869
266,1171958
267,1171958
268,1171958
270,1271647
271,1271736
272,1271736
273,1271736
274,1271736
275,1271736
276,1271825
277,1271825
278,1271825
279,1271825
280,1271825
281,1271914
