time(s),total_tx(bytes)
0,0
1,348279
2,882586
3,1139690
4,1139690
5,1139690
6,1139690
7,1139690
8,1139690
9,1139690
10,1139690
11,1139690
12,1139690
13,1139690
14,1139690
15,1139690
16,1139690
18,1139690
19,1139690
20,1139690
21,1139690
22,1139690
23,1139690
24,1139690
25,1139690
26,1139690
27,1139690
28,1139690
29,1139690
30,1139690
31,1139690
32,1139690
33,1389531
34,1389531
35,1389531
36,1389531
37,1389531
38,1389591
39,1389591
40,1389591
41,1389591
43,1389591
44,1389591
45,1389591
46,1389591
47,1389591
48,1389591
49,1389591
50,1389591
51,1389591
52,1389591
53,1389591
54,1389591
55,1389591
56,1389591
57,1389591
58,1389591
59,1389591
60,1389591
61,1389591
62,1389591
63,1677212
64,1677212
65,1677212
67,1677344
68,1677344
69,1677344
70,1677344
71,1677344
72,1677404
73,1677404
74,1677404
75,1677404
76,1677404
77,1677404
78,1677404
79,1677404
80,1677404
81,1677404
82,1677404
83,1677404
84,1677404
85,1677404
86,1677404
87,1677404
88,1677404
89,1677404
90,1677404
92,1677404
93,1677404
94,2005050
95,2005050
96,2005050
97,2005050
98,2005050
99,2005050
100,2005050
101,2005050
102,2005050
103,2005050
104,2005050
105,2005050
106,2005050
107,2005050
108,2005050
109,2005050
110,2005050
111,2005050
112,2005050
113,2005050
114,2005050
116,2005050
117,2005050
118,2005050
119,2005050
120,2005050
121,2005050
122,2005050
123,2005050
124,2309022
125,2309022
126,2309022
127,2309022
128,2309082
129,2309082
130,2309082
131,2309082
132,2309082
133,2309082
134,2309082
135,2309082
136,2309082
137,2309082
138,2309082
139,2309082
141,2309082
142,2309082
143,2309082
144,2309082
145,2309082
146,2309082
147,2309082
148,2309082
149,2309082
150,2309082
151,2309082
152,2309082
153,2519692
154,2519692
155,2519692
156,2519692
157,2519692
158,2519692
159,2519692
160,2519692
161,2519692
162,2519692
163,2519692
164,2519692
166,2519692
167,2519692
168,2519692
169,2519692
170,2519692
171,2519692
172,2519692
173,2519692
174,2519692
175,2519692
176,2519692
177,2519692
178,2519692
179,2519692
180,2519692
181,2519692
182,2519692
183,2763486
184,2763486
185,2763486
186,2763486
187,2763486
188,2763546
190,2763546
191,2763546
192,2763546
193,2763546
194,2763546
195,2763546
196,2763546
197,2763546
198,2763546
199,2763546
200,2763546
201,2763546
202,2763546
203,2763546
204,2763546
205,2763546
206,2763546
207,2763546
208,2763546
209,2763546
210,2763546
211,2763546
212,2763546
213,2884814
215,2884814
216,2884814
217,2884814
218,2884814
219,2884814
220,2884814
221,2884814
222,2884814
223,2884814
224,2884814
225,2884814
226,2884814
227,2884814
228,2884814
229,2884814
230,2884814
231,2884814
232,2884814
233,2884814
234,2884814
235,2884814
236,2884814
237,2884814
238,2884814
240,2884814
241,2884814
242,2884814
243,2884814
244,3071480
245,3071480
246,3071480
247,3071480
248,3071480
249,3071540
250,3071540
251,3071540
252,3071540
253,3071540
254,3071540
255,3071540
256,3071540
257,3071540
258,3071540
259,3071540
260,3071540
261,3071540
262,3071540
264,3071540
265,3071540
266,3071540
267,3071540
268,3071540
269,3071540
270,3071540
271,3071540
272,3071540
273,3342756
274,3342756
275,3342756
276,3342756
277,3342756
278,3342816
279,3342816
280,3342816
281,3342816
282,3342816
283,3342816
284,3342816
285,3342816
286,3342816
287,3342816
289,3342816
290,3342816
291,3342816
292,3342816
293,3342816
294,3342816
295,3342816
296,3342816
297,3342816
298,3342816
299,3342816
300,3342816
301,3342816
302,3342816
303,3724896
304,3724896
305,3724896
306,3724896
307,3724896
308,3724956
309,3724956
310,3724956
311,3724956
313,3724956
314,3724956
315,3724956
316,3724956
317,3724956
318,3724956
319,3724956
320,3724956
321,3724956
322,3724956
323,3724956
324,3724956
325,3724956
326,3724956
327,3724956
328,3724956
329,3724956
330,3724956
331,3724956
332,3724956
333,4013976
334,4013976
335,4013976
336,4013976
338,4013976
339,4014036
340,4014036
341,4014036
342,4014036
343,4014036
344,4014036
345,4014036
346,4014036
347,4014036
348,4014036
349,4014036
350,4014036
351,4014036
352,4014036
353,4014036
354,4014036
355,4014036
356,4014036
357,4014036
358,4014036
359,4014036
360,4014036
362,4014036
363,4014036
364,4209248
365,4209248
366,4209248
367,4209248
368,4209248
369,4209308
370,4209308
371,4209308
372,4209308
373,4209308
374,4209308
375,4209308
376,4209308
377,4209308
378,4209308
379,4209308
380,4209308
381,4209308
382,4209308
383,4209308
384,4209308
385,4209308
387,4209308
388,4209308
389,4209308
390,4209308
391,4209308
392,4209308
393,4209308
394,4338100
395,4338100
396,4338100
397,4338100
398,4338160
399,4338160
400,4338160
401,4338160
402,4338160
403,4338160
404,4338160
405,4338160
406,4338160
407,4338160
408,4338160
409,4338160
410,4338160
412,4338160
413,4338160
414,4338160
415,4338160
416,4338160
417,4338160
418,4338160
419,4338160
420,4338160
421,4338160
422,4338160
423,4592382
424,4592382
425,4592382
426,4592382
427,4592382
428,4592442
429,4592442
430,4592442
431,4592442
432,4592442
433,4592442
434,4592442
436,4592442
437,4592442
438,4592442
439,4592442
440,4592442
441,4592442
442,4592442
443,4592442
444,4592442
445,4592442
446,4592442
447,4592442
448,4592442
449,4592442
450,4592442
451,4592442
452,4592442
453,4926110
454,4926110
455,4926110
456,4926110
457,4926110
458,4926170
459,4926170
461,4926170
462,4926170
463,4926170
464,4926170
465,4926170
466,4926170
467,4926170
468,4926170
469,4926170
470,4926170
471,4926170
472,4926170
473,4926170
474,4926170
475,4926170
476,4926170
477,4926170
478,4926170
479,4926170
480,4926170
481,4926170
482,4926170
483,5198046
484,5198046
486,5198046
487,5198046
488,5198046
489,5198106
490,5198106
491,5198106
492,5198106
493,5198106
494,5198106
495,5198106
496,5198106
497,5198106
498,5198106
499,5198106
500,5198106
501,5198106
502,5198106
503,5198106
504,5198106
505,5198106
506,5198106
507,5198106
508,5198106
510,5198106
511,5198106
512,5198106
513,5198106
514,5396704
515,5396704
516,5396704
517,5396704
518,5396704
519,5396764
520,5396764
521,5396764
522,5396764
523,5396764
524,5396764
525,5396764
526,5396764
527,5396764
528,5396764
529,5396764
530,5396764
531,5396764
532,5396764
533,5396764
535,5396764
536,5396764
537,5396764
538,5396764
539,5396764
540,5396764
541,5396764
542,5396764
543,5602263
544,5602263
545,5602263
546,5602263
547,5602263
548,5602263
549,5602263
550,5602263
551,5602263
552,5602263
553,5602263
554,5602263
555,5602263
556,5602263
557,5602263
559,5602263
560,5602263
561,5602263
562,5602263
563,5602263
564,5602263
565,5602263
566,5602263
567,5602263
568,5602263
569,5602263
570,5602263
571,5602263
572,5602263
573,5849889
574,5849889
575,5849889
576,5849889
577,5849889
578,5849949
579,5849949
580,5849949
581,5849949
582,5849949
584,5849949
585,5849949
586,5849949
587,5849949
588,5849949
589,5849949
590,5849949
591,5849949
592,5849949
593,5849949
594,5849949
595,5849949
596,5849949
597,5849949
598,5849949
599,5849949
600,5849949
601,5849949
602,5849949
603,6135138
604,6135138
605,6135138
606,6135138
607,6135138
609,6135138
610,6135138
611,6135138
612,6135138
613,6135138
614,6135138
615,6135138
616,6135138
617,6135138
618,6135138
619,6135138
620,6135138
621,6135138
622,6135138
623,6135138
624,6135138
625,6135138
626,6135138
627,6135138
628,6135138
629,6135138
630,6135138
631,6135138
633,6135138
634,6333208
635,6333208
636,6333208
637,6333208
638,6333208
639,6333268
640,6333268
641,6333268
642,6333268
643,6333268
644,6333268
645,6333268
646,6333268
647,6333268
648,6333268
649,6333268
650,6333268
651,6333268
652,6333268
653,6333268
654,6333268
655,6333268
656,6333268
658,6333268
659,6333268
660,6333268
661,6333268
662,6333268
663,6333268
664,6582196
665,6582196
666,6582196
667,6582196
668,6582196
669,6582196
670,6582196
671,6582196
672,6582196
673,6582196
674,6582196
675,6582196
676,6582196
677,6582196
678,6582196
679,6582196
680,6582196
681,6582196
683,6582196
684,6582196
685,6582196
686,6582196
687,6582196
688,6582196
689,6582196
690,6582196
691,6582196
692,6582196
693,6902378
694,6902378
695,6902378
696,6902378
697,6902378
698,6902438
699,6902438
700,6902438
701,6902438
702,6902438
703,6902438
704,6902438
705,6902438
707,6902438
708,6902438
709,6902438
710,6902438
711,6902438
712,6902438
713,6902438
714,6902438
715,6902438
716,6902438
717,6902438
718,6902438
719,6902438
720,6902438
721,6902438
722,6902438
723,7198035
724,7198035
725,7198035
726,7198035
727,7198035
728,7198035
729,7198035
730,7198035
732,7198035
733,7198035
734,7198035
735,7198035
736,7198035
737,7198035
738,7198035
739,7198035
740,7198035
741,7198035
742,7198035
743,7198035
744,7198035
745,7198035
746,7198035
747,7198035
748,7198035
749,7198035
750,7198035
751,7198035
752,7198035
753,7443107
754,7443107
755,7443107
757,7443107
758,7443107
759,7443167
760,7443167
761,7443167
762,7443167
763,7443167
764,7443167
765,7443167
766,7443167
767,7443167
768,7443167
769,7443167
770,7443167
771,7443167
772,7443167
773,7443167
774,7443167
775,7443167
776,7443167
777,7443167
778,7443167
779,7443167
781,7443167
782,7443167
783,7443167
784,7633078
785,7633078
786,7633078
787,7633078
788,7633078
789,7633078
790,7633078
791,7633078
792,7633078
793,7633078
794,7633078
795,7633078
796,7633078
797,7633078
798,7633078
799,7633078
800,7633078
801,7633078
802,7633078
803,7633078
804,7633078
806,7633078
807,7633078
808,7633078
809,7633078
810,7633078
811,7633078
812,7633078
813,7831799
814,7831799
815,7831799
816,7831799
817,7831799
818,7831859
819,7831859
820,7831859
821,7831859
822,7831859
823,7831859
824,7831859
825,7831859
826,7831859
827,7831859
828,7831859
830,7831859
831,7831859
832,7831859
833,7831859
834,7831859
835,7831859
836,7831859
837,7831859
838,7831859
839,7831859
840,7831859
841,7831859
842,7831859
843,8171294
844,8171294
845,8171294
846,8171294
847,8171294
848,8171294
849,8171294
850,8171294
851,8171294
852,8171294
853,8171294
855,8171294
856,8171294
857,8171294
858,8171294
859,8171294
860,8171294
861,8171294
862,8171294
863,8171294
864,8171294
865,8171294
866,8171294
867,8171294
868,8171294
869,8171294
870,8171294
871,8171294
872,8171294
873,8459468
874,8459468
875,8459468
876,8459468
877,8459468
878,8459588
880,8459588
881,8459588
882,8459588
883,8459588
884,8459588
885,8459588
886,8459588
887,8459588
888,8459588
889,8459588
890,8459588
891,8459588
892,8459588
893,8459588
894,8459588
895,8459588
896,8459588
897,8459588
898,8459588
899,8459588
900,8459588
901,8459588
902,8459588
904,8740367
905,8740367
906,8740367
907,8740367
908,8740367
909,8740427
910,8740427
911,8740427
912,8740427
913,8740427
914,8740427
915,8740427
916,8740427
917,8740427
918,8740427
919,8740427
920,8740427
921,8740427
922,8740427
923,8740427
924,8740427
925,8740427
926,8740427
927,8740427
929,8740427
930,8740427
931,8740427
932,8740427
933,8740427
934,8841185
935,8841185
936,8841185
937,8841185
938,8841245
