time(s),total_rx(bytes)
0,0
1,272
2,412
3,412
4,552
5,552
6,552
7,618
8,692
9,692
10,692
11,692
12,692
13,758
14,758
15,758
16,832
17,832
18,832
19,832
20,832
21,832
23,832
24,832
25,832
26,832
27,898
28,898
29,898
30,898
31,972
32,1046
33,1046
34,1120
35,1120
36,1120
37,1120
38,1194
39,1194
40,1194
41,1194
42,1194
43,1236
44,1236
45,1236
46,1789
47,1789
48,1789
50,1789
51,1843
52,1843
53,1843
54,1909
55,1909
56,1909
57,1909
58,1909
59,1909
60,1909
61,2950
62,3644
63,3644
64,3991
65,3991
66,3991
67,4338
68,4338
69,4338
70,4338
71,4338
72,4338
73,4338
74,4685
76,4685
77,4685
78,4685
79,4685
80,4685
81,4685
82,4685
83,4685
84,4685
85,4685
86,4685
87,4685
88,5032
89,5032
90,5032
91,5032
92,5032
93,5032
94,5032
95,5032
96,5032
97,5032
98,5032
99,5032
100,5032
101,5032
103,5032
104,5032
105,5032
106,5032
107,5032
108,5032
109,5032
110,5032
111,5032
112,5032
113,5032
114,5032
115,5379
116,5379
117,5379
118,5379
119,5379
120,5421
121,5421
122,5421
123,5421
124,5421
125,5421
126,5421
127,5421
128,5421
130,5421
131,5421
132,5421
133,5421
134,5421
135,5421
136,5421
137,5421
138,5421
139,5421
140,5475
141,5475
142,5475
143,5475
144,5475
145,5517
146,5517
147,5517
148,5517
149,5517
150,5517
151,5517
152,5517
153,5517
154,5517
156,5517
157,5517
158,5517
159,5517
160,5517
161,5517
162,5517
163,5517
164,5517
165,5517
166,5517
167,5517
168,5517
169,5864
170,5864
171,5864
172,5864
173,5864
174,5906
175,5906
176,5906
177,5906
178,5906
179,5906
180,5906
181,5906
183,5906
184,5906
185,5906
186,5906
187,5906
188,5906
189,5906
190,5906
191,5906
192,5906
193,5906
194,5906
195,5906
196,5906
197,5906
198,5906
199,5906
200,5906
201,5906
202,5906
203,5906
204,5906
205,5906
206,5906
207,5906
209,5906
210,5906
211,5906
212,5906
213,5906
214,5906
215,5906
216,5906
217,5906
218,5906
219,5906
220,5906
221,5906
222,5906
223,5906
224,5906
225,5906
226,5906
227,5906
228,5906
229,5906
230,5906
231,5906
232,5906
233,5906
234,5906
236,5906
237,5906
238,5906
239,5906
240,5906
241,6120
242,6268
243,6268
244,6416
245,6416
246,6458
247,6458
248,7151
249,7151
250,7151
251,7151
252,7151
253,7193
254,7193
255,7193
256,7193
257,7193
258,7193
259,7193
260,7247
262,7247
263,7247
264,7247
265,7247
266,7247
267,7247
268,7247
269,7247
270,7247
271,8288
272,8635
273,8982
274,9329
275,9329
276,9329
277,9676
278,9676
279,9718
280,9718
281,9718
282,9718
283,9718
284,10618
285,10618
286,10618
287,10618
289,10618
290,10660
291,10714
292,10714
293,10714
294,10714
295,10714
296,10714
297,10714
298,10714
299,10714
300,10714
301,11127
302,11127
303,11127
304,11127
305,11127
306,11127
307,11127
308,11127
309,11127
310,11127
311,11127
312,11127
313,11127
314,11127
316,11127
317,11127
318,11127
319,11127
320,11127
321,11127
322,11127
323,11127
324,11127
325,11127
326,11127
327,11127
328,11127
329,11127
330,11127
331,12168
332,12862
333,12862
334,13209
335,13209
336,13251
337,14151
338,14151
339,14151
340,14151
342,14151
343,14193
344,14193
345,14193
346,14193
347,14193
348,14193
349,14193
350,14247
351,14247
352,14247
353,14247
354,14247
355,14247
356,14247
357,14247
358,14247
359,14247
360,14247
361,15635
362,15982
363,15982
364,16329
365,16329
366,16329
367,16676
369,16676
370,16718
371,16718
372,16718
373,16718
374,17618
375,17618
376,17618
377,17618
378,17618
379,17660
380,17714
381,17714
382,17714
383,17714
384,17714
385,17714
386,17714
387,17714
388,17714
389,17714
390,18127
391,18127
392,18127
393,18127
395,18127
396,18127
397,18127
398,18127
399,18127
400,18127
401,18127
402,18127
403,18127
404,18127
405,18127
406,18127
407,18127
408,18127
409,18127
410,18127
411,18127
412,18127
413,18127
414,18127
415,18127
416,18127
417,18127
418,18127
419,18127
420,18821
422,19515
423,19862
424,19862
425,20209
426,20251
427,20251
428,21151
429,21151
430,21151
431,21151
432,21151
433,21193
434,21193
435,21193
436,21193
437,21193
438,21193
439,21193
440,21247
441,21247
442,21247
443,21247
444,21247
445,21247
446,21247
448,21247
449,21247
450,21247
451,21941
452,22635
453,22982
454,23329
455,23329
456,23329
457,23329
458,23676
459,23676
460,23676
461,23676
462,23676
463,23676
464,24023
465,24023
466,24023
467,24023
468,24023
469,24023
470,24023
471,24023
472,24023
473,24023
475,24023
476,24023
477,24023
478,24370
479,24370
480,24370
481,24370
482,24370
483,24412
484,24412
485,24412
486,24412
487,24412
488,24412
489,24412
490,24412
491,24412
492,24412
493,24412
494,24412
495,24412
496,24412
497,24412
498,24412
499,24412
501,24466
502,24466
503,24466
504,24466
505,25366
506,25366
507,25366
508,25366
509,25366
510,25366
511,25779
512,25779
513,25779
514,25779
515,25779
516,25779
517,25779
518,25779
519,25779
520,25779
521,25779
522,25779
523,25779
524,25779
525,25779
526,25779
528,25779
529,25779
530,25779
531,25779
532,25779
533,25779
534,25779
535,25779
536,25779
537,25779
538,25779
539,25779
540,25779
541,26820
542,27514
543,27514
544,27861
545,27861
546,27861
547,28208
548,28208
549,28208
550,28208
551,28208
552,28208
554,28208
555,28555
556,28555
557,28555
558,28555
559,28555
560,28555
561,28555
562,28555
563,28555
564,28555
565,28555
566,28555
567,28902
568,28902
569,28902
570,28902
571,28902
572,28944
573,28944
574,28944
575,28944
576,28944
577,28944
578,28944
579,28944
581,28944
582,28944
583,28944
584,28944
585,28944
586,28944
587,28944
588,28944
589,28944
590,28944
591,28944
592,28944
593,28944
594,28944
595,29844
596,29844
597,29844
598,29844
599,29844
600,29886
601,30299
602,30299
603,30299
604,30299
605,30299
606,30299
608,30299
609,30299
610,30299
611,30299
612,30299
613,30299
614,30299
615,30299
616,30299
617,30299
618,30299
619,30299
620,30299
621,30299
622,30299
623,30299
624,30299
625,30299
626,30299
627,30299
628,30299
629,30299
630,30712
631,30712
632,30712
634,30712
635,30712
636,30712
637,30712
638,30712
639,30712
640,30712
641,30712
642,30712
643,30712
644,30712
645,30712
646,30712
647,30712
648,30712
649,30712
650,30712
651,30712
652,30712
653,30712
654,30712
655,30712
656,30712
657,30712
658,30712
659,30712
661,31125
662,31125
663,31125
664,31125
665,31125
666,31125
667,31125
668,31125
669,31125
670,31125
671,31125
672,31125
673,31125
674,31125
675,31125
676,31125
677,31125
678,31125
679,31125
680,31125
681,31125
682,31125
683,31125
684,31125
685,31125
687,31125
688,31125
689,31125
690,31125
691,31538
692,31538
693,31538
694,31538
695,31538
696,31538
697,31538
698,31538
699,31538
700,31538
701,31538
702,31538
703,31538
704,31538
705,31538
706,31538
707,31538
708,31538
709,31538
710,31538
711,31538
712,31538
714,31538
715,31538
716,31538
717,31538
718,31538
719,31538
720,31538
721,31951
722,31951
723,31951
724,31951
725,31951
726,31951
727,31951
728,31951
729,31951
730,31951
731,31951
732,31951
733,31951
734,31951
735,31951
736,31951
737,31951
738,31951
740,31951
741,31951
742,31951
743,31951
744,31951
745,31951
746,31951
747,31951
748,31951
749,31951
750,31951
751,32364
752,32364
753,32364
754,32364
755,32364
756,32364
757,32364
758,32364
759,32364
760,32364
761,32364
762,32364
763,32364
764,32364
765,32364
767,32364
768,32364
769,32364
770,32364
771,32364
772,32364
773,32364
774,32364
775,32364
776,32364
777,32364
778,32364
779,32364
780,32364
781,32777
782,32777
783,32777
784,32777
785,32777
786,32777
787,32777
788,32777
789,32777
790,32777
791,32777
793,32777
794,32777
795,32777
796,32777
797,32777
798,32777
