time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,46
44,46
45,46
46,466
47,466
48,466
50,466
51,912
52,958
53,958
54,1050
55,1050
56,1050
57,1050
58,1050
59,1050
60,1050
61,1050
62,1050
63,1050
64,1050
65,1050
66,1050
67,1050
68,1050
69,1050
70,1050
71,1050
72,1050
73,1050
74,1050
76,1050
77,1050
78,1050
79,1050
80,1050
81,1050
82,1050
83,1050
84,1050
85,1050
86,1050
87,1050
88,1050
89,1050
90,1050
91,1050
92,1050
93,1050
94,1050
95,1050
96,1050
97,1050
98,1050
99,1050
100,1050
101,1050
103,1050
104,1050
105,1050
106,1050
107,1050
108,1050
109,1050
110,1050
111,1050
112,1050
113,1050
114,1050
115,1050
116,1050
117,1050
118,1050
119,1050
120,1096
121,1096
122,1096
123,1096
124,1096
125,1096
126,1096
127,1096
128,1096
130,1096
131,1096
132,1096
133,1096
134,1096
135,1096
136,1096
137,1096
138,1096
139,1096
140,1450
141,1542
142,1588
143,1634
144,1634
145,1680
146,1680
147,1680
148,1680
149,1680
150,1680
151,1680
152,1680
153,1680
154,1680
156,1680
157,1680
158,1680
159,1680
160,1680
161,1680
162,1680
163,1680
164,1680
165,1680
166,1680
167,1680
168,1680
169,1680
170,1680
171,1680
172,1680
173,1680
174,1726
175,1726
176,1726
177,1726
178,1726
179,1726
180,1726
181,1726
183,1726
184,1726
185,1726
186,1726
187,1726
188,1726
189,1726
190,1726
191,1726
192,1726
193,1726
194,1726
195,1726
196,1726
197,1726
198,1726
199,1726
200,1726
201,1726
202,1726
203,1726
204,1726
205,1726
206,1726
207,1726
209,1726
210,1726
211,1726
212,1726
213,1726
214,1726
215,1726
216,1726
217,1726
218,1726
219,1726
220,1726
221,1726
222,1726
223,1726
224,1726
225,1726
226,1726
227,1726
228,1726
229,1726
230,1726
231,1726
232,1726
233,1726
234,1726
236,1726
237,1726
238,1726
239,1726
240,1726
241,1726
242,1726
243,1726
244,1726
245,1726
246,1772
247,1772
248,2252
249,2252
250,2252
251,2252
252,2252
253,2298
254,2298
255,2298
256,2298
257,2298
258,2298
259,2298
260,2698
262,2790
263,2790
264,2836
265,2836
266,2836
267,2836
268,2836
269,2836
270,2836
271,2836
272,2836
273,2836
274,2836
275,2836
276,2836
277,2836
278,2836
279,2882
280,2882
281,2882
282,2882
283,2882
284,3348
285,3348
286,3348
287,3348
289,3348
290,3394
291,3840
292,3886
293,3886
294,3932
295,3932
296,3932
297,3978
298,3978
299,3978
300,3978
301,4286
302,4286
303,4286
304,4332
305,4332
306,4332
307,4332
308,4332
309,4332
310,4332
311,4332
312,4332
313,4332
314,4332
316,4332
317,4332
318,4332
319,4332
320,4332
321,4332
322,4332
323,4332
324,4332
325,4332
326,4332
327,4332
328,4332
329,4332
330,4332
331,4332
332,4332
333,4332
334,4332
335,4332
336,4378
337,4844
338,4844
339,4844
340,4844
342,4844
343,4890
344,4890
345,4890
346,4890
347,4890
348,4890
349,4890
350,5198
351,5336
352,5382
353,5382
354,5428
355,5428
356,5428
357,5428
358,5428
359,5428
360,5428
361,5428
362,5428
363,5428
364,5428
365,5428
366,5428
367,5428
369,5428
370,5474
371,5474
372,5474
373,5474
374,5940
375,5940
376,5940
377,5940
378,5940
379,5986
380,6340
381,6432
382,6478
383,6524
384,6524
385,6524
386,6524
387,6570
388,6570
389,6570
390,6878
391,6878
392,6878
393,6924
395,6924
396,6924
397,6924
398,6924
399,6924
400,6924
401,6924
402,6924
403,6924
404,6924
405,6924
406,6924
407,6924
408,6924
409,6924
410,6924
411,6924
412,6924
413,6924
414,6924
415,6924
416,6924
417,6924
418,6924
419,6924
420,6924
422,6924
423,6924
424,6924
425,6924
426,6970
427,6970
428,7436
429,7436
430,7436
431,7436
432,7436
433,7482
434,7482
435,7482
436,7482
437,7482
438,7482
439,7482
440,7882
441,7928
442,7974
443,8020
444,8020
445,8020
446,8020
448,8020
449,8020
450,8020
451,8020
