[2020-01-30 04:33:46] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 04:33:47] 
[2020-01-30 04:33:47] 04:33:46      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 04:33:47] 04:33:47    20001     32070   29.00    1.00    0.00    0.00   30.00    12  qrail-cli
[2020-01-30 04:33:48] 04:33:48    20001     32070   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 04:33:49] 04:33:49    20001     32070  100.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 04:33:50] 04:33:50    20001     32070   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 04:33:51] 04:33:51    20001     32070   75.00    1.00    0.00    0.00   76.00    12  qrail-cli
[2020-01-30 04:33:52] 04:33:52    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:33:53] 04:33:53    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:33:54] 04:33:54    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:33:55] 04:33:55    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:33:56] 04:33:56    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:33:57] 04:33:57    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:33:58] 04:33:58    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:33:59] 04:33:59    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:00] 04:34:00    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:01] 04:34:01    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:02] 04:34:02    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:03] 04:34:03    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:04] 04:34:04    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:05] 04:34:05    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:06] 04:34:06    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:07] 04:34:07    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:08] 04:34:08    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:09] 04:34:09    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:10] 04:34:10    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:11] 04:34:11    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:12] 04:34:12    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:13] 04:34:13    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:14] 04:34:14    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 04:34:15] 04:34:15    20001     32070    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
