[2019-11-28 14:05:34] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 14:05:35] 
[2019-11-28 14:05:35] 14:05:34      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-28 14:05:35] 14:05:35    20001     10901   28.00    2.00    0.00    0.00   30.00    12  qrail-cli
[2019-11-28 14:05:36] 14:05:36    20001     10901   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2019-11-28 14:05:37] 14:05:37    20001     10901  100.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 14:05:38] 14:05:38    20001     10901   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2019-11-28 14:05:39] 14:05:39    20001     10901   49.00    0.00    0.00    0.00   49.00    12  qrail-cli
[2019-11-28 14:05:40] 14:05:40    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:41] 14:05:41    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:42] 14:05:42    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:43] 14:05:43    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:44] 14:05:44    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:45] 14:05:45    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:46] 14:05:46    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:47] 14:05:47    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:48] 14:05:48    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:49] 14:05:49    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:50] 14:05:50    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:51] 14:05:51    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:52] 14:05:52    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:53] 14:05:53    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:54] 14:05:54    20001     10901    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 14:05:55] 14:05:55    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:05:56] 14:05:56    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:05:57] 14:05:57    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:05:58] 14:05:58    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:05:59] 14:05:59    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:06:00] 14:06:00    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:06:01] 14:06:01    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:06:02] 14:06:02    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:06:03] 14:06:03    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:06:04] 14:06:04    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
[2019-11-28 14:06:05] 14:06:05    20001     10901   68.00    3.00    0.00    0.00   71.00     0  qrail-cli
[2019-11-28 14:06:06] 14:06:06    20001     10901  100.00    0.00    0.00    0.00  100.00     5  qrail-cli
[2019-11-28 14:06:07] 14:06:07    20001     10901    9.00    0.00    0.00    0.00    9.00     5  qrail-cli
[2019-11-28 14:06:08] 14:06:08    20001     10901    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 14:06:09] 14:06:09    20001     10901    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 14:06:10] 14:06:10    20001     10901    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 14:06:11] 14:06:11    20001     10901    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 14:06:12] 14:06:12    20001     10901    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 14:06:13] 14:06:13    20001     10901    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 14:06:14] 14:06:14    20001     10901    0.00    0.00    0.00    0.00    0.00     5  qrail-cli
[2019-11-28 14:06:15] 14:06:15    20001     10901    1.00    0.00    0.00    0.00    1.00     0  qrail-cli
[2019-11-28 14:06:16] 14:06:16    20001     10901    0.00    0.00    0.00    0.00    0.00     0  qrail-cli
