[2019-11-28 12:20:05] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 12:20:05] 
[2019-11-28 12:20:05] 12:20:04      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-28 12:20:05] 12:20:05    20001     25887   35.00    1.00    0.00    0.00   36.00    12  qrail-cli
[2019-11-28 12:20:06] 12:20:06    20001     25887   99.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:20:07] 12:20:07    20001     25887   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2019-11-28 12:20:08] 12:20:08    20001     25887  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:20:09] 12:20:09    20001     25887   82.00    1.00    0.00    0.00   83.00    12  qrail-cli
[2019-11-28 12:20:10] 12:20:10    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:11] 12:20:11    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:12] 12:20:12    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:13] 12:20:13    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:14] 12:20:14    20001     25887    1.00    0.00    0.00    0.00    1.00     2  qrail-cli
[2019-11-28 12:20:15] 12:20:15    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:16] 12:20:16    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:17] 12:20:17    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:18] 12:20:18    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:19] 12:20:19    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:20] 12:20:20    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:21] 12:20:21    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:22] 12:20:22    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:23] 12:20:23    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:24] 12:20:24    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:25] 12:20:25    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:26] 12:20:26    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:27] 12:20:27    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:28] 12:20:28    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:29] 12:20:29    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:30] 12:20:30    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:31] 12:20:31    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:32] 12:20:32    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:33] 12:20:33    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:34] 12:20:34    20001     25887   54.00    1.00    0.00    0.00   55.00    12  qrail-cli
[2019-11-28 12:20:35] 12:20:35    20001     25887   99.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 12:20:36] 12:20:36    20001     25887   79.00    3.00    0.00    0.00   82.00    12  qrail-cli
[2019-11-28 12:20:37] 12:20:37    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:38] 12:20:38    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:39] 12:20:39    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:40] 12:20:40    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:41] 12:20:41    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:42] 12:20:42    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:43] 12:20:43    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:44] 12:20:44    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:45] 12:20:45    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:46] 12:20:46    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:47] 12:20:47    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:48] 12:20:48    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:49] 12:20:49    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:50] 12:20:50    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:51] 12:20:51    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:52] 12:20:52    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:53] 12:20:53    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:54] 12:20:54    20001     25887    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2019-11-28 12:20:55] 12:20:55    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:56] 12:20:56    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:58] 12:20:58    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:20:59] 12:20:59    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:21:00] 12:21:00    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:21:01] 12:21:01    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:21:02] 12:21:02    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:21:03] 12:21:03    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:21:04] 12:21:04    20001     25887    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 12:21:04] 12:21:04    20001     25887   53.00    4.00    0.00    0.00   57.00    12  qrail-cli
[2019-11-28 12:21:05] 12:21:05    20001     25887   92.00    8.00    0.00    0.00  100.00    12  qrail-cli
