time(s),cpu(%)
0,30.00
1,95.00
2,100.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
12,100.00
13,11.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,1.00
30,0.00
31,0.00
32,0.00
33,100.00
34,99.00
35,100.00
36,99.00
37,100.00
38,100.00
39,100.00
40,100.00
41,100.00
42,100.00
43,100.00
44,33.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,1.00
63,100.00
64,100.00
65,100.00
66,100.00
67,100.00
68,100.00
69,100.00
70,100.00
71,100.00
72,100.00
73,95.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,0.00
82,0.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,2.00
93,100.00
94,99.00
95,100.00
96,100.00
97,99.00
98,100.00
99,100.00
100,99.01
101,100.00
102,99.00
103,99.00
104,100.00
105,99.00
106,100.00
107,100.00
108,22.00
109,0.00
110,0.00
111,0.00
112,0.00
113,0.00
114,0.00
115,0.00
116,0.00
117,0.00
118,0.00
119,1.00
120,0.00
121,0.00
122,2.00
123,100.00
124,100.00
125,99.00
126,100.00
127,100.00
128,100.00
129,100.00
130,100.00
131,24.00
132,0.00
133,0.00
134,0.00
135,0.00
136,0.00
137,0.00
138,0.00
139,0.00
140,0.00
141,0.00
142,0.00
143,0.00
144,0.00
145,0.00
146,0.00
147,0.00
148,0.00
149,0.00
150,0.00
151,0.00
152,2.00
153,100.00
154,100.00
155,99.00
156,100.00
157,99.00
158,100.00
159,100.00
160,100.00
161,100.00
162,4.00
163,0.00
164,0.00
165,0.00
166,0.00
167,0.00
168,0.00
169,0.00
170,0.00
171,0.00
172,0.00
173,0.00
174,0.00
175,0.00
176,0.00
177,0.00
178,0.00
179,0.00
180,0.00
181,0.00
182,4.00
