[2020-02-01 10:46:46] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 10:46:47] 
[2020-02-01 10:46:47] 10:46:46      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-02-01 10:46:47] 10:46:47    20001     25243   28.00    2.00    0.00    0.00   30.00    12  qrail-cli
[2020-02-01 10:46:48] 10:46:48    20001     25243   92.00    3.00    0.00    0.00   95.00    12  qrail-cli
[2020-02-01 10:46:49] 10:46:49    20001     25243  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:50] 10:46:50    20001     25243  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:51] 10:46:51    20001     25243   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:52] 10:46:52    20001     25243   93.00    7.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:53] 10:46:53    20001     25243   92.00    8.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:54] 10:46:54    20001     25243   91.00    9.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:55] 10:46:55    20001     25243   93.00    7.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:56] 10:46:56    20001     25243   93.00    7.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:57] 10:46:57    20001     25243   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:58] 10:46:58    20001     25243   96.00    4.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:46:59] 10:46:59    20001     25243   95.00    5.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:47:00] 10:47:00    20001     25243   11.00    0.00    0.00    1.00   11.00    12  qrail-cli
[2020-02-01 10:47:01] 10:47:01    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:02] 10:47:02    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:03] 10:47:03    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:04] 10:47:04    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:05] 10:47:05    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:06] 10:47:06    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:07] 10:47:07    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:08] 10:47:08    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:09] 10:47:09    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:10] 10:47:10    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:11] 10:47:11    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:12] 10:47:12    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:13] 10:47:13    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:14] 10:47:14    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:15] 10:47:15    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:16] 10:47:16    20001     25243    1.00    0.00    0.00    0.00    1.00    12  qrail-cli
[2020-02-01 10:47:17] 10:47:17    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:18] 10:47:18    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:19] 10:47:19    20001     25243    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-02-01 10:47:20] 10:47:20    20001     25243   92.00    8.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:47:21] 10:47:21    20001     25243   95.00    4.00    0.00    0.00   99.00    12  qrail-cli
[2020-02-01 10:47:22] 10:47:22    20001     25243   93.00    8.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:47:23] 10:47:23    20001     25243   93.00    6.00    0.00    0.00   99.00    12  qrail-cli
[2020-02-01 10:47:24] 10:47:24    20001     25243   93.00    7.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:47:25] 10:47:25    20001     25243   95.00    5.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:47:26] 10:47:26    20001     25243   96.00    4.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:47:27] 10:47:27    20001     25243   92.00    8.00    0.00    0.00  100.00    12  qrail-cli
[2020-02-01 10:47:28] 10:47:28    20001     25243   93.00    7.00    0.00    0.00  100.00    12  qrail-cli
