[2020-01-30 07:28:19] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 07:28:20] 
[2020-01-30 07:28:20] 07:28:19      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 07:28:20] 07:28:20    20001     22891   19.00    1.00    0.00    0.00   20.00    12  qrail-cli
[2020-01-30 07:28:21] 07:28:21    20001     22891   82.00    3.00    0.00    0.00   85.00    12  qrail-cli
[2020-01-30 07:28:22] 07:28:22    20001     22891   96.00    3.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:28:23] 07:28:23    20001     22891   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 07:28:24] 07:28:24    20001     22891   97.00    1.00    0.00    0.00   98.00    12  qrail-cli
[2020-01-30 07:28:25] 07:28:25    20001     22891   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 07:28:26] 07:28:26    20001     22891   70.00    4.00    0.00    0.00   74.00     4  qrail-cli
[2020-01-30 07:28:27] 07:28:27    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:28:28] 07:28:28    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:28:29] 07:28:29    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:28:30] 07:28:30    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:31] 07:28:31    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:32] 07:28:32    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:33] 07:28:33    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:34] 07:28:34    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:35] 07:28:35    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:36] 07:28:36    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:37] 07:28:37    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:38] 07:28:38    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:39] 07:28:39    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:40] 07:28:40    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:41] 07:28:41    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:42] 07:28:42    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:43] 07:28:43    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:44] 07:28:44    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:45] 07:28:45    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:46] 07:28:46    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:47] 07:28:47    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:48] 07:28:48    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:49] 07:28:49    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:28:50] 07:28:50    20001     22891    1.00    0.00    0.00    0.00    1.00     2  qrail-cli
[2020-01-30 07:28:51] 07:28:51    20001     22891   55.00    4.00    0.00    0.00   59.00     4  qrail-cli
[2020-01-30 07:28:52] 07:28:52    20001     22891   97.00    1.00    0.00    0.00   98.00     4  qrail-cli
[2020-01-30 07:28:53] 07:28:53    20001     22891   97.00    3.00    0.00    0.00  100.00     4  qrail-cli
[2020-01-30 07:28:54] 07:28:54    20001     22891   98.00    1.00    0.00    0.00   99.00     4  qrail-cli
[2020-01-30 07:28:55] 07:28:55    20001     22891   98.00    1.00    0.00    0.00   99.00     4  qrail-cli
[2020-01-30 07:28:56] 07:28:56    20001     22891   52.00    0.00    0.00    0.00   52.00     4  qrail-cli
[2020-01-30 07:28:57] 07:28:57    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:28:58] 07:28:58    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:28:59] 07:28:59    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:29:00] 07:29:00    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:01] 07:29:01    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:02] 07:29:02    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:03] 07:29:03    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:04] 07:29:04    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:05] 07:29:05    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:06] 07:29:06    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:07] 07:29:07    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:08] 07:29:08    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:09] 07:29:09    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:10] 07:29:10    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:11] 07:29:11    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:12] 07:29:12    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:13] 07:29:13    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:14] 07:29:14    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:15] 07:29:15    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:16] 07:29:16    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:17] 07:29:17    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:18] 07:29:18    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:19] 07:29:19    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:20] 07:29:20    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:21] 07:29:21    20001     22891   56.00    3.00    0.00    0.00   59.00     4  qrail-cli
[2020-01-30 07:29:22] 07:29:22    20001     22891   92.00    5.00    0.00    0.00   97.00    12  qrail-cli
[2020-01-30 07:29:23] 07:29:23    20001     22891   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:29:24] 07:29:24    20001     22891   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:29:25] 07:29:25    20001     22891   98.00    2.00    0.00    1.00  100.00    12  qrail-cli
[2020-01-30 07:29:26] 07:29:26    20001     22891   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 07:29:27] 07:29:27    20001     22891    9.00    0.00    0.00    0.00    9.00    12  qrail-cli
[2020-01-30 07:29:28] 07:29:28    20001     22891    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 07:29:29] 07:29:29    20001     22891    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 07:29:30] 07:29:30    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:31] 07:29:31    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:32] 07:29:32    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:33] 07:29:33    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:34] 07:29:34    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:35] 07:29:35    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:36] 07:29:36    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:37] 07:29:37    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:38] 07:29:38    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:39] 07:29:39    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:40] 07:29:40    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:41] 07:29:41    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:42] 07:29:42    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:43] 07:29:43    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:44] 07:29:44    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:45] 07:29:45    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:46] 07:29:46    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:47] 07:29:47    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:48] 07:29:48    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:49] 07:29:49    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:50] 07:29:50    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:29:51] 07:29:51    20001     22891   59.00    1.00    0.00    0.00   60.00     4  qrail-cli
[2020-01-30 07:29:52] 07:29:52    20001     22891   96.00    3.00    0.00    0.00   99.00     4  qrail-cli
[2020-01-30 07:29:53] 07:29:53    20001     22891   77.00    2.00    0.00    0.00   79.00     4  qrail-cli
[2020-01-30 07:29:54] 07:29:54    20001     22891   91.00    1.00    0.00    0.00   92.00     4  qrail-cli
[2020-01-30 07:29:55] 07:29:55    20001     22891   98.00    1.00    0.00    0.00   99.00     4  qrail-cli
[2020-01-30 07:29:56] 07:29:56    20001     22891   98.00    2.00    0.00    0.00  100.00     4  qrail-cli
[2020-01-30 07:29:57] 07:29:57    20001     22891   66.00    0.00    0.00    0.00   66.00     4  qrail-cli
[2020-01-30 07:29:58] 07:29:58    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:29:59] 07:29:59    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:00] 07:30:00    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:01] 07:30:01    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:02] 07:30:02    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:03] 07:30:03    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:04] 07:30:04    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:05] 07:30:05    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:06] 07:30:06    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:07] 07:30:07    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:08] 07:30:08    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:09] 07:30:09    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:10] 07:30:10    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:11] 07:30:11    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:12] 07:30:12    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:13] 07:30:13    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:14] 07:30:14    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:15] 07:30:15    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:16] 07:30:16    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:17] 07:30:17    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:18] 07:30:18    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:19] 07:30:19    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:20] 07:30:20    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:21] 07:30:21    20001     22891   59.00    2.00    0.00    0.00   61.00    12  qrail-cli
[2020-01-30 07:30:22] 07:30:22    20001     22891   95.00    2.00    0.00    0.00   97.00    12  qrail-cli
[2020-01-30 07:30:23] 07:30:23    20001     22891   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:30:24] 07:30:24    20001     22891  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 07:30:25] 07:30:25    20001     22891   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:30:26] 07:30:26    20001     22891   97.00    2.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 07:30:27] 07:30:27    20001     22891   60.00    1.00    0.00    0.00   61.00     4  qrail-cli
[2020-01-30 07:30:28] 07:30:28    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:29] 07:30:29    20001     22891    0.00    0.00    0.00    0.00    0.00     4  qrail-cli
[2020-01-30 07:30:30] 07:30:30    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:31] 07:30:31    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:32] 07:30:32    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:33] 07:30:33    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:34] 07:30:34    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:35] 07:30:35    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:36] 07:30:36    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:37] 07:30:37    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:38] 07:30:38    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:39] 07:30:39    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:40] 07:30:40    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:41] 07:30:41    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:42] 07:30:42    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:43] 07:30:43    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:44] 07:30:44    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:45] 07:30:45    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:46] 07:30:46    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:47] 07:30:47    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
[2020-01-30 07:30:48] 07:30:48    20001     22891    0.00    0.00    0.00    0.00    0.00     2  qrail-cli
