time(s),mem(%)
0,0.20
1,0.37
2,0.46
3,0.53
4,0.56
5,0.56
6,0.56
7,0.56
8,0.56
9,0.56
10,0.56
11,0.56
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.58
30,0.58
31,0.58
32,0.58
33,0.58
34,0.58
35,0.58
36,0.58
37,0.58
38,0.58
39,0.58
40,0.58
41,0.58
42,0.58
43,0.58
44,0.58
45,0.58
46,0.58
47,0.58
48,0.58
49,0.58
50,0.58
51,0.58
53,0.58
54,0.58
55,0.58
56,0.58
57,0.58
58,0.58
59,0.58
59,0.59
60,0.58
61,0.59
62,0.59
63,0.60
64,0.59
65,0.60
66,0.58
68,0.60
69,0.58
70,0.58
71,0.58
72,0.58
73,0.58
74,0.58
75,0.58
76,0.58
77,0.58
78,0.58
79,0.58
80,0.58
81,0.58
82,0.58
83,0.58
84,0.58
85,0.58
86,0.58
87,0.58
88,0.58
89,0.58
90,0.58
91,0.59
92,0.60
93,0.60
94,0.58
95,0.58
96,0.58
97,0.58
98,0.58
99,0.58
100,0.58
101,0.58
102,0.58
103,0.58
104,0.58
105,0.58
106,0.58
107,0.58
108,0.58
109,0.58
110,0.58
111,0.58
112,0.58
113,0.58
114,0.58
115,0.58
116,0.58
117,0.58
118,0.58
119,0.58
120,0.59
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.60
129,0.60
130,0.60
131,0.60
132,0.60
133,0.60
134,0.60
135,0.60
136,0.60
137,0.60
138,0.60
139,0.60
140,0.60
141,0.60
142,0.60
143,0.60
144,0.60
145,0.60
146,0.60
147,0.60
148,0.60
149,0.60
150,0.60
151,0.60
152,0.60
153,0.60
154,0.60
155,0.60
156,0.60
157,0.60
158,0.60
159,0.60
160,0.60
161,0.60
162,0.60
163,0.60
164,0.60
165,0.60
166,0.60
167,0.60
168,0.60
169,0.60
170,0.60
171,0.60
172,0.60
173,0.60
174,0.60
175,0.60
176,0.60
177,0.60
178,0.60
179,0.60
180,0.60
181,0.60
182,0.60
183,0.60
184,0.59
185,0.60
186,0.60
187,0.60
188,0.60
189,0.60
190,0.60
191,0.60
192,0.60
193,0.60
194,0.60
195,0.60
196,0.60
197,0.60
198,0.60
199,0.60
200,0.60
201,0.60
202,0.60
203,0.60
204,0.60
205,0.60
206,0.60
207,0.60
208,0.60
209,0.60
210,0.60
211,0.60
212,0.60
213,0.60
214,0.60
215,0.60
216,0.60
217,0.60
218,0.60
219,0.60
220,0.60
221,0.60
222,0.60
223,0.60
224,0.60
225,0.60
226,0.60
227,0.60
228,0.60
229,0.60
230,0.60
231,0.60
232,0.60
233,0.60
234,0.60
235,0.60
236,0.60
237,0.60
238,0.60
239,0.60
240,0.60
241,0.60
242,0.60
243,0.60
244,0.60
245,0.60
246,0.60
247,0.60
248,0.60
249,0.60
250,0.60
251,0.60
252,0.60
253,0.60
254,0.60
255,0.60
256,0.60
257,0.60
258,0.60
259,0.60
260,0.60
261,0.60
262,0.60
263,0.60
264,0.60
265,0.60
266,0.60
267,0.60
268,0.60
269,0.60
270,0.60
271,0.60
272,0.60
273,0.60
274,0.60
275,0.60
276,0.60
277,0.60
278,0.60
279,0.60
280,0.60
281,0.60
282,0.60
283,0.60
284,0.60
285,0.60
286,0.60
287,0.60
288,0.60
289,0.60
290,0.60
291,0.60
292,0.60
293,0.60
294,0.60
295,0.60
296,0.60
297,0.60
298,0.60
299,0.60
300,0.60
301,0.60
302,0.60
303,0.60
