[2020-02-01 10:46:46] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	02/01/20 	_x86_64_	(16 CPU)
[2020-02-01 10:46:47] 
[2020-02-01 10:46:47] 10:46:46      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-02-01 10:46:47] 10:46:47    20001     25243   1897.00      0.00  429628   22884   0.19  qrail-cli
[2020-02-01 10:46:48] 10:46:48    20001     25243  11807.00      0.00  451804   46024   0.37  qrail-cli
[2020-02-01 10:46:49] 10:46:49    20001     25243   3708.00      0.00  463024   57224   0.47  qrail-cli
[2020-02-01 10:46:50] 10:46:50    20001     25243   3019.00      0.00  471896   66160   0.54  qrail-cli
[2020-02-01 10:46:51] 10:46:51    20001     25243   6559.00      0.00  480668   73532   0.60  qrail-cli
[2020-02-01 10:46:52] 10:46:52    20001     25243  16290.00      0.00  480100   72880   0.59  qrail-cli
[2020-02-01 10:46:53] 10:46:53    20001     25243  12984.00      0.00  479816   73800   0.60  qrail-cli
[2020-02-01 10:46:54] 10:46:54    20001     25243  13537.00      0.00  479600   72892   0.59  qrail-cli
[2020-02-01 10:46:55] 10:46:55    20001     25243  11047.00      0.00  477956   72236   0.59  qrail-cli
[2020-02-01 10:46:56] 10:46:56    20001     25243  15034.00      0.00  480276   73292   0.60  qrail-cli
[2020-02-01 10:46:57] 10:46:57    20001     25243  11155.00      0.00  477956   72240   0.59  qrail-cli
[2020-02-01 10:46:58] 10:46:58    20001     25243  10954.00      0.00  480064   73164   0.60  qrail-cli
[2020-02-01 10:46:59] 10:46:59    20001     25243  11310.00      0.00  477964   72252   0.59  qrail-cli
[2020-02-01 10:47:00] 10:47:00    20001     25243   2895.00      0.00  477964   72252   0.59  qrail-cli
[2020-02-01 10:47:01] 10:47:01    20001     25243      0.00      0.00  477964   72252   0.59  qrail-cli
[2020-02-01 10:47:02] 10:47:02    20001     25243      0.00      0.00  477964   72252   0.59  qrail-cli
[2020-02-01 10:47:03] 10:47:03    20001     25243      0.00      0.00  477964   72252   0.59  qrail-cli
[2020-02-01 10:47:04] 10:47:04    20001     25243      0.00      0.00  477964   72252   0.59  qrail-cli
[2020-02-01 10:47:05] 10:47:05    20001     25243      0.00      0.00  477964   72252   0.59  qrail-cli
[2020-02-01 10:47:06] 10:47:06    20001     25243      0.00      0.00  477964   72252   0.59  qrail-cli
