time(s),mem(%)
0,0.15
1,0.28
2,0.38
3,0.44
4,0.49
5,0.55
6,0.56
7,0.56
8,0.56
9,0.56
10,0.56
11,0.56
12,0.56
13,0.56
14,0.56
15,0.56
16,0.56
17,0.56
18,0.56
19,0.56
20,0.56
21,0.56
22,0.56
23,0.56
24,0.56
25,0.56
26,0.56
27,0.56
28,0.56
29,0.56
30,0.56
31,0.57
32,0.57
33,0.60
34,0.60
35,0.60
36,0.57
37,0.57
38,0.57
39,0.57
40,0.57
41,0.57
42,0.57
43,0.57
44,0.57
45,0.57
46,0.57
47,0.57
48,0.57
49,0.57
50,0.57
51,0.57
52,0.57
53,0.57
54,0.57
55,0.57
56,0.57
57,0.57
58,0.57
59,0.57
60,0.57
61,0.60
62,0.60
63,0.59
64,0.61
65,0.60
66,0.59
67,0.59
68,0.59
69,0.59
70,0.59
71,0.59
72,0.59
73,0.59
74,0.59
75,0.59
76,0.59
77,0.59
78,0.59
79,0.59
80,0.59
81,0.59
82,0.59
83,0.59
84,0.59
85,0.59
86,0.59
87,0.59
88,0.59
89,0.59
90,0.59
91,0.61
92,0.61
93,0.62
94,0.61
95,0.63
96,0.63
97,0.61
98,0.61
99,0.61
100,0.61
101,0.61
102,0.61
103,0.61
104,0.61
105,0.61
106,0.61
107,0.61
108,0.61
109,0.61
110,0.61
111,0.61
112,0.61
113,0.61
114,0.61
115,0.61
116,0.61
117,0.61
118,0.61
119,0.61
120,0.61
121,0.63
122,0.62
123,0.64
124,0.65
125,0.65
126,0.65
127,0.63
128,0.63
129,0.63
130,0.63
131,0.63
132,0.63
133,0.63
134,0.63
135,0.63
136,0.63
137,0.63
138,0.63
139,0.63
140,0.63
141,0.63
142,0.63
143,0.63
144,0.63
145,0.63
146,0.63
147,0.63
148,0.63
149,0.63
150,0.63
151,0.65
152,0.64
153,0.66
154,0.66
155,0.66
156,0.66
157,0.65
158,0.65
159,0.65
160,0.65
161,0.65
162,0.65
163,0.65
164,0.65
165,0.65
166,0.65
167,0.65
168,0.65
169,0.65
170,0.65
171,0.65
172,0.65
173,0.65
174,0.65
175,0.65
176,0.65
177,0.65
178,0.65
179,0.65
180,0.65
181,0.66
182,0.66
183,0.68
184,0.68
185,0.68
186,0.68
187,0.66
188,0.66
189,0.66
190,0.66
191,0.66
192,0.66
193,0.66
194,0.66
195,0.66
196,0.66
197,0.66
198,0.66
199,0.66
200,0.66
201,0.66
202,0.66
203,0.66
204,0.66
205,0.66
206,0.66
207,0.66
208,0.66
209,0.66
210,0.66
211,0.68
212,0.67
213,0.69
214,0.68
215,0.70
216,0.70
217,0.68
218,0.68
219,0.68
220,0.68
221,0.68
222,0.68
223,0.68
224,0.68
225,0.68
226,0.68
227,0.68
228,0.68
229,0.68
230,0.68
231,0.68
232,0.68
233,0.68
234,0.68
235,0.68
236,0.68
237,0.68
238,0.68
239,0.68
240,0.68
241,0.70
242,0.69
243,0.70
244,0.70
245,0.71
246,0.71
247,0.70
248,0.70
249,0.70
250,0.70
251,0.70
252,0.70
253,0.70
254,0.70
255,0.70
256,0.70
257,0.70
258,0.70
259,0.70
260,0.70
261,0.70
262,0.70
263,0.70
264,0.70
265,0.70
266,0.70
267,0.70
268,0.70
269,0.70
270,0.70
271,0.71
272,0.71
273,0.71
274,0.71
275,0.72
276,0.72
277,0.71
278,0.71
279,0.71
280,0.71
281,0.71
282,0.71
283,0.71
284,0.71
285,0.71
286,0.71
287,0.71
288,0.71
289,0.71
290,0.71
291,0.71
292,0.71
293,0.71
294,0.71
295,0.71
296,0.71
297,0.71
298,0.71
299,0.71
300,0.71
301,0.72
302,0.73
303,0.72
304,0.74
305,0.73
306,0.74
307,0.74
308,0.73
309,0.73
310,0.73
311,0.73
312,0.73
313,0.73
314,0.73
315,0.73
316,0.73
317,0.73
318,0.73
319,0.73
320,0.73
321,0.73
322,0.73
323,0.73
324,0.73
325,0.73
326,0.73
327,0.73
328,0.73
329,0.73
330,0.73
331,0.74
332,0.74
333,0.74
334,0.75
335,0.75
336,0.75
337,0.75
338,0.75
339,0.75
340,0.75
341,0.75
342,0.75
343,0.75
344,0.75
345,0.75
346,0.75
347,0.75
348,0.75
349,0.75
350,0.75
351,0.75
352,0.75
353,0.75
354,0.75
355,0.75
356,0.75
357,0.75
358,0.75
359,0.75
360,0.75
361,0.76
362,0.76
363,0.76
364,0.77
365,0.77
366,0.77
367,0.77
368,0.77
369,0.77
370,0.77
371,0.77
372,0.77
373,0.77
374,0.77
375,0.77
376,0.77
377,0.77
378,0.77
379,0.77
380,0.77
381,0.77
382,0.77
383,0.77
384,0.77
385,0.77
386,0.77
387,0.77
388,0.77
389,0.77
390,0.77
391,0.77
392,0.78
393,0.78
394,0.78
395,0.79
396,0.79
397,0.78
398,0.78
399,0.78
400,0.78
401,0.78
402,0.78
403,0.78
404,0.78
405,0.78
406,0.78
407,0.78
408,0.78
409,0.78
410,0.78
411,0.78
412,0.78
413,0.78
414,0.78
415,0.78
416,0.78
417,0.78
418,0.78
419,0.78
420,0.78
421,0.79
422,0.79
423,0.80
424,0.80
425,0.80
426,0.80
427,0.80
428,0.80
429,0.80
430,0.80
431,0.80
432,0.80
433,0.80
434,0.80
435,0.80
436,0.80
437,0.80
438,0.80
439,0.80
440,0.80
441,0.80
442,0.80
443,0.80
444,0.80
445,0.80
446,0.80
447,0.80
448,0.80
449,0.80
450,0.80
451,0.81
452,0.82
453,0.81
454,0.82
455,0.82
456,0.82
457,0.82
458,0.82
459,0.82
460,0.82
461,0.82
462,0.82
463,0.82
464,0.82
465,0.82
466,0.82
467,0.82
468,0.82
469,0.82
470,0.82
471,0.82
472,0.82
473,0.82
474,0.82
475,0.82
476,0.82
477,0.82
478,0.82
479,0.82
480,0.82
481,0.83
482,0.83
483,0.83
484,0.83
485,0.84
486,0.84
487,0.84
488,0.84
489,0.84
490,0.84
491,0.84
492,0.84
493,0.84
494,0.84
495,0.84
496,0.84
497,0.84
498,0.84
499,0.84
500,0.84
501,0.84
502,0.84
503,0.84
504,0.84
505,0.84
506,0.84
507,0.84
508,0.84
509,0.84
510,0.84
511,0.84
512,0.84
513,0.85
514,0.86
515,0.85
516,0.85
517,0.86
518,0.85
519,0.85
520,0.85
521,0.85
522,0.85
523,0.85
524,0.85
525,0.85
526,0.85
527,0.85
528,0.85
529,0.85
530,0.85
531,0.85
532,0.85
533,0.85
534,0.85
535,0.85
536,0.85
537,0.85
538,0.85
539,0.85
540,0.85
541,0.86
542,0.86
543,0.87
544,0.87
545,0.87
546,0.87
547,0.87
548,0.87
549,0.87
550,0.87
551,0.87
552,0.87
553,0.87
554,0.87
555,0.87
556,0.87
557,0.87
558,0.87
559,0.87
560,0.87
561,0.87
562,0.87
563,0.87
564,0.87
565,0.87
566,0.87
567,0.87
568,0.87
569,0.87
570,0.87
571,0.88
572,0.88
573,0.88
574,0.88
575,0.89
576,0.89
577,0.89
578,0.89
579,0.89
580,0.89
581,0.89
582,0.89
583,0.89
584,0.89
585,0.89
586,0.89
587,0.89
588,0.89
589,0.89
590,0.89
591,0.89
592,0.89
593,0.89
594,0.89
595,0.89
596,0.89
597,0.89
598,0.89
599,0.89
600,0.89
601,0.89
602,0.90
603,0.90
604,0.91
605,0.91
606,0.91
607,0.91
608,0.90
609,0.90
610,0.90
611,0.90
612,0.90
613,0.90
614,0.90
615,0.90
616,0.90
617,0.90
618,0.90
619,0.90
620,0.90
621,0.90
622,0.90
623,0.90
624,0.90
625,0.90
626,0.90
627,0.90
628,0.90
629,0.90
630,0.90
631,0.91
632,0.93
633,0.92
634,0.91
635,0.92
636,0.93
637,0.92
638,0.92
639,0.92
640,0.92
641,0.92
642,0.92
643,0.92
644,0.92
645,0.92
646,0.92
647,0.92
648,0.92
649,0.92
650,0.92
651,0.92
652,0.92
653,0.92
654,0.92
655,0.92
656,0.92
657,0.92
658,0.92
659,0.92
660,0.92
661,0.93
662,0.93
663,0.93
664,0.93
665,0.94
666,0.94
667,0.94
668,0.94
669,0.94
670,0.94
671,0.94
672,0.94
673,0.94
674,0.94
675,0.94
676,0.94
677,0.94
678,0.94
679,0.94
680,0.94
681,0.94
682,0.94
683,0.94
684,0.94
685,0.94
686,0.94
687,0.94
688,0.94
689,0.94
690,0.94
691,0.95
692,0.95
693,0.95
694,0.95
695,0.96
696,0.96
697,0.96
698,0.96
699,0.96
700,0.96
701,0.96
702,0.96
703,0.96
704,0.96
705,0.96
706,0.96
707,0.96
708,0.96
709,0.96
710,0.96
711,0.96
712,0.96
713,0.96
714,0.96
715,0.96
716,0.96
717,0.96
718,0.96
719,0.96
720,0.96
721,0.96
722,0.97
723,0.97
724,0.97
725,0.98
726,0.98
727,0.98
728,0.97
729,0.97
730,0.97
731,0.97
732,0.97
733,0.97
734,0.97
735,0.97
736,0.97
737,0.97
738,0.97
739,0.97
740,0.97
741,0.97
742,0.97
743,0.97
744,0.97
745,0.97
747,0.97
748,0.97
749,0.97
750,0.97
751,0.97
752,0.98
753,0.99
754,0.98
755,0.99
756,0.99
757,0.99
758,0.99
759,0.99
760,0.99
761,0.99
762,0.99
763,0.99
764,0.99
765,0.99
766,0.99
767,0.99
768,0.99
769,0.99
770,0.99
771,0.99
772,0.99
773,0.99
774,0.99
775,0.99
776,0.99
777,0.99
778,0.99
779,0.99
780,0.99
781,0.99
782,1.00
783,1.00
784,1.00
785,1.01
786,1.02
787,1.00
788,1.01
789,1.01
790,1.01
791,1.01
792,1.01
793,1.01
794,1.01
795,1.01
796,1.01
797,1.01
798,1.01
799,1.01
800,1.01
801,1.01
802,1.01
803,1.01
804,1.01
805,1.01
806,1.01
807,1.01
808,1.01
809,1.01
810,1.01
811,1.01
812,1.02
813,1.02
814,1.02
815,1.02
816,1.04
817,1.02
818,1.03
819,1.02
820,1.02
821,1.02
822,1.02
823,1.02
824,1.02
825,1.02
826,1.02
827,1.02
828,1.02
829,1.02
830,1.02
831,1.02
832,1.02
833,1.02
834,1.02
835,1.02
836,1.02
837,1.02
838,1.02
839,1.02
840,1.02
841,1.02
842,1.03
843,1.04
844,1.04
845,1.03
846,1.04
847,1.04
848,1.05
849,1.04
850,1.04
851,1.04
852,1.04
853,1.04
854,1.04
855,1.04
856,1.04
857,1.04
858,1.04
859,1.04
860,1.04
861,1.04
862,1.04
863,1.04
864,1.04
865,1.04
866,1.04
867,1.04
868,1.04
869,1.04
870,1.04
871,1.04
872,1.05
873,1.05
874,1.05
875,1.05
876,1.06
877,1.06
878,1.06
879,1.06
880,1.06
881,1.06
882,1.06
883,1.06
884,1.06
885,1.06
886,1.06
887,1.06
888,1.06
889,1.06
890,1.06
891,1.06
892,1.06
893,1.06
894,1.06
895,1.06
896,1.06
897,1.06
898,1.06
899,1.06
900,1.06
901,1.06
902,1.05
903,1.07
904,1.07
905,1.06
906,1.08
907,1.06
908,1.08
909,1.08
910,1.08
911,1.08
912,1.08
913,1.08
914,1.08
915,1.08
916,1.08
917,1.08
918,1.08
919,1.08
920,1.08
921,1.08
922,1.08
923,1.08
924,1.08
925,1.08
926,1.08
927,1.08
928,1.08
929,1.08
930,1.08
931,1.08
932,1.06
933,1.09
934,1.09
935,1.09
936,1.10
937,1.09
938,1.10
939,1.09
940,1.09
941,1.09
