[2020-01-31 11:26:43] Linux 4.15.0-72-generic (node0.sharedlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 11:26:44] 
[2020-01-31 11:26:44] 11:26:43      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-31 11:26:44] 11:26:44    20001     17561   1777.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:45] 11:26:45    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:46] 11:26:46    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:47] 11:26:47    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:48] 11:26:48    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:49] 11:26:49    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:50] 11:26:50    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:51] 11:26:51    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:52] 11:26:52    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:53] 11:26:53    20001     17561      1.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:54] 11:26:54    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:55] 11:26:55    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:56] 11:26:56    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:57] 11:26:57    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:58] 11:26:58    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:26:59] 11:26:59    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:00] 11:27:00    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:01] 11:27:01    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:02] 11:27:02    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:03] 11:27:03    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:04] 11:27:04    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:05] 11:27:05    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:06] 11:27:06    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:07] 11:27:07    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
[2020-01-31 11:27:08] 11:27:08    20001     17561      0.00      0.00  429384   21236   0.17  qrail-cli
