time(s),total_rx(bytes)
0,0
1,1069
2,1069
3,1069
4,1069
5,1069
7,1069
8,1069
9,1069
10,1069
11,1069
12,1069
13,1069
14,1069
15,1069
16,1069
17,1069
18,1069
19,1069
20,1069
21,1069
22,1069
23,1069
24,1069
25,1069
26,1069
27,1069
28,1069
29,1069
31,2020
32,2020
33,2020
34,2020
35,2020
36,2062
37,2062
38,2062
39,2062
40,2062
41,2062
42,2062
43,2062
44,2062
45,2062
46,2062
47,2062
48,2062
49,2062
50,2062
51,2062
52,2062
53,2062
54,2062
56,2062
57,2062
58,2062
59,2062
60,2062
61,2947
62,2947
63,2947
64,2947
65,2947
66,2947
67,2947
68,2947
69,2947
70,2947
71,2947
72,2947
73,2947
74,2947
75,2947
76,2947
77,2947
78,2947
80,2947
81,2947
82,2947
83,2947
84,2947
85,2947
86,2947
87,2947
88,2947
89,2947
90,3964
91,3964
92,3964
93,3964
94,3964
95,4006
96,4006
97,4006
98,4006
99,4006
100,4006
101,4006
102,4006
103,4006
105,4006
106,4006
107,4006
108,4006
109,4006
110,4006
111,4006
112,4006
113,4006
114,4006
115,4006
116,4006
117,4006
118,4006
119,4006
120,5023
121,5023
122,5023
123,5023
124,5023
125,5023
126,5023
127,5023
129,5023
130,5023
131,5023
132,5023
133,5023
134,5023
135,5023
136,5023
137,5023
138,5023
139,5023
140,5023
141,5023
142,5023
143,5023
144,5023
145,5023
146,5023
147,5023
148,5023
149,5023
150,6040
151,6040
152,6040
154,6040
155,6040
156,6040
157,6040
158,6040
159,6040
160,6040
161,6040
162,6040
163,6040
164,6040
165,6040
166,6040
167,6040
168,6040
169,6040
170,6040
171,6040
172,6040
173,6040
174,6040
175,6040
176,6040
177,6040
179,6040
180,6040
181,7321
182,7321
183,7321
184,7321
185,7321
186,7321
187,7321
188,7321
189,7321
190,7321
191,7321
192,7321
193,7321
194,7321
195,7321
196,7321
197,7321
198,7321
199,7321
200,7321
201,7321
203,7321
204,7321
205,7321
206,7321
207,7321
208,7321
209,7321
210,7321
211,8404
212,8404
213,8404
214,8404
215,8404
216,8404
217,8404
218,8404
219,8404
220,8404
221,8404
222,8404
223,8404
224,8404
225,8404
226,8404
228,8404
229,8404
230,8404
231,8404
232,8404
233,8404
234,8404
235,8404
236,8404
237,8404
238,8404
239,8404
240,9487
241,9487
242,9487
243,9487
244,9487
245,9487
246,9487
247,9487
248,9487
249,9487
250,9487
251,9487
253,9487
254,9487
255,9487
256,9487
257,9487
258,9487
259,9487
260,9487
261,9487
262,9487
263,9487
264,9487
265,9487
266,9487
267,9487
268,9487
269,9487
270,10702
271,10702
272,10702
273,10702
274,10702
275,10702
277,10702
278,10702
279,10702
280,10702
281,10702
282,10702
283,10702
284,10702
285,10702
286,10702
287,10702
288,10702
289,10702
290,10702
291,10702
292,10702
293,10702
294,10702
295,10702
296,10702
297,10702
298,10702
299,10702
300,11785
302,11785
303,11785
304,11785
305,11785
306,11785
307,11785
308,11785
309,11785
310,11785
311,11785
312,11785
313,11785
314,11785
315,11785
316,11785
317,11785
318,11785
319,11785
320,11785
321,11785
322,11785
323,11785
324,11785
326,11785
327,11785
328,11785
329,11785
330,11785
331,12802
332,12802
333,12802
334,12802
335,12802
336,12802
337,12802
338,12802
339,12802
340,12802
341,12802
342,12802
343,12802
344,12802
345,12802
346,12802
347,12802
348,12802
349,12802
351,12802
352,12802
353,12802
354,12802
355,12802
356,12802
357,12802
358,12802
359,12802
360,13159
361,13819
362,13819
363,13819
364,13819
365,13819
366,13819
367,13819
368,13819
369,13819
370,13819
371,13819
372,13819
373,13819
375,13819
376,13819
377,13819
378,13819
379,13819
380,13819
381,13819
382,13819
383,13819
384,13819
385,13819
386,13819
387,13819
388,13819
389,13819
390,15034
391,15034
392,15034
393,15034
394,15034
395,15034
396,15034
397,15034
398,15034
400,15034
401,15034
402,15034
403,15034
404,15034
405,15034
406,15034
407,15034
408,15034
409,15034
410,15034
411,15034
412,15034
413,15034
414,15034
415,15034
416,15034
417,15034
418,15034
419,15034
420,15919
421,15919
422,15919
423,15919
425,15919
426,15919
427,15919
428,15919
429,15919
430,15919
431,15919
432,15919
433,15919
434,15919
435,15919
436,15919
437,15919
438,15919
439,15919
440,15919
441,15919
442,15919
443,15919
444,15919
445,15919
446,15919
447,15919
449,15919
450,15919
451,16870
452,16870
453,16870
454,16870
455,16870
456,16870
457,16870
458,16870
459,16870
460,16870
461,16870
462,16870
463,16870
464,16870
465,16870
466,16870
467,16870
468,16870
469,16870
470,16870
471,16870
472,16870
474,16870
475,16870
476,16870
477,16870
478,16870
479,16870
480,16870
481,17887
482,17887
483,17887
484,17887
485,17887
486,17887
487,17887
488,17887
489,17887
490,17887
491,17887
492,17887
493,17887
494,17887
495,17887
496,17887
498,17887
499,17887
500,17887
501,17887
502,17887
503,17887
504,17887
505,17887
506,17887
507,17887
508,17887
509,17887
510,18904
511,18904
512,18904
513,18904
514,18904
515,18904
516,18904
517,18904
518,18904
519,18904
520,18904
521,18904
523,18904
524,18904
525,18904
526,18904
527,18904
528,18904
529,18904
530,18904
531,18904
532,18904
533,18904
534,18904
535,18904
536,18904
537,18904
538,18904
539,18904
540,19789
541,19789
542,19789
543,19789
544,19789
545,19789
547,19789
548,19789
549,19789
550,19789
551,19789
552,19789
553,19789
554,19789
555,19789
556,19789
557,19789
558,19789
559,19789
560,19789
561,19789
562,19789
563,19789
564,19789
565,19789
566,19789
567,19789
568,19789
569,19789
570,20872
572,20872
573,20872
574,20872
575,20872
576,20872
577,20872
578,20872
579,20872
580,20872
581,20872
582,20872
583,20872
584,20872
585,20872
586,20872
587,20872
588,20872
589,20872
590,20872
591,20872
592,20872
593,20872
594,20872
596,20872
597,20872
598,20872
599,20872
600,20872
601,21559
602,21559
603,21559
604,21559
605,21559
606,21559
607,21559
608,21559
609,21559
610,21559
611,21559
612,21559
613,21559
614,21559
615,21559
616,21559
617,21559
618,21559
619,21559
621,21559
622,21559
623,21559
624,21559
625,21559
626,21559
627,21559
628,21559
629,21559
630,22245
631,22245
632,22245
633,22245
634,22245
635,22245
636,22245
637,22245
638,22245
639,22245
640,22245
641,22245
642,22245
643,22245
645,22245
646,22245
647,22245
648,22245
649,22245
650,22245
651,22245
652,22245
653,22245
654,22245
655,22245
656,22245
657,22245
658,22245
659,22245
660,23261
661,23261
662,23261
663,23261
664,23261
665,23261
666,23261
667,23261
668,23261
670,23261
671,23261
672,23261
673,23261
674,23261
675,23261
676,23261
677,23261
678,23261
679,23261
680,23261
681,23261
682,23261
683,23261
684,23261
685,23261
686,23261
687,23261
688,23261
689,23261
690,24476
691,24476
692,24476
694,24476
695,24476
696,24476
697,24476
698,24476
699,24476
700,24476
701,24476
702,24476
703,24476
704,24476
705,24476
706,24476
707,24476
708,24476
709,24476
710,24476
711,24476
712,24476
713,24476
714,24476
715,24476
716,24476
717,24476
719,24476
720,24476
721,25625
722,25625
723,25625
724,25625
725,25625
726,25625
727,25625
728,25625
729,25625
730,25625
731,25625
732,25625
733,25625
734,25625
735,25625
736,25625
737,25625
738,25625
739,25625
740,25625
741,25625
743,25625
744,25625
745,25625
746,25625
747,25625
748,25625
749,25625
750,25625
751,26510
752,26510
753,26510
754,26510
755,26510
756,26510
757,26510
758,26510
759,26510
760,26510
761,26510
