time(s),total_tx(bytes)
0,0
1,929
2,929
3,929
4,929
5,929
7,929
8,929
9,929
10,929
11,929
12,929
13,929
14,929
15,929
16,929
17,929
18,929
19,929
20,929
21,929
22,929
23,929
24,929
25,929
26,929
27,929
28,929
29,929
31,86060
32,86060
33,86060
34,86060
35,86060
36,86120
37,86120
38,86120
39,86120
40,86120
41,86120
42,86120
43,86120
44,86120
45,86120
46,86120
47,86120
48,86120
49,86120
50,86120
51,86120
52,86120
53,86120
54,86120
56,86120
57,86120
58,86120
59,86120
60,86120
61,161253
62,161253
63,161253
64,161253
65,161253
66,161253
67,161253
68,161253
69,161253
70,161253
71,161253
72,161253
73,161253
74,161253
75,161253
76,161253
77,161253
78,161253
80,161253
81,161253
82,161253
83,161253
84,161253
85,161253
86,161253
87,161253
88,161253
89,161253
90,275722
91,275722
92,275722
93,275722
94,275722
95,275782
96,275782
97,275782
98,275782
99,275782
100,275782
101,275782
102,275782
103,275782
105,275782
106,275782
107,275782
108,275782
109,275782
110,275782
111,275782
112,275782
113,275782
114,275782
115,275782
116,275782
117,275782
118,275782
119,275782
120,388565
121,388565
122,388565
123,388565
124,388565
125,388565
126,388565
127,388565
129,388565
130,388565
131,388565
132,388565
133,388565
134,388565
135,388565
136,388565
137,388565
138,388565
139,388565
140,388565
141,388565
142,388565
143,388565
144,388565
145,388565
146,388565
147,388565
148,388565
149,388565
150,499732
151,499732
152,499732
154,499732
155,499732
156,499732
157,499732
158,499732
159,499732
160,499732
161,499732
162,499732
163,499732
164,499732
165,499732
166,499732
167,499732
168,499732
169,499732
170,499732
171,499732
172,499732
173,499732
174,499732
175,499732
176,499732
177,499732
179,499732
180,499732
181,651789
182,651789
183,651789
184,651789
185,651789
186,651789
187,651789
188,651789
189,651789
190,651789
191,651789
192,651789
193,651789
194,651789
195,651789
196,651789
197,651789
198,651789
199,651789
200,651789
201,651789
203,651789
204,651789
205,651789
206,651789
207,651789
208,651789
209,651789
210,651789
211,768361
212,768361
213,768361
214,768361
215,768361
216,768361
217,768361
218,768361
219,768361
220,768361
221,768361
222,768361
223,768361
224,768361
225,768361
226,768361
228,768361
229,768361
230,768361
231,768361
232,768361
233,768361
234,768361
235,768361
236,768361
237,768361
238,768361
239,768361
240,907696
241,907696
242,907696
243,907696
244,907696
245,907696
246,907696
247,907696
248,907696
249,907696
250,907696
251,907696
253,907696
254,907696
255,907696
256,907696
257,907696
258,907696
259,907696
260,907696
261,907696
262,907696
263,907696
264,907696
265,907696
266,907696
267,907696
268,907696
269,907696
270,1094501
271,1094501
272,1094501
273,1094501
274,1094501
275,1094501
277,1094501
278,1094501
279,1094501
280,1094501
281,1094501
282,1094501
283,1094501
284,1094501
285,1094501
286,1094501
287,1094501
288,1094501
289,1094501
290,1094501
291,1094501
292,1094501
293,1094501
294,1094501
295,1094501
296,1094501
297,1094501
298,1094501
299,1094501
300,1232864
302,1232864
303,1232864
304,1232864
305,1232864
306,1232864
307,1232864
308,1232864
309,1232864
310,1232864
311,1232864
