time(s),total_rx(bytes)
0,0
1,1072
2,1072
3,1072
4,1072
5,1072
6,1138
7,1138
8,1138
9,1138
10,1138
11,1204
12,1204
13,1204
14,1204
15,1204
16,1270
18,1270
19,1270
20,1270
21,1270
22,1336
23,1336
24,1336
25,1336
26,1402
27,1402
28,1732
29,1732
30,1732
31,1798
32,1840
33,1840
34,1840
35,1840
36,1906
37,1906
38,1906
39,1906
40,1906
41,1972
43,1972
44,1972
45,1972
46,1972
47,2038
48,2038
49,2038
50,2038
51,2104
52,2104
53,2104
54,2104
55,2104
56,2170
57,2896
58,2896
59,2896
60,2896
61,3004
62,3004
63,3004
64,3004
65,3004
67,3136
68,3136
69,3136
70,3136
71,3136
72,3202
73,3202
74,3202
75,3202
76,3268
77,3268
78,3268
79,3268
80,3268
81,3334
82,3334
83,3334
84,3334
85,3334
86,3400
87,3994
88,3994
89,3994
90,3994
92,4102
93,4102
94,4102
95,4102
96,4102
97,4168
98,4168
99,4168
100,4168
101,4234
102,4234
103,4234
104,4234
105,4234
106,4300
107,4300
108,4300
109,4300
110,4300
111,4366
112,4366
113,4366
114,4366
116,4366
117,4432
118,5158
119,5158
120,5158
121,5158
122,5266
123,5266
124,5266
125,5266
126,5332
127,5332
128,5332
129,5332
130,5332
131,5398
132,5398
133,5398
134,5398
135,5398
136,5464
137,5464
138,5464
139,5464
141,5464
142,5530
143,5530
144,5530
145,5530
146,5530
147,5596
148,6124
149,6124
150,6124
151,6232
152,6232
153,6232
154,6232
155,6232
156,6298
157,6298
158,6298
159,6298
160,6298
161,6364
162,6364
163,6364
164,6364
166,6364
167,6430
168,6430
169,6430
170,6430
171,6430
172,6496
173,6496
174,6496
175,6496
176,6562
177,7354
178,7354
179,7354
180,7354
181,7462
182,7462
183,7462
184,7462
185,7462
186,7528
187,7528
188,7528
190,7528
191,7528
192,7594
193,7594
194,7594
195,7594
196,7594
197,7660
198,7660
199,7660
200,7660
201,7726
202,7726
203,7726
204,7726
205,7726
206,7792
207,8452
208,8452
209,8452
210,8452
211,8560
212,8560
213,8560
215,8560
216,8560
217,8626
218,8626
219,8626
220,8626
221,8626
222,8692
223,8692
224,8692
225,8692
226,8758
227,8758
228,8758
229,8758
230,8758
231,8824
232,8824
233,8824
234,8824
235,8824
236,8890
237,9616
238,9616
240,9616
241,9616
242,9724
243,9724
244,9724
245,9724
246,9724
247,9790
248,9790
249,9790
250,9790
251,9856
252,9856
253,9856
254,9856
255,9856
256,9922
257,9922
258,9922
259,9922
260,9922
261,9988
262,9988
264,9988
265,9988
266,9988
267,10054
268,10648
269,10648
270,10648
271,10648
272,10714
273,10714
274,10714
275,10714
276,10780
277,10780
278,10780
279,10780
280,10780
281,10846
282,10846
283,10846
284,10846
285,10846
286,10954
287,10954
289,10954
290,10954
291,10954
292,11020
293,11020
294,11020
295,11020
296,11020
297,11086
298,11680
299,11680
300,11680
301,11746
302,11746
303,11746
304,11746
305,11746
306,11812
307,11812
308,11812
309,11812
310,11812
311,11878
313,11878
314,11878
315,11878
316,11878
317,11944
318,11944
319,11944
320,11944
321,11944
322,12010
323,12010
324,12010
325,12010
326,12076
327,12604
328,12604
329,12604
330,12604
331,12670
332,12712
333,12712
334,12712
335,12712
336,12778
338,12778
339,12778
340,12778
341,12778
342,12844
343,12844
344,12844
345,12844
346,12844
347,12910
348,12910
349,12910
350,12910
351,12976
352,12976
353,12976
354,12976
355,12976
356,13042
357,13636
358,13636
359,13636
360,13636
361,13702
363,13702
364,13702
365,13702
366,13702
367,13768
368,13768
369,13768
370,13768
371,13768
372,13834
373,13834
374,13834
375,13834
376,13900
377,13900
378,13900
379,13900
380,13900
381,14008
382,14008
383,14008
384,14008
385,14008
387,14074
388,14734
389,14734
390,14734
391,14734
392,14800
393,14800
394,14800
395,14800
396,14866
397,14866
398,14866
399,14866
400,14866
401,14932
402,14932
403,14932
404,14932
405,14932
406,14998
407,14998
408,14998
409,14998
410,14998
412,15064
413,15064
414,15064
415,15064
416,15064
417,15130
418,16054
419,16054
420,16054
421,16120
422,16120
423,16120
424,16120
425,16120
426,16228
427,16228
428,16228
429,16228
430,16228
431,16294
432,16294
433,16294
434,16294
436,16294
437,16360
438,16360
439,16360
440,16360
441,16360
442,16426
443,16426
444,16426
445,16426
446,16492
447,17152
448,17152
449,17152
450,17152
451,17218
452,17218
453,17218
454,17218
455,17218
456,17284
457,17284
458,17284
459,17284
461,17284
462,17350
463,17350
464,17350
465,17350
466,17350
467,17416
468,17416
469,17416
470,17416
471,17482
472,17524
473,17524
474,17524
475,17524
476,17590
477,18316
478,18316
479,18316
480,18316
481,18382
482,18382
483,18382
485,18382
486,18382
487,18448
488,18448
489,18448
490,18448
491,18448
492,18514
493,18514
494,18514
495,18514
496,18580
497,18580
498,18580
499,18580
500,18580
501,18646
502,18646
503,18646
504,18646
505,18646
506,18712
507,19174
508,19174
510,19174
511,19174
512,19240
513,19240
514,19240
515,19240
516,19240
517,19348
518,19348
519,19348
520,19348
521,19414
522,19414
523,19414
524,19414
525,19414
526,19480
527,19480
528,19480
529,19480
530,19480
531,19546
532,19546
533,19546
535,19546
536,19546
537,19612
538,20074
539,20074
540,20074
541,20074
542,20140
543,20140
544,20140
545,20140
546,20206
547,20206
548,20206
549,20206
550,20206
551,20272
552,20272
553,20272
554,20272
555,20272
556,20338
557,20338
559,20338
560,20338
561,20338
562,20446
563,20446
564,20446
565,20446
566,20446
567,20512
568,21106
569,21106
570,21106
571,21172
572,21172
573,21172
574,21172
575,21172
576,21238
577,21238
578,21238
579,21238
580,21238
581,21304
582,21304
584,21304
585,21304
586,21304
587,21370
588,21370
589,21370
590,21370
591,21370
592,21436
593,21436
594,21436
595,21436
596,21502
597,22096
598,22096
599,22096
600,22096
601,22162
602,22162
603,22162
604,22162
605,22162
606,22270
608,22270
609,22270
610,22270
611,22270
612,22336
613,22336
614,22336
615,22336
616,22336
617,22402
618,22402
619,22402
620,22402
621,22468
622,22468
623,22468
624,22468
625,22468
626,22534
627,23062
628,23062
629,23062
630,23062
631,23128
633,23128
634,23128
635,23128
636,23128
637,23194
638,23194
639,23194
640,23194
641,23194
642,23260
643,23260
644,23260
645,23260
646,23368
647,23368
648,23368
649,23368
650,23368
651,23434
652,23434
653,23434
654,23434
655,23434
657,23500
658,24160
659,24160
660,24160
661,24160
662,24226
663,24226
664,24226
665,24226
666,24226
667,24292
668,24292
669,24292
670,24292
