time(s),total_rx(bytes)
0,0
1,2541
2,4719
3,4719
5,4719
6,4719
7,4719
8,4719
9,4719
10,4719
11,4719
12,4719
13,4719
14,4719
15,4719
16,4719
17,4719
18,4719
19,4719
20,4719
21,4719
22,4719
23,4719
24,4719
25,4719
26,4719
27,4719
28,4719
30,4719
31,4719
32,6171
33,6171
34,6171
35,6171
36,6171
37,6213
38,6213
39,6213
40,6213
41,6213
42,6213
43,6213
44,6213
45,6213
46,6213
47,6213
48,6213
49,6213
50,6213
51,6213
52,6213
54,6213
55,6213
56,6213
57,6213
58,6213
59,6213
60,6213
61,6213
62,7335
63,7335
64,7335
65,7335
66,7335
67,7401
68,7401
69,7401
70,7401
71,7401
72,7443
73,7443
74,7443
75,7443
76,7443
77,7443
79,7443
80,7443
81,7443
82,7443
83,7443
84,7443
85,7443
86,7443
87,7443
88,7443
89,7443
90,7443
91,8565
92,8565
93,8565
94,8565
95,8565
96,8565
97,8565
98,8565
99,8565
100,8565
101,8565
102,8565
104,8565
105,8565
106,8565
107,8565
108,8565
109,8565
110,8565
111,8565
112,8565
113,8565
114,8565
115,8565
116,8565
117,8565
118,8565
119,8565
120,8565
121,9423
122,9423
123,9423
124,9423
125,9423
126,9465
128,9465
129,9465
130,9465
131,9465
132,9465
133,9465
134,9465
135,9465
136,9465
137,9465
138,9465
139,9465
140,9465
141,9465
142,9465
143,9465
144,9465
145,9465
146,9465
147,9465
148,9465
149,9465
150,9465
151,10521
153,10521
154,10521
155,10521
156,10521
157,10521
158,10521
159,10521
160,10521
161,10521
162,10521
163,10521
164,10521
165,10521
166,10521
167,10521
168,10521
169,10521
170,10521
171,10521
172,10521
173,10521
174,10521
175,10521
176,10521
178,10521
179,10521
180,10521
181,10521
182,11181
183,11181
184,11181
185,11181
186,11181
187,11223
188,11223
189,11223
190,11223
191,11223
192,11223
193,11223
194,11223
195,11223
196,11223
197,11223
198,11223
199,11223
200,11223
202,11223
203,11223
204,11223
205,11223
206,11223
207,11223
208,11223
209,11223
210,11223
211,12279
212,12279
213,12279
214,12279
215,12279
216,12279
217,12279
218,12279
219,12279
220,12279
221,12279
222,12279
223,12279
224,12279
225,12279
227,12279
228,12279
229,12279
230,12279
231,12279
232,12279
233,12279
234,12279
235,12279
236,12279
237,12279
238,12279
239,12279
240,12279
241,13401
242,13401
243,13401
244,13401
245,13401
246,13443
247,13443
248,13443
249,13443
251,13443
252,13443
253,13443
254,13443
255,13443
256,13443
257,13443
258,13443
259,13443
260,13443
261,13443
262,13443
263,13443
264,13443
265,13443
266,13443
267,13443
268,13443
269,13443
270,13443
271,14697
272,14697
273,14697
274,14697
276,14697
277,14697
278,14697
279,14697
280,14697
281,14697
282,14697
283,14697
284,14697
285,14697
286,14697
287,14697
288,14697
289,14697
290,14697
291,14697
292,14697
293,14697
294,14697
295,14697
296,14697
297,14697
298,14697
299,14697
301,14697
302,15489
303,15489
304,15489
305,15489
306,15489
307,15531
308,15531
309,15531
310,15531
311,15531
312,15531
313,15531
314,15531
315,15531
316,15531
317,15531
318,15531
319,15531
320,15531
321,15531
322,15531
323,15531
325,15531
326,15531
327,15531
328,15531
329,15531
330,15531
331,15531
332,16785
333,16785
334,16785
335,16785
336,16827
337,16827
338,16827
339,16827
340,16827
341,16827
342,16827
343,16827
344,16827
345,16827
346,16827
347,16827
348,16827
350,16827
351,16827
352,16827
353,16827
354,16827
355,16827
356,16827
357,16827
358,16827
359,16827
360,16827
361,17883
362,17883
363,17883
364,17883
365,17883
366,17967
367,17967
368,17967
369,17967
370,17967
371,17967
372,17967
373,17967
375,17967
376,17967
377,17967
378,17967
379,17967
380,17967
381,17967
382,17967
383,17967
384,17967
385,17967
386,17967
387,17967
388,17967
389,17967
390,17967
391,19551
392,19551
393,19551
394,19551
395,19551
396,19593
397,19593
399,19593
400,19593
401,19593
402,19593
403,19593
404,19593
405,19593
406,19593
407,19593
408,19593
409,19593
410,19593
411,19593
412,19593
413,19593
414,19593
415,19593
416,19593
417,19593
418,19593
419,19593
420,19593
421,20715
422,20715
424,20715
425,20715
426,20715
427,20799
428,20799
429,20799
430,20799
431,20799
432,20799
433,20799
434,20799
435,20799
436,20799
437,20799
438,20799
439,20799
440,20799
441,20799
442,20799
443,20799
444,20799
445,20799
446,20799
448,20799
449,20799
450,20799
451,20799
452,21855
453,21855
454,21855
455,21855
456,21855
457,21897
458,21897
459,21897
460,21897
461,21897
462,21897
463,21897
464,21897
465,21897
466,21897
467,21897
468,21897
469,21897
470,21897
471,21897
473,21897
474,21897
475,21897
476,21897
477,21897
478,21897
479,21897
480,21897
481,23481
482,23481
483,23481
484,23481
485,23481
486,23565
487,23565
488,23565
489,23565
490,23565
491,23565
492,23565
