time(s),total_tx(bytes)
0,0
1,935
2,935
3,935
4,935
5,935
6,1024
7,1024
8,1024
9,1024
10,1024
11,1113
12,1113
13,1113
14,1113
15,1113
16,1202
18,1202
19,1202
20,1202
21,1202
22,1291
23,1291
24,1291
25,1291
26,1380
27,1380
28,29579
29,29579
30,29579
31,29668
32,29728
33,29728
34,29728
35,29728
36,29817
37,29817
38,29817
39,29817
40,29817
41,29906
43,29906
44,29906
45,29906
46,29906
47,29995
48,29995
49,29995
50,29995
51,30084
52,30084
53,30084
54,30084
55,30084
56,30173
57,157559
58,157559
59,157559
60,157559
61,157708
62,157708
63,157708
64,157708
65,157708
67,157929
68,157929
69,157929
70,157929
71,157929
72,158018
73,158018
74,158018
75,158018
76,158107
77,158107
78,158107
79,158107
80,158107
81,158196
82,158196
83,158196
84,158196
85,158196
86,158285
87,272577
88,272577
89,272577
90,272577
92,272726
93,272726
94,272726
95,272726
96,272726
97,272815
98,272815
99,272815
100,272815
101,272904
102,272904
103,272904
104,272904
105,272904
106,272993
107,272993
108,272993
109,272993
110,272993
111,273082
112,273082
113,273082
114,273082
116,273082
117,273171
118,415984
119,415984
120,415984
121,415984
122,416133
123,416133
124,416133
125,416133
126,416222
127,416222
128,416222
129,416222
130,416222
131,416311
132,416311
133,416311
134,416311
135,416311
136,416400
137,416400
138,416400
139,416400
141,416400
142,416489
143,416489
144,416489
145,416489
146,416489
147,416578
148,509950
149,509950
150,509950
151,510099
152,510099
153,510099
154,510099
155,510099
156,510188
157,510188
158,510188
159,510188
160,510188
161,510277
162,510277
163,510277
164,510277
166,510277
167,510366
168,510366
169,510366
170,510366
171,510366
172,510455
173,510455
174,510455
175,510455
176,510544
177,674351
178,674351
179,674351
180,674351
181,674500
182,674500
183,674500
184,674500
185,674500
186,674589
187,674589
188,674589
190,674589
191,674589
192,674678
193,674678
194,674678
195,674678
196,674678
197,674767
198,674767
199,674767
200,674767
201,674856
202,674856
203,674856
204,674856
205,674856
206,674945
207,791430
208,791430
209,791430
210,791430
211,791579
212,791579
213,791579
215,791579
216,791579
217,791668
218,791668
219,791668
220,791668
221,791668
222,791757
223,791757
224,791757
225,791757
226,791846
227,791846
228,791846
229,791846
230,791846
231,791935
232,791935
233,791935
234,791935
235,791935
236,792024
237,946922
238,946922
240,946922
241,946922
242,947071
243,947071
244,947071
245,947071
246,947071
247,947160
248,947160
249,947160
250,947160
251,947249
252,947249
253,947249
254,947249
255,947249
256,947338
257,947338
258,947338
259,947338
260,947338
261,947427
262,947427
264,947427
265,947427
266,947427
267,947516
268,1055292
269,1055292
270,1055292
271,1055292
272,1055381
273,1055381
274,1055381
275,1055381
276,1055470
277,1055470
278,1055470
279,1055470
280,1055470
281,1055559
282,1055559
283,1055559
284,1055559
285,1055559
286,1055708
287,1055708
289,1055708
290,1055708
291,1055708
292,1055797
293,1055797
294,1055797
295,1055797
296,1055797
297,1055886
298,1185842
299,1185842
300,1185842
301,1185931
302,1185931
303,1185931
304,1185931
305,1185931
306,1186020
307,1186020
308,1186020
309,1186020
310,1186020
311,1186109
313,1186109
314,1186109
315,1186109
316,1186109
317,1186198
318,1186198
319,1186198
320,1186198
321,1186198
322,1186287
323,1186287
324,1186287
325,1186287
326,1186376
327,1282524
328,1282524
329,1282524
330,1282524
331,1282613
332,1282673
333,1282673
334,1282673
335,1282673
336,1282762
338,1282762
339,1282762
340,1282762
341,1282762
342,1282851
343,1282851
344,1282851
345,1282851
346,1282851
347,1282940
348,1282940
349,1282940
350,1282940
351,1283029
352,1283029
353,1283029
354,1283029
355,1283029
356,1283118
357,1396530
358,1396530
359,1396530
360,1396530
361,1396619
363,1396619
364,1396619
365,1396619
366,1396619
367,1396708
368,1396708
369,1396708
370,1396708
371,1396708
372,1396797
373,1396797
374,1396797
375,1396797
376,1396886
377,1396886
378,1396886
379,1396886
380,1396886
381,1397035
382,1397035
383,1397035
384,1397035
385,1397035
387,1397124
388,1531508
389,1531508
390,1531508
391,1531508
392,1531597
393,1531597
394,1531597
395,1531597
396,1531686
397,1531686
398,1531686
399,1531686
400,1531686
401,1531775
402,1531775
403,1531775
404,1531775
405,1531775
406,1531864
407,1531864
408,1531864
409,1531864
410,1531864
412,1531953
413,1531953
414,1531953
415,1531953
416,1531953
417,1532042
418,1715692
419,1715692
420,1715692
421,1715781
422,1715781
423,1715781
424,1715781
425,1715781
426,1715930
427,1715930
428,1715930
429,1715930
430,1715930
431,1716019
432,1716019
433,1716019
434,1716019
436,1716019
437,1716108
438,1716108
439,1716108
440,1716108
441,1716108
442,1716197
443,1716197
444,1716197
445,1716197
446,1716286
447,1861395
448,1861395
449,1861395
450,1861395
451,1861484
452,1861484
453,1861484
454,1861484
455,1861484
456,1861573
457,1861573
458,1861573
459,1861573
461,1861573
462,1861662
463,1861662
464,1861662
465,1861662
466,1861662
467,1861751
468,1861751
469,1861751
470,1861751
471,1861840
472,1861900
473,1861900
474,1861900
475,1861900
476,1861989
477,2004909
478,2004909
479,2004909
480,2004909
481,2004998
482,2004998
483,2004998
485,2004998
486,2004998
487,2005087
488,2005087
489,2005087
490,2005087
491,2005087
492,2005176
493,2005176
494,2005176
495,2005176
496,2005265
497,2005265
498,2005265
499,2005265
500,2005265
501,2005354
502,2005354
503,2005354
504,2005354
505,2005354
506,2005443
507,2090151
508,2090151
510,2090151
511,2090151
512,2090240
513,2090240
514,2090240
515,2090240
