time(s),total_tx(bytes)
0,0
1,278054
2,812361
3,812361
5,812361
6,812361
7,812361
8,812361
9,812361
10,812361
11,812361
12,812361
13,812361
14,812361
15,812361
16,812361
17,812361
18,812361
19,812361
20,812361
21,812361
22,812361
23,812361
24,812361
25,812361
26,812361
27,812361
28,812361
30,812361
31,812361
32,1102183
33,1102183
34,1102183
35,1102183
36,1102183
37,1102243
38,1102243
39,1102243
40,1102243
41,1102243
42,1102243
43,1102243
44,1102243
45,1102243
46,1102243
47,1102243
48,1102243
49,1102243
50,1102243
51,1102243
52,1102243
54,1102243
55,1102243
56,1102243
57,1102243
58,1102243
59,1102243
60,1102243
61,1102243
62,1360018
63,1360018
64,1360018
65,1360018
66,1360018
67,1360150
68,1360150
69,1360150
70,1360150
71,1360150
72,1360210
73,1360210
74,1360210
75,1360210
76,1360210
77,1360210
79,1360210
80,1360210
81,1360210
82,1360210
83,1360210
84,1360210
85,1360210
86,1360210
87,1360210
88,1360210
89,1360210
90,1360210
91,1569014
92,1569014
93,1569014
94,1569014
95,1569014
96,1569014
97,1569014
98,1569014
99,1569014
100,1569014
101,1569014
102,1569014
104,1569014
105,1569014
106,1569014
107,1569014
108,1569014
109,1569014
110,1569014
111,1569014
112,1569014
113,1569014
114,1569014
115,1569014
116,1569014
117,1569014
118,1569014
119,1569014
120,1569014
121,1739397
122,1739397
123,1739397
124,1739397
125,1739397
126,1739457
128,1739457
129,1739457
130,1739457
131,1739457
132,1739457
133,1739457
134,1739457
135,1739457
136,1739457
137,1739457
138,1739457
139,1739457
140,1739457
141,1739457
142,1739457
143,1739457
144,1739457
145,1739457
146,1739457
147,1739457
148,1739457
149,1739457
150,1739457
151,1935302
153,1935302
154,1935302
155,1935302
156,1935302
157,1935302
158,1935302
159,1935302
160,1935302
161,1935302
162,1935302
163,1935302
164,1935302
165,1935302
166,1935302
167,1935302
168,1935302
169,1935302
170,1935302
171,1935302
172,1935302
173,1935302
174,1935302
175,1935302
176,1935302
178,1935302
179,1935302
180,1935302
181,1935302
182,2063140
183,2063140
184,2063140
185,2063140
186,2063140
187,2063200
188,2063200
189,2063200
190,2063200
191,2063200
192,2063200
193,2063200
194,2063200
195,2063200
196,2063200
197,2063200
198,2063200
199,2063200
200,2063200
202,2063200
203,2063200
204,2063200
205,2063200
206,2063200
207,2063200
208,2063200
209,2063200
210,2063200
211,2236188
212,2236188
213,2236188
214,2236188
215,2236188
216,2236188
217,2236188
218,2236188
219,2236188
220,2236188
221,2236188
222,2236188
223,2236188
224,2236188
225,2236188
227,2236188
228,2236188
229,2236188
230,2236188
231,2236188
232,2236188
233,2236188
234,2236188
235,2236188
236,2236188
237,2236188
238,2236188
239,2236188
240,2236188
241,2501473
242,2501473
243,2501473
244,2501473
245,2501473
246,2501533
247,2501533
248,2501533
249,2501533
251,2501533
252,2501533
253,2501533
254,2501533
255,2501533
256,2501533
257,2501533
258,2501533
259,2501533
260,2501533
261,2501533
262,2501533
263,2501533
264,2501533
265,2501533
266,2501533
267,2501533
268,2501533
269,2501533
270,2501533
271,2754929
272,2754929
273,2754929
274,2754929
276,2754929
277,2754929
278,2754929
279,2754929
280,2754929
281,2754929
282,2754929
283,2754929
284,2754929
285,2754929
286,2754929
287,2754929
288,2754929
289,2754929
290,2754929
291,2754929
292,2754929
293,2754929
294,2754929
295,2754929
296,2754929
297,2754929
298,2754929
299,2754929
301,2754929
302,2919856
303,2919856
304,2919856
305,2919856
306,2919856
307,2919916
308,2919916
309,2919916
310,2919916
311,2919916
312,2919916
313,2919916
314,2919916
315,2919916
316,2919916
317,2919916
318,2919916
319,2919916
320,2919916
321,2919916
322,2919916
323,2919916
325,2919916
326,2919916
327,2919916
328,2919916
329,2919916
330,2919916
331,2919916
332,3174516
333,3174516
334,3174516
335,3174516
336,3174576
337,3174576
338,3174576
339,3174576
340,3174576
341,3174576
342,3174576
343,3174576
344,3174576
345,3174576
346,3174576
347,3174576
348,3174576
350,3174576
351,3174576
352,3174576
353,3174576
354,3174576
355,3174576
356,3174576
357,3174576
358,3174576
359,3174576
360,3174576
361,3427260
362,3427260
363,3427260
364,3427260
365,3427260
366,3427380
367,3427380
368,3427380
369,3427380
370,3427380
371,3427380
372,3427380
373,3427380
375,3427380
376,3427380
377,3427380
378,3427380
379,3427380
380,3427380
381,3427380
382,3427380
383,3427380
384,3427380
385,3427380
386,3427380
387,3427380
388,3427380
389,3427380
390,3427380
391,3805914
392,3805914
393,3805914
394,3805914
395,3805914
396,3805974
397,3805974
399,3805974
400,3805974
401,3805974
402,3805974
403,3805974
404,3805974
405,3805974
406,3805974
407,3805974
408,3805974
409,3805974
410,3805974
411,3805974
412,3805974
413,3805974
414,3805974
415,3805974
416,3805974
417,3805974
418,3805974
419,3805974
420,3805974
421,4078876
422,4078876
424,4078876
425,4078876
426,4078876
427,4078996
428,4078996
429,4078996
430,4078996
431,4078996
432,4078996
433,4078996
434,4078996
435,4078996
436,4078996
437,4078996
438,4078996
439,4078996
440,4078996
441,4078996
442,4078996
443,4078996
444,4078996
445,4078996
446,4078996
448,4078996
449,4078996
450,4078996
451,4078996
452,4282808
453,4282808
454,4282808
455,4282808
456,4282808
457,4282868
458,4282868
459,4282868
460,4282868
461,4282868
462,4282868
463,4282868
464,4282868
465,4282868
466,4282868
467,4282868
468,4282868
469,4282868
470,4282868
471,4282868
473,4282868
474,4282868
475,4282868
476,4282868
477,4282868
478,4282868
479,4282868
480,4282868
481,4640663
482,4640663
483,4640663
484,4640663
485,4640663
486,4640783
487,4640783
488,4640783
489,4640783
490,4640783
491,4640783
492,4640783
493,4640783
494,4640783
495,4640783
496,4640783
498,4640783
499,4640783
500,4640783
501,4640783
502,4640783
503,4640783
504,4640783
505,4640783
506,4640783
507,4640783
508,4640783
509,4640783
510,4640783
511,4866766
512,4866766
513,4866766
514,4866766
515,4866766
516,4866766
517,4866766
518,4866766
519,4866766
520,4866766
522,4866766
523,4866766
524,4866766
525,4866766
526,4866766
527,4866766
528,4866766
529,4866766
530,4866766
531,4866766
532,4866766
533,4866766
534,4866766
535,4866766
536,4866766
537,4866766
538,4866766
539,4866766
540,4866766
541,5088092
542,5088092
543,5088092
544,5088092
545,5088092
547,5088212
548,5088212
549,5088212
550,5088212
551,5088212
552,5088212
553,5088212
554,5088212
555,5088212
556,5088212
557,5088212
558,5088212
559,5088212
560,5088212
561,5088212
562,5088212
563,5088212
564,5088212
565,5088212
566,5088212
567,5088212
568,5088212
569,5088212
571,5088212
572,5333023
573,5333023
574,5333023
575,5333023
576,5333023
577,5333083
578,5333083
579,5333083
580,5333083
581,5333083
582,5333083
583,5333083
584,5333083
585,5333083
586,5333083
587,5333083
588,5333083
589,5333083
590,5333083
591,5333083
592,5333083
593,5333083
594,5333083
596,5333083
597,5333083
598,5333083
599,5333083
600,5333083
601,5333083
602,5572381
603,5572381
604,5572381
605,5572381
606,5572441
607,5572501
608,5572501
609,5572501
610,5572501
611,5572501
612,5572501
613,5572501
614,5572501
615,5572501
616,5572501
617,5572501
618,5572501
620,5572501
621,5572501
622,5572501
623,5572501
624,5572501
625,5572501
626,5572501
627,5572501
628,5572501
629,5572501
630,5572501
631,5875579
632,5875579
633,5875579
634,5875579
635,5875579
636,5875639
637,5875639
638,5875639
639,5875639
640,5875639
641,5875639
642,5875639
643,5875639
645,5875639
646,5875639
647,5875639
648,5875639
649,5875639
650,5875639
651,5875639
652,5875639
653,5875639
654,5875639
655,5875639
656,5875639
657,5875639
658,5875639
659,5875639
660,5875639
661,6127729
662,6127729
663,6127729
664,6127729
665,6127729
666,6127849
667,6127849
668,6127849
670,6127849
671,6127849
672,6127849
673,6127849
674,6127849
675,6127849
676,6127849
677,6127849
678,6127849
679,6127849
680,6127849
681,6127849
682,6127849
683,6127849
684,6127849
685,6127849
686,6127849
687,6127849
688,6127849
689,6127849
690,6127849
691,6322155
692,6322155
694,6322155
695,6322155
696,6322155
697,6322215
698,6322215
699,6322215
700,6322215
701,6322215
702,6322215
703,6322215
704,6322215
705,6322215
706,6322215
707,6322215
708,6322215
709,6322215
710,6322215
711,6322215
712,6322215
713,6322215
714,6322215
715,6322215
716,6322215
717,6322215
719,6322215
720,6322215
721,6322215
722,6594561
723,6594561
724,6594561
725,6594561
726,6594561
727,6594681
728,6594681
729,6594681
730,6594681
731,6594681
732,6594681
733,6594681
734,6594681
735,6594681
736,6594681
737,6594681
738,6594681
739,6594681
740,6594681
741,6594681
742,6594681
744,6594681
745,6594681
746,6594681
747,6594681
748,6594681
749,6594681
750,6594681
751,6971920
752,6971920
753,6971920
754,6971920
755,6971920
756,6971980
757,6971980
758,6971980
759,6971980
760,6971980
761,6971980
762,6971980
763,6971980
764,6971980
765,6971980
766,6971980
768,6971980
769,6971980
770,6971980
771,6971980
772,6971980
773,6971980
774,6971980
775,6971980
776,6971980
777,6971980
778,6971980
779,6971980
780,6971980
781,7329672
782,7329672
783,7329672
784,7329672
785,7329672
786,7329792
787,7329792
788,7329792
789,7329792
790,7329792
791,7329792
793,7329792
794,7329792
795,7329792
796,7329792
797,7329792
798,7329792
799,7329792
800,7329792
801,7329792
802,7329792
803,7329792
804,7329792
805,7329792
806,7329792
807,7329792
808,7329792
809,7329792
810,7329792
811,7591926
812,7591926
813,7591926
814,7591926
815,7591926
816,7591986
818,7591986
819,7591986
820,7591986
821,7591986
822,7591986
823,7591986
824,7591986
825,7591986
826,7591986
827,7591986
828,7591986
829,7591986
830,7591986
831,7591986
832,7591986
833,7591986
834,7591986
835,7591986
836,7591986
837,7591986
838,7591986
839,7591986
840,7591986
842,7903307
843,7903307
844,7903307
