time(s),total_rx(bytes)
0,0
1,272
2,412
3,412
4,552
5,552
6,552
7,618
8,692
9,692
10,692
11,692
12,692
13,758
14,758
15,758
16,832
17,832
18,832
20,832
21,832
22,874
23,874
24,874
25,874
26,874
27,940
28,940
29,940
30,940
31,1493
32,1493
33,1493
34,1493
35,1493
36,1493
37,1493
38,1493
39,1493
40,1493
41,1493
42,1493
43,1493
44,1493
46,1493
47,1493
48,1493
49,1493
50,1547
51,1547
52,1547
53,1547
54,1547
55,1589
56,1589
57,1589
58,1589
59,1589
60,1589
61,2002
62,2002
63,2002
64,2002
65,2002
66,2002
67,2002
68,2002
69,2002
70,2002
72,2002
73,2002
74,2002
75,2002
76,2002
77,2002
78,2002
79,2002
80,2002
81,2002
82,2002
83,2002
84,2002
85,2002
86,2002
87,2002
88,2002
89,2002
90,2002
91,2415
92,2415
93,2415
94,2415
95,2457
96,2499
97,2499
99,2499
100,2499
101,2499
102,2499
103,2499
104,2499
105,2499
106,2499
107,2499
108,2499
109,2499
110,2499
111,2499
112,2499
113,2499
114,2499
115,2499
116,2499
117,2499
118,2499
119,2499
120,2846
121,3887
122,4234
123,4234
125,4581
126,4623
127,4623
128,5523
129,5523
130,5523
131,5523
132,5523
133,5565
134,5565
135,5565
136,5565
137,5565
138,5565
139,5565
140,5565
141,5565
142,5565
143,5565
144,5565
145,5565
146,5565
147,5565
148,5565
149,5565
150,5978
152,5978
153,5978
154,5978
155,5978
156,6020
157,6020
158,6020
159,6020
160,6020
161,6020
162,6020
163,6020
164,6020
165,6020
166,6020
167,6020
168,6020
169,6020
170,6020
171,6020
172,6020
173,6020
174,6020
175,6020
176,6020
178,6020
179,6020
180,6020
181,6714
182,7408
183,7755
184,8102
185,8102
186,8144
187,8144
188,9044
189,9044
190,9044
191,9044
192,9086
193,9086
194,9086
195,9086
196,9086
197,9086
198,9086
199,9086
200,9086
201,9086
202,9086
203,9086
205,9086
206,9086
207,9086
208,9086
209,9086
210,9086
211,9499
212,9499
213,9499
214,9499
215,9499
216,9541
217,9541
218,9541
219,9541
220,9541
221,9541
222,9541
223,9541
224,9541
225,9541
226,9541
227,9541
228,9541
229,9541
230,9649
232,9757
233,9757
234,9865
235,9865
236,9865
237,9865
238,9865
239,9865
240,9865
241,10906
242,11253
243,11600
244,11947
245,11947
246,11989
247,12889
248,12889
249,12889
250,12889
251,12889
252,12931
253,12931
254,12931
255,12931
256,12931
257,12931
259,12931
260,12931
261,12985
262,12985
263,12985
264,12985
265,12985
266,12985
267,12985
268,12985
269,12985
270,12985
271,14026
272,14720
273,14720
274,15067
275,15067
276,15109
277,16009
278,16009
279,16009
280,16009
281,16009
282,16051
283,16051
285,16051
286,16051
287,16051
288,16051
289,16051
290,16105
291,16105
292,16105
293,16105
294,16105
295,16105
296,16105
297,16105
298,16105
299,16105
300,16105
301,16518
302,16572
303,16572
304,16572
305,16572
306,16614
307,16614
308,16614
309,16614
310,16614
312,16614
313,16614
314,16614
315,16614
316,16614
317,16614
318,16614
319,16614
320,16614
321,16614
322,16614
323,16614
324,16614
325,16614
326,16614
327,16614
328,16614
329,16614
330,16614
331,18002
332,18349
333,18349
334,18696
335,18738
336,18738
338,19638
339,19638
340,19638
341,19638
342,19638
343,19680
344,19680
345,19680
346,19680
347,19680
348,19680
349,19680
350,19734
351,19734
352,19734
353,19734
354,19734
355,19734
356,19734
357,19734
358,19734
359,19734
360,20081
361,21122
362,21469
363,21469
365,21816
366,21858
367,21858
368,22758
369,22758
370,22758
371,22758
372,22758
373,22800
374,22800
375,22800
376,22800
377,22800
378,22800
379,22800
380,22854
381,22854
382,22854
383,22854
384,22854
385,22854
386,22854
387,22854
388,22854
389,22854
390,23267
392,23267
393,23267
394,23267
395,23267
396,23309
397,23309
398,23309
399,23309
400,23309
401,23309
402,23309
403,23309
404,23309
405,23309
406,23309
407,23309
408,23309
409,23309
410,23309
411,23309
412,23309
413,23309
414,23309
415,23309
416,23309
418,23309
419,23309
420,23309
421,24003
422,24697
423,25044
424,25391
425,25391
426,25433
427,25433
428,26333
429,26333
430,26333
431,26333
432,26333
433,26375
434,26375
435,26375
436,26375
437,26375
438,26375
439,26375
440,26375
441,26375
442,26375
443,26375
445,26375
446,26375
447,26375
448,26375
449,26375
450,26375
451,26788
452,26788
453,26788
454,26788
455,26788
456,26830
457,26830
458,26830
459,26830
460,26830
461,26830
462,26830
463,26830
464,26830
465,26830
466,26830
467,26830
468,26830
469,26830
471,26830
472,26830
473,26830
474,26830
475,26830
476,26830
477,26830
478,26830
479,26830
480,26830
481,27243
482,27243
483,27243
484,27243
485,27243
486,27285
487,27285
488,27285
489,27285
490,27285
491,27285
492,27285
493,27285
494,27285
495,27285
496,27285
498,27285
499,27285
500,27285
501,27285
502,27285
503,27285
504,27285
505,27285
506,27285
507,27285
508,27285
509,27285
510,27285
511,28326
512,29020
513,29020
514,29367
515,29367
516,29409
517,30309
518,30309
519,30309
520,30309
521,30309
522,30351
524,30351
525,30351
526,30351
527,30351
528,30351
529,30351
530,30351
531,30351
532,30351
533,30351
534,30351
535,30351
536,30351
537,30351
538,30351
539,30351
540,30351
541,30764
542,30764
543,30764
544,30764
545,30764
546,30806
547,30806
548,30806
549,30806
551,30806
552,30806
553,30806
554,30806
555,30806
556,30806
557,30806
558,30806
559,30806
560,30806
561,30806
562,30806
563,30806
564,30806
565,30806
566,30806
567,30806
568,30806
569,30806
570,30806
571,32194
572,32541
573,32541
574,32888
575,32930
577,32930
578,33830
579,33830
580,33830
581,33830
582,33830
583,33872
584,33872
585,33872
586,33872
587,33872
588,33872
589,33872
590,33872
591,33872
592,33872
593,33872
594,33872
595,33872
596,33926
597,33926
598,33926
599,33926
600,34339
601,34339
602,34339
604,34339
605,34339
606,34381
607,34381
608,34381
609,34381
610,34381
611,34381
612,34381
613,34381
614,34381
615,34381
616,34381
617,34381
618,34381
619,34381
620,34381
621,34381
622,34381
623,34381
624,34381
625,34381
626,34381
627,34381
628,34381
630,34381
631,35075
632,35769
633,36116
634,36463
635,36463
636,36505
637,36505
638,37405
639,37405
640,37405
641,37405
642,37405
643,37447
644,37447
645,37447
646,37447
647,37447
648,37447
649,37447
650,37447
651,37447
652,37447
653,37447
654,37447
655,37447
657,37501
658,37501
659,37501
660,37501
661,37914
662,37914
663,37914
664,37914
665,37914
666,37956
667,37956
668,37956
669,37956
670,37956
671,37956
672,37956
673,37956
674,37956
675,37956
676,37956
677,37956
678,37956
679,37956
680,37956
681,37956
683,37956
684,37956
685,37956
686,37956
687,37956
688,37956
689,37956
690,37956
691,38997
692,39344
693,39691
694,40038
695,40038
696,40080
697,40080
698,40980
699,40980
700,40980
701,40980
702,41022
703,41022
704,41022
705,41022
706,41022
707,41022
708,41022
710,41022
711,41022
712,41022
713,41022
714,41022
715,41022
716,41076
717,41076
718,41076
719,41076
720,41076
721,41489
722,41489
723,41489
724,41489
725,41489
726,41531
727,41531
728,41531
729,41531
730,41531
731,41531
732,41531
733,41531
734,41531
736,41531
737,41531
738,41531
739,41531
740,41531
741,41531
742,41531
743,41531
744,41531
745,41531
746,41531
747,41531
748,41531
749,41531
750,41531
751,42572
752,43266
753,43266
754,43613
755,43613
756,43655
757,44555
758,44555
759,44555
760,44555
761,44555
763,44597
764,44597
765,44597
766,44597
767,44597
768,44597
769,44597
770,44597
771,44597
772,44597
773,44597
774,44597
775,44597
776,44651
777,44651
778,44651
779,44651
780,44651
781,45064
782,45064
783,45064
784,45064
785,45064
786,45106
787,45106
788,45106
790,45106
791,45106
792,45106
793,45106
794,45106
795,45106
796,45106
797,45106
798,45106
