time(s),total_tx(bytes)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
20,0
21,0
22,46
23,46
24,46
25,46
26,46
27,92
28,92
29,92
30,92
31,512
32,512
33,512
34,512
35,512
36,512
37,512
38,512
39,512
40,512
41,512
42,512
43,512
44,512
46,512
47,512
48,512
49,512
50,820
51,958
52,1004
53,1004
54,1050
55,1096
56,1096
57,1142
58,1142
59,1142
60,1142
61,1450
62,1450
63,1496
64,1496
65,1496
66,1496
67,1496
68,1496
69,1496
70,1496
72,1496
73,1496
74,1496
75,1496
76,1496
77,1542
78,1542
79,1542
80,1542
81,1542
82,1542
83,1542
84,1542
85,1542
86,1542
87,1542
88,1542
89,1542
90,1542
91,1850
92,1850
93,1850
94,1850
95,1896
96,1942
97,1942
99,1942
100,1942
101,1942
102,1942
103,1942
104,1988
105,1988
106,1988
107,1988
108,1988
109,1988
110,1988
111,1988
112,1988
113,1988
114,1988
115,1988
116,1988
117,1988
118,1988
119,1988
120,1988
121,1988
122,1988
123,1988
125,1988
126,2034
127,2034
128,2500
129,2500
130,2500
131,2500
132,2500
133,2546
134,2546
135,2546
136,2546
137,2546
138,2546
139,2546
140,2546
141,2546
142,2546
143,2546
144,2546
145,2546
146,2546
147,2546
148,2546
149,2546
150,2854
152,2854
153,2854
154,2854
155,2854
156,2900
157,2900
158,2946
159,2946
160,2946
161,2946
162,2946
163,2946
164,2946
165,2946
166,2946
167,2946
168,2946
169,2946
170,2946
171,2946
172,2946
173,2946
174,2946
175,2946
176,2946
178,2946
179,2946
180,2946
181,2946
182,2946
183,2946
184,2946
185,2946
186,2992
187,2992
188,3458
189,3458
190,3458
191,3458
192,3504
193,3504
194,3504
195,3504
196,3504
197,3504
198,3504
199,3504
200,3504
201,3504
202,3504
203,3504
205,3504
206,3504
207,3504
208,3504
209,3504
210,3504
211,3812
212,3812
213,3812
214,3812
215,3812
216,3858
217,3858
218,3858
219,3858
220,3858
221,3858
222,3858
223,3858
224,3858
225,3858
226,3858
227,3858
228,3858
229,3858
230,4024
232,4144
233,4144
234,4264
235,4264
236,4264
237,4264
238,4264
239,4264
240,4264
241,4264
242,4264
243,4264
244,4264
245,4264
246,4310
247,4776
248,4776
249,4776
250,4776
251,4776
252,4822
253,4822
254,4822
255,4822
256,4822
257,4822
259,4822
260,4822
261,5012
262,5058
263,5058
264,5104
265,5104
266,5104
267,5150
268,5150
269,5150
270,5150
271,5150
272,5150
273,5150
274,5150
275,5150
276,5196
277,5662
278,5662
279,5662
280,5662
281,5662
282,5708
283,5708
285,5708
286,5708
287,5708
288,5708
289,5708
290,6016
291,6154
292,6200
293,6200
294,6246
295,6246
296,6246
297,6292
298,6292
299,6292
300,6292
301,6600
302,6652
303,6698
304,6698
305,6698
306,6744
307,6744
308,6744
309,6744
310,6744
312,6744
313,6744
314,6744
315,6744
316,6744
317,6744
318,6744
319,6744
320,6744
321,6744
322,6744
323,6744
324,6744
325,6744
326,6744
327,6744
328,6744
329,6744
330,6744
331,6744
332,6744
333,6744
334,6744
335,6790
336,6790
338,7256
339,7256
340,7256
341,7256
342,7256
343,7302
344,7302
345,7302
346,7302
347,7302
348,7302
349,7302
350,7656
351,7748
352,7794
353,7840
354,7840
355,7840
356,7840
357,7886
358,7886
359,7886
360,7886
361,7886
362,7886
363,7886
365,7886
366,7932
367,7932
368,8398
369,8398
370,8398
371,8398
372,8398
373,8444
374,8444
375,8444
376,8444
377,8444
378,8444
379,8444
380,8844
381,8890
382,8936
383,8982
384,8982
385,8982
386,8982
387,9028
388,9028
389,9028
390,9336
392,9336
393,9336
394,9382
395,9382
396,9428
397,9428
398,9428
399,9428
400,9428
401,9428
402,9428
403,9428
404,9428
405,9428
406,9428
407,9474
408,9474
409,9474
410,9474
411,9474
412,9474
413,9474
414,9474
415,9474
416,9474
418,9474
419,9474
420,9474
421,9474
422,9474
423,9474
424,9474
425,9474
426,9520
427,9520
428,9986
429,9986
430,9986
431,9986
432,9986
433,10032
434,10078
435,10078
436,10078
437,10078
438,10078
439,10078
440,10078
441,10078
442,10078
443,10078
445,10078
446,10078
447,10078
448,10078
449,10078
450,10078
