[2020-01-30 03:46:48] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 03:46:49] 
[2020-01-30 03:46:49] 03:46:48      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 03:46:49] 03:46:49    20001     23716   32.00    1.00    0.00    0.00   33.00    12  qrail-cli
[2020-01-30 03:46:50] 03:46:50    20001     23716   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 03:46:51] 03:46:51    20001     23716  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 03:46:52] 03:46:52    20001     23716   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 03:46:53] 03:46:53    20001     23716  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 03:46:54] 03:46:54    20001     23716    3.00    0.00    0.00    0.00    3.00    12  qrail-cli
[2020-01-30 03:46:55] 03:46:55    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:46:56] 03:46:56    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:46:57] 03:46:57    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:46:58] 03:46:58    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:46:59] 03:46:59    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:00] 03:47:00    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:01] 03:47:01    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:02] 03:47:02    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:03] 03:47:03    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:04] 03:47:04    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:05] 03:47:05    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:06] 03:47:06    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:07] 03:47:07    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:08] 03:47:08    20001     23716    1.00    0.00    0.00    0.00    1.00    12  qrail-cli
[2020-01-30 03:47:09] 03:47:09    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:10] 03:47:10    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:11] 03:47:11    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:12] 03:47:12    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:13] 03:47:13    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:14] 03:47:14    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:15] 03:47:15    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:16] 03:47:16    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:17] 03:47:17    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:18] 03:47:18    20001     23716   39.00    2.00    0.00    0.00   41.00    12  qrail-cli
[2020-01-30 03:47:19] 03:47:19    20001     23716   95.00    4.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 03:47:20] 03:47:20    20001     23716   45.00    1.00    0.00    0.00   46.00    12  qrail-cli
[2020-01-30 03:47:21] 03:47:21    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:22] 03:47:22    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:23] 03:47:23    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:24] 03:47:24    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:25] 03:47:25    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:26] 03:47:26    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:27] 03:47:27    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:28] 03:47:28    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:29] 03:47:29    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:30] 03:47:30    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:31] 03:47:31    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:32] 03:47:32    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:33] 03:47:33    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:34] 03:47:34    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:35] 03:47:35    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:36] 03:47:36    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:37] 03:47:37    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:38] 03:47:38    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:39] 03:47:39    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:40] 03:47:40    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:41] 03:47:41    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 03:47:42] 03:47:42    20001     23716    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
