[2019-11-28 13:18:36] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 13:18:37] 
[2019-11-28 13:18:37] 13:18:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-28 13:18:37] 13:18:37    20001      2259   32.00    1.00    0.00    0.00   33.00    13  qrail-cli
[2019-11-28 13:18:38] 13:18:38    20001      2259   99.00    2.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 13:18:39] 13:18:39    20001      2259   99.00    1.00    0.00    0.00  100.00    13  qrail-cli
[2019-11-28 13:18:40] 13:18:40    20001      2259   98.00    1.00    0.00    0.00   99.00    13  qrail-cli
[2019-11-28 13:18:41] 13:18:41    20001      2259   74.00    0.00    0.00    0.00   74.00    13  qrail-cli
[2019-11-28 13:18:42] 13:18:42    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:43] 13:18:43    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:44] 13:18:44    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:45] 13:18:45    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:46] 13:18:46    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:47] 13:18:47    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:48] 13:18:48    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:49] 13:18:49    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:50] 13:18:50    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:51] 13:18:51    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:52] 13:18:52    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:53] 13:18:53    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:54] 13:18:54    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:55] 13:18:55    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:56] 13:18:56    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:57] 13:18:57    20001      2259    0.00    1.00    0.00    0.00    1.00    13  qrail-cli
[2019-11-28 13:18:58] 13:18:58    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:18:59] 13:18:59    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:00] 13:19:00    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:01] 13:19:01    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:02] 13:19:02    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:03] 13:19:03    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:04] 13:19:04    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:05] 13:19:05    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:06] 13:19:06    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:07] 13:19:07    20001      2259   89.00    1.00    0.00    0.00   90.00    13  qrail-cli
[2019-11-28 13:19:08] 13:19:08    20001      2259   52.00    0.00    0.00    0.00   52.00    13  qrail-cli
[2019-11-28 13:19:09] 13:19:09    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:10] 13:19:10    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:11] 13:19:11    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:12] 13:19:12    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:13] 13:19:13    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:14] 13:19:14    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:15] 13:19:15    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:16] 13:19:16    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:17] 13:19:17    20001      2259    1.00    0.00    0.00    0.00    1.00    13  qrail-cli
[2019-11-28 13:19:18] 13:19:18    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:19] 13:19:19    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:20] 13:19:20    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:21] 13:19:21    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:22] 13:19:22    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:23] 13:19:23    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:24] 13:19:24    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:25] 13:19:25    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:26] 13:19:26    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:27] 13:19:27    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:28] 13:19:28    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:29] 13:19:29    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:30] 13:19:30    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:31] 13:19:31    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:32] 13:19:32    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:33] 13:19:33    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:34] 13:19:34    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:35] 13:19:35    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:36] 13:19:36    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:37] 13:19:37    20001      2259   90.00    0.00    0.00    0.00   90.00    13  qrail-cli
[2019-11-28 13:19:38] 13:19:38    20001      2259   51.00    0.00    0.00    0.00   51.00    13  qrail-cli
[2019-11-28 13:19:39] 13:19:39    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:40] 13:19:40    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:41] 13:19:41    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:42] 13:19:42    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:43] 13:19:43    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:44] 13:19:44    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:45] 13:19:45    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:46] 13:19:46    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:47] 13:19:47    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:48] 13:19:48    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:49] 13:19:49    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:50] 13:19:50    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
[2019-11-28 13:19:51] 13:19:51    20001      2259    0.00    0.00    0.00    0.00    0.00    13  qrail-cli
