[2019-11-28 11:33:07] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	11/28/19 	_x86_64_	(16 CPU)
[2019-11-28 11:33:08] 
[2019-11-28 11:33:08] 11:33:07      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2019-11-28 11:33:08] 11:33:08    20001     17576   25.00    2.00    0.00    0.00   27.00    12  qrail-cli
[2019-11-28 11:33:09] 11:33:09    20001     17576   94.00    3.00    0.00    0.00   97.00    12  qrail-cli
[2019-11-28 11:33:10] 11:33:10    20001     17576   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2019-11-28 11:33:11] 11:33:11    20001     17576   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 11:33:12] 11:33:12    20001     17576  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2019-11-28 11:33:13] 11:33:13    20001     17576    9.00    0.00    0.00    0.00    9.00    12  qrail-cli
[2019-11-28 11:33:14] 11:33:14    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:15] 11:33:15    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:16] 11:33:16    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:17] 11:33:17    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:18] 11:33:18    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:19] 11:33:19    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:20] 11:33:20    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:21] 11:33:21    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:22] 11:33:22    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:23] 11:33:23    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:24] 11:33:24    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2019-11-28 11:33:25] 11:33:25    20001     17576    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
