[2020-01-30 06:41:18] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 06:41:19] 
[2020-01-30 06:41:19] 06:41:18      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-30 06:41:19] 06:41:19    20001     14598   21.00    1.00    0.00    0.00   22.00    12  qrail-cli
[2020-01-30 06:41:20] 06:41:20    20001     14598   81.00    5.00    0.00    0.00   86.00    12  qrail-cli
[2020-01-30 06:41:21] 06:41:21    20001     14598   96.00    4.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:41:22] 06:41:22    20001     14598   96.00    3.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-30 06:41:23] 06:41:23    20001     14598   98.00    0.00    0.00    0.00   98.00    12  qrail-cli
[2020-01-30 06:41:24] 06:41:24    20001     14598   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:41:25] 06:41:25    20001     14598   96.00    4.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-30 06:41:26] 06:41:26    20001     14598    6.00    0.00    0.00    0.00    6.00    12  qrail-cli
[2020-01-30 06:41:27] 06:41:27    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:28] 06:41:28    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:29] 06:41:29    20001     14598    1.00    0.00    0.00    0.00    1.00    12  qrail-cli
[2020-01-30 06:41:30] 06:41:30    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:31] 06:41:31    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:32] 06:41:32    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:33] 06:41:33    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:34] 06:41:34    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:35] 06:41:35    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:36] 06:41:36    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:37] 06:41:37    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:38] 06:41:38    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:39] 06:41:39    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:40] 06:41:40    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:41] 06:41:41    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-30 06:41:42] 06:41:42    20001     14598    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
