time(s),mem(%)
0,0.18
1,0.36
2,0.45
3,0.52
4,0.58
5,0.58
6,0.58
7,0.58
8,0.58
9,0.58
10,0.58
11,0.58
12,0.58
13,0.58
14,0.58
15,0.58
16,0.58
17,0.58
18,0.58
19,0.58
20,0.58
21,0.58
22,0.58
23,0.58
24,0.58
25,0.58
26,0.58
27,0.58
28,0.58
29,0.58
30,0.58
31,0.58
32,0.58
33,0.58
34,0.58
35,0.58
36,0.58
37,0.58
38,0.58
39,0.58
40,0.58
41,0.58
42,0.58
43,0.58
44,0.58
45,0.58
46,0.58
47,0.58
48,0.58
49,0.58
50,0.58
51,0.58
52,0.58
53,0.58
54,0.58
55,0.58
56,0.58
57,0.60
58,0.60
59,0.60
60,0.60
61,0.60
62,0.60
63,0.60
64,0.60
65,0.60
66,0.60
67,0.60
68,0.60
69,0.60
70,0.60
71,0.60
72,0.60
73,0.60
74,0.60
75,0.60
76,0.60
77,0.60
78,0.60
79,0.60
80,0.60
81,0.60
82,0.60
83,0.60
84,0.60
85,0.60
86,0.60
87,0.60
88,0.60
89,0.59
90,0.58
91,0.58
92,0.58
93,0.58
94,0.58
95,0.58
96,0.58
97,0.58
98,0.58
99,0.58
100,0.58
101,0.58
102,0.58
103,0.58
104,0.58
105,0.58
106,0.58
107,0.58
108,0.58
109,0.58
110,0.58
111,0.58
112,0.58
113,0.58
114,0.58
115,0.58
116,0.58
117,0.59
118,0.60
119,0.59
120,0.59
121,0.59
122,0.59
123,0.59
124,0.59
125,0.59
126,0.59
127,0.59
128,0.59
129,0.59
130,0.59
131,0.59
132,0.59
133,0.59
134,0.59
135,0.59
136,0.59
137,0.59
138,0.59
139,0.59
140,0.59
141,0.59
142,0.59
143,0.59
144,0.59
145,0.59
146,0.59
147,0.59
148,0.60
149,0.59
150,0.59
151,0.59
152,0.59
153,0.59
154,0.59
155,0.59
156,0.59
157,0.59
158,0.59
159,0.59
160,0.59
161,0.59
162,0.59
163,0.59
164,0.59
165,0.59
166,0.59
167,0.59
168,0.59
169,0.59
170,0.59
171,0.59
172,0.59
173,0.59
174,0.59
175,0.59
176,0.59
177,0.59
178,0.59
179,0.59
180,0.60
181,0.59
182,0.59
183,0.59
184,0.59
185,0.59
186,0.59
187,0.59
188,0.59
189,0.59
190,0.59
191,0.59
192,0.59
193,0.59
194,0.59
195,0.59
196,0.59
197,0.59
198,0.59
199,0.59
200,0.59
201,0.59
202,0.59
203,0.59
204,0.59
205,0.59
206,0.59
207,0.59
208,0.59
209,0.59
210,0.59
211,0.59
212,0.59
213,0.59
214,0.59
215,0.59
216,0.59
217,0.59
218,0.59
219,0.59
220,0.59
221,0.59
222,0.59
223,0.59
224,0.59
225,0.59
226,0.59
227,0.59
228,0.59
229,0.59
230,0.59
231,0.59
232,0.59
233,0.59
234,0.59
235,0.59
236,0.59
237,0.59
238,0.59
239,0.59
240,0.59
241,0.59
242,0.59
243,0.59
244,0.59
245,0.59
246,0.59
247,0.59
248,0.59
249,0.59
250,0.59
251,0.59
252,0.59
253,0.59
254,0.59
255,0.59
256,0.59
257,0.59
258,0.59
259,0.59
260,0.59
261,0.59
262,0.59
263,0.59
264,0.59
265,0.59
266,0.59
267,0.59
268,0.59
269,0.59
270,0.59
271,0.59
272,0.59
273,0.59
274,0.59
275,0.59
276,0.59
277,0.59
278,0.59
279,0.59
280,0.59
281,0.59
282,0.59
283,0.59
284,0.59
285,0.59
286,0.59
287,0.59
288,0.59
289,0.59
290,0.59
291,0.59
292,0.59
293,0.59
294,0.59
295,0.59
296,0.59
297,0.59
298,0.59
299,0.59
300,0.60
301,0.59
302,0.59
303,0.59
304,0.59
305,0.59
306,0.59
307,0.59
308,0.59
309,0.59
310,0.59
311,0.59
312,0.59
313,0.59
314,0.59
315,0.59
316,0.59
317,0.59
318,0.59
319,0.59
320,0.59
321,0.59
322,0.59
323,0.59
324,0.59
325,0.59
326,0.59
327,0.59
328,0.59
329,0.59
330,0.59
331,0.59
332,0.59
333,0.59
334,0.59
335,0.59
336,0.59
337,0.59
338,0.59
339,0.59
340,0.59
341,0.59
342,0.59
343,0.59
344,0.59
345,0.59
346,0.59
347,0.59
348,0.59
349,0.59
350,0.59
351,0.59
352,0.59
353,0.59
354,0.59
355,0.59
356,0.59
357,0.59
358,0.59
359,0.59
360,0.59
361,0.59
362,0.59
363,0.59
364,0.59
365,0.59
366,0.59
367,0.59
368,0.59
369,0.59
370,0.59
371,0.59
372,0.59
373,0.59
374,0.59
375,0.59
376,0.59
377,0.59
378,0.59
379,0.59
380,0.59
381,0.59
382,0.59
383,0.59
384,0.59
385,0.59
386,0.59
387,0.59
388,0.59
389,0.60
390,0.59
391,0.59
392,0.59
393,0.59
394,0.59
395,0.59
396,0.59
397,0.59
398,0.59
399,0.59
400,0.59
401,0.59
402,0.59
403,0.59
404,0.59
405,0.59
406,0.59
407,0.59
408,0.59
409,0.59
410,0.59
411,0.59
412,0.59
413,0.59
414,0.59
415,0.59
416,0.59
417,0.61
418,0.60
419,0.61
420,0.60
421,0.60
422,0.59
423,0.59
424,0.59
425,0.59
426,0.59
427,0.59
428,0.59
429,0.59
430,0.59
431,0.59
432,0.59
433,0.59
434,0.59
435,0.59
436,0.59
437,0.59
438,0.59
439,0.59
440,0.59
441,0.59
442,0.59
443,0.59
444,0.59
445,0.59
446,0.59
447,0.61
448,0.60
449,0.61
450,0.60
451,0.60
452,0.60
453,0.60
454,0.60
455,0.60
456,0.60
457,0.60
458,0.60
459,0.60
460,0.60
461,0.60
462,0.60
463,0.60
464,0.60
465,0.60
466,0.60
467,0.60
468,0.60
469,0.60
470,0.60
471,0.60
472,0.60
473,0.60
474,0.60
475,0.60
476,0.60
477,0.60
478,0.60
479,0.61
480,0.61
481,0.60
482,0.60
483,0.60
484,0.60
485,0.60
486,0.60
487,0.60
488,0.60
489,0.60
490,0.60
491,0.60
492,0.60
493,0.60
494,0.60
495,0.60
496,0.60
497,0.60
498,0.60
499,0.60
500,0.60
501,0.60
502,0.60
503,0.60
504,0.60
505,0.60
506,0.60
507,0.59
508,0.59
509,0.59
510,0.59
511,0.59
512,0.59
513,0.59
514,0.59
515,0.59
516,0.59
517,0.59
518,0.59
519,0.59
520,0.59
521,0.59
522,0.59
523,0.59
524,0.59
525,0.59
526,0.59
527,0.59
528,0.59
529,0.59
530,0.59
531,0.59
532,0.59
533,0.59
534,0.59
535,0.59
536,0.59
537,0.59
538,0.60
539,0.60
540,0.60
541,0.59
542,0.59
543,0.59
544,0.59
545,0.59
546,0.59
547,0.59
548,0.59
549,0.59
550,0.59
551,0.59
552,0.59
553,0.59
554,0.59
555,0.59
556,0.59
557,0.59
558,0.59
559,0.59
560,0.59
561,0.59
562,0.59
563,0.59
564,0.59
565,0.59
566,0.59
567,0.59
568,0.59
569,0.59
570,0.59
571,0.59
572,0.59
573,0.59
574,0.59
575,0.59
576,0.59
577,0.59
578,0.59
579,0.59
580,0.59
581,0.59
582,0.59
583,0.59
584,0.59
585,0.59
586,0.59
587,0.59
588,0.59
589,0.59
590,0.59
591,0.59
592,0.59
593,0.59
594,0.59
595,0.59
596,0.59
597,0.59
598,0.59
599,0.61
600,0.59
601,0.59
602,0.59
603,0.59
604,0.59
605,0.59
606,0.59
607,0.59
608,0.59
609,0.59
610,0.59
611,0.59
612,0.59
613,0.59
614,0.59
615,0.59
616,0.59
617,0.59
618,0.59
619,0.59
620,0.59
621,0.59
622,0.59
623,0.59
624,0.59
625,0.59
626,0.59
627,0.60
628,0.60
629,0.60
630,0.60
631,0.60
632,0.60
633,0.60
634,0.60
635,0.60
636,0.60
637,0.60
638,0.60
639,0.60
640,0.60
641,0.60
642,0.60
643,0.60
644,0.60
645,0.60
646,0.60
647,0.60
648,0.60
649,0.60
650,0.60
651,0.60
652,0.60
653,0.60
654,0.60
655,0.60
656,0.60
657,0.60
658,0.61
659,0.60
660,0.60
661,0.60
662,0.60
663,0.60
664,0.60
665,0.60
666,0.60
667,0.60
668,0.60
669,0.60
670,0.60
671,0.60
672,0.60
673,0.60
674,0.60
675,0.60
676,0.60
677,0.60
678,0.60
679,0.60
680,0.60
681,0.60
682,0.60
683,0.60
684,0.60
685,0.60
686,0.60
687,0.60
688,0.59
689,0.59
690,0.59
691,0.59
692,0.59
693,0.59
694,0.59
695,0.59
696,0.59
697,0.59
698,0.59
699,0.59
700,0.59
701,0.59
702,0.59
703,0.59
704,0.59
705,0.59
706,0.59
707,0.59
708,0.59
709,0.59
710,0.59
711,0.59
712,0.59
713,0.59
714,0.59
715,0.59
716,0.59
