[2020-01-30 06:41:18] Linux 4.15.0-72-generic (lc-client.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/30/20 	_x86_64_	(16 CPU)
[2020-01-30 06:41:19] 
[2020-01-30 06:41:19] 06:41:18      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-30 06:41:19] 06:41:19    20001     14598   1690.00      0.00  270124   18592   0.15  qrail-cli
[2020-01-30 06:41:20] 06:41:20    20001     14598   8694.00      0.00  441800   35044   0.29  qrail-cli
[2020-01-30 06:41:21] 06:41:21    20001     14598   7569.00      0.00  452076   45708   0.37  qrail-cli
[2020-01-30 06:41:22] 06:41:22    20001     14598   4325.00      0.00  460852   54364   0.44  qrail-cli
[2020-01-30 06:41:23] 06:41:23    20001     14598   3615.00      0.00  466872   60428   0.49  qrail-cli
[2020-01-30 06:41:24] 06:41:24    20001     14598   4871.00      0.00  471556   65192   0.53  qrail-cli
[2020-01-30 06:41:25] 06:41:25    20001     14598   5664.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:26] 06:41:26    20001     14598     83.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:27] 06:41:27    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:28] 06:41:28    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:29] 06:41:29    20001     14598     13.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:30] 06:41:30    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:31] 06:41:31    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:32] 06:41:32    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:33] 06:41:33    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:34] 06:41:34    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:35] 06:41:35    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:36] 06:41:36    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:37] 06:41:37    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:38] 06:41:38    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:39] 06:41:39    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:40] 06:41:40    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:41] 06:41:41    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
[2020-01-30 06:41:42] 06:41:42    20001     14598      0.00      0.00  475112   68748   0.56  qrail-cli
