time(s),mem(%)
0,undefined
1,0.17
2,0.17
3,0.17
4,0.17
5,0.17
6,0.17
7,0.17
8,0.17
9,0.17
10,0.17
11,0.17
12,0.17
13,0.17
14,0.17
15,0.17
16,0.17
17,0.17
18,0.17
19,0.17
20,0.17
21,0.17
22,0.17
23,0.17
24,0.17
25,0.17
26,0.17
27,0.17
28,0.17
29,0.17
30,0.17
31,0.17
32,0.30
33,0.40
34,0.47
35,0.52
36,0.54
37,0.57
38,0.57
39,0.57
40,0.57
41,0.57
42,0.57
43,0.57
44,0.57
45,0.57
46,0.57
47,0.57
48,0.57
49,0.57
50,0.57
51,0.57
52,0.57
53,0.57
54,0.57
55,0.57
56,0.57
57,0.57
58,0.57
59,0.57
60,0.57
61,0.58
62,0.58
63,0.58
64,0.59
65,0.60
66,0.58
67,0.58
68,0.58
69,0.58
70,0.58
71,0.58
72,0.58
73,0.58
74,0.58
75,0.58
76,0.58
77,0.58
78,0.58
79,0.58
80,0.58
81,0.58
82,0.58
83,0.58
84,0.58
85,0.58
86,0.58
87,0.58
88,0.58
89,0.58
90,0.58
91,0.60
92,0.59
93,0.61
94,0.61
95,0.61
96,0.60
97,0.60
98,0.60
99,0.60
100,0.60
101,0.60
102,0.60
103,0.60
104,0.60
105,0.60
106,0.60
107,0.60
108,0.60
109,0.60
110,0.60
111,0.60
112,0.60
113,0.60
114,0.60
115,0.60
116,0.60
117,0.60
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.60
125,0.60
126,0.60
127,0.60
128,0.62
129,0.62
130,0.62
131,0.63
132,0.63
133,0.65
134,0.62
135,0.62
136,0.62
137,0.62
138,0.62
139,0.62
140,0.62
141,0.62
142,0.62
143,0.62
144,0.62
145,0.62
146,0.62
147,0.62
148,0.62
149,0.62
150,0.62
151,0.64
152,0.65
153,0.65
154,0.65
155,0.65
156,0.67
157,0.64
158,0.64
159,0.64
160,0.64
161,0.64
162,0.64
163,0.64
164,0.64
165,0.64
166,0.64
167,0.64
168,0.64
169,0.64
170,0.64
171,0.64
172,0.64
173,0.64
174,0.64
175,0.64
176,0.64
177,0.64
178,0.64
179,0.64
180,0.64
181,0.64
182,0.64
183,0.64
184,0.64
185,0.64
186,0.64
187,0.64
188,0.67
189,0.67
190,0.67
191,0.67
192,0.67
193,0.69
194,0.67
195,0.67
196,0.67
197,0.67
198,0.67
199,0.67
200,0.67
201,0.67
202,0.67
203,0.67
204,0.67
205,0.67
206,0.67
207,0.67
208,0.67
209,0.67
210,0.67
211,0.69
212,0.68
213,0.69
214,0.69
215,0.69
216,0.71
217,0.69
218,0.69
219,0.69
220,0.69
221,0.69
222,0.69
223,0.69
224,0.69
225,0.69
226,0.69
227,0.69
228,0.69
229,0.69
230,0.69
231,0.69
232,0.69
233,0.69
234,0.69
235,0.69
236,0.69
237,0.69
238,0.69
239,0.69
240,0.69
241,0.69
242,0.69
243,0.69
244,0.69
245,0.69
246,0.69
247,0.69
248,0.72
249,0.71
250,0.71
251,0.72
252,0.71
253,0.73
254,0.71
255,0.71
256,0.71
257,0.71
258,0.71
259,0.71
260,0.71
261,0.71
262,0.71
263,0.71
264,0.71
265,0.71
266,0.71
267,0.71
268,0.71
269,0.71
270,0.71
271,0.71
272,0.71
273,0.71
274,0.71
275,0.71
276,0.71
277,0.71
278,0.73
279,0.73
280,0.73
281,0.74
282,0.73
283,0.75
284,0.73
285,0.73
286,0.73
287,0.73
288,0.73
289,0.73
290,0.73
291,0.73
292,0.73
293,0.73
294,0.73
295,0.73
296,0.73
297,0.73
298,0.73
299,0.73
300,0.73
301,0.75
302,0.76
303,0.75
304,0.75
305,0.76
306,0.76
307,0.78
308,0.75
309,0.75
310,0.75
311,0.75
312,0.75
313,0.75
314,0.75
315,0.75
316,0.75
317,0.75
318,0.75
319,0.75
320,0.75
321,0.75
322,0.75
323,0.75
324,0.75
325,0.75
326,0.75
327,0.75
328,0.75
329,0.75
330,0.75
331,0.75
332,0.75
333,0.75
334,0.75
335,0.75
336,0.75
337,0.75
338,0.77
339,0.77
340,0.78
341,0.78
342,0.78
343,0.79
344,0.77
345,0.77
346,0.77
347,0.77
348,0.77
349,0.77
350,0.77
351,0.77
352,0.77
353,0.77
354,0.77
355,0.77
356,0.77
357,0.77
358,0.77
359,0.77
360,0.77
361,0.77
362,0.77
363,0.77
364,0.77
365,0.77
366,0.77
367,0.77
368,0.80
369,0.81
370,0.80
371,0.80
372,0.80
373,0.82
374,0.79
375,0.79
376,0.79
377,0.79
378,0.79
379,0.79
380,0.79
381,0.79
382,0.79
383,0.79
384,0.79
385,0.79
386,0.79
387,0.79
388,0.79
389,0.79
390,0.79
391,0.81
392,0.82
393,0.82
394,0.82
395,0.82
396,0.82
397,0.84
398,0.81
399,0.81
400,0.81
401,0.81
402,0.81
403,0.81
404,0.81
405,0.81
406,0.81
407,0.81
408,0.81
409,0.81
410,0.81
411,0.81
412,0.81
413,0.81
414,0.81
415,0.81
416,0.81
417,0.81
418,0.81
419,0.81
420,0.81
421,0.81
422,0.81
423,0.81
424,0.81
425,0.81
426,0.81
427,0.81
428,0.83
429,0.84
430,0.84
431,0.84
432,0.84
433,0.85
434,0.86
435,0.84
436,0.84
437,0.84
438,0.84
439,0.84
440,0.84
441,0.84
442,0.84
443,0.84
444,0.84
445,0.84
446,0.84
447,0.84
448,0.84
449,0.84
450,0.84
451,0.86
452,0.86
453,0.86
454,0.86
455,0.86
456,0.86
457,0.88
458,0.86
459,0.86
460,0.86
461,0.86
462,0.86
463,0.86
464,0.86
465,0.86
466,0.86
467,0.86
468,0.86
469,0.86
470,0.86
471,0.86
472,0.86
473,0.86
474,0.86
475,0.86
476,0.86
477,0.86
478,0.86
479,0.86
480,0.86
481,0.88
482,0.88
483,0.88
484,0.88
485,0.89
486,0.88
487,0.90
488,0.88
489,0.88
490,0.88
491,0.88
492,0.88
493,0.88
494,0.88
495,0.88
496,0.88
497,0.88
498,0.88
499,0.88
500,0.88
501,0.88
502,0.88
503,0.88
504,0.88
505,0.88
506,0.88
507,0.88
508,0.88
509,0.88
510,0.88
511,0.88
512,0.88
513,0.88
514,0.88
515,0.88
516,0.88
517,0.88
518,0.90
519,0.90
520,0.90
521,0.91
522,0.90
523,0.92
524,0.90
525,0.90
526,0.90
527,0.90
528,0.90
529,0.90
530,0.90
531,0.90
532,0.90
533,0.90
534,0.90
535,0.90
536,0.90
537,0.90
538,0.90
539,0.90
540,0.90
541,0.92
542,0.93
543,0.92
544,0.92
545,0.93
546,0.93
547,0.95
548,0.92
549,0.92
550,0.92
551,0.92
552,0.92
553,0.92
554,0.92
555,0.92
