[2020-01-31 10:39:54] Linux 4.15.0-72-generic (node0.sharedlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 10:39:55] 
[2020-01-31 10:39:55] 10:39:54      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-31 10:39:55] 10:39:55    20001      9297   1764.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:39:56] 10:39:56    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:39:57] 10:39:57    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:39:58] 10:39:58    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:39:59] 10:39:59    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:00] 10:40:00    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:01] 10:40:01    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:02] 10:40:02    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:03] 10:40:03    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:04] 10:40:04    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:05] 10:40:05    20001      9297      1.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:06] 10:40:06    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:07] 10:40:07    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:08] 10:40:08    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:09] 10:40:09    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:10] 10:40:10    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:11] 10:40:11    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:12] 10:40:12    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:13] 10:40:13    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:14] 10:40:14    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:15] 10:40:15    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:16] 10:40:16    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:17] 10:40:17    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:18] 10:40:18    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:19] 10:40:19    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:20] 10:40:20    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:21] 10:40:21    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:22] 10:40:22    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:23] 10:40:23    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:24] 10:40:24    20001      9297      0.00      0.00  429440   21240   0.17  qrail-cli
[2020-01-31 10:40:25] 10:40:25    20001      9297      1.00      0.00  429440   21244   0.17  qrail-cli
[2020-01-31 10:40:26] 10:40:26    20001      9297  10317.00      0.00  444044   37100   0.30  qrail-cli
[2020-01-31 10:40:27] 10:40:27    20001      9297   9159.00      0.00  455116   48856   0.40  qrail-cli
[2020-01-31 10:40:28] 10:40:28    20001      9297   4819.00      0.00  463652   57264   0.47  qrail-cli
[2020-01-31 10:40:29] 10:40:29    20001      9297   8145.00      0.00  470884   63628   0.52  qrail-cli
[2020-01-31 10:40:30] 10:40:30    20001      9297   2601.00      0.00  473536   66908   0.54  qrail-cli
[2020-01-31 10:40:31] 10:40:31    20001      9297   5779.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:32] 10:40:32    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:33] 10:40:33    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:34] 10:40:34    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:35] 10:40:35    20001      9297     23.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:36] 10:40:36    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:37] 10:40:37    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:38] 10:40:38    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:39] 10:40:39    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:40] 10:40:40    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:41] 10:40:41    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:42] 10:40:42    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:43] 10:40:43    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:44] 10:40:44    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:45] 10:40:45    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:46] 10:40:46    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:47] 10:40:47    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:48] 10:40:48    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:49] 10:40:49    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:50] 10:40:50    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:51] 10:40:51    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:52] 10:40:52    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:53] 10:40:53    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:54] 10:40:54    20001      9297      0.00      0.00  475780   69512   0.57  qrail-cli
[2020-01-31 10:40:55] 10:40:55    20001      9297   6531.00      0.00  478396   71388   0.58  qrail-cli
[2020-01-31 10:40:56] 10:40:56    20001      9297   6724.00      0.00  478464   71708   0.58  qrail-cli
[2020-01-31 10:40:57] 10:40:57    20001      9297   4491.00      0.00  478076   71324   0.58  qrail-cli
[2020-01-31 10:40:58] 10:40:58    20001      9297   3946.00      0.00  478436   72160   0.59  qrail-cli
[2020-01-31 10:40:59] 10:40:59    20001      9297   2368.00      0.00  481452   73968   0.60  qrail-cli
[2020-01-31 10:41:00] 10:41:00    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:01] 10:41:01    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:02] 10:41:02    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:03] 10:41:03    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:04] 10:41:04    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:05] 10:41:05    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:06] 10:41:06    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:07] 10:41:07    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:08] 10:41:08    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:09] 10:41:09    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:10] 10:41:10    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:11] 10:41:11    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:12] 10:41:12    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:13] 10:41:13    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:14] 10:41:14    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
[2020-01-31 10:41:15] 10:41:15    20001      9297      0.00      0.00  477140   70896   0.58  qrail-cli
